Tissue	n_expressed_genes	mean_gene_length_bp	median_gene_length_bp	variance_gene_length_bp	sd_gene_length_bp	min_gene_length_bp	q1_gene_length_bp	q3_gene_length_bp	max_gene_length_bp	mean_log10_gene_length_bp	median_log10_gene_length_bp	variance_log10_gene_length_bp	sd_log10_gene_length_bp	mean_nTPM	median_nTPM
adipose tissue	13301	70598.79655664988	32576.0	14362035700.20945	119841.71102003446	159	13261.0	78655.0	2298757	4.501871872443407	4.512897756320646	0.3184047072314869	0.56427361025613	50.344846252161496	11.4
adrenal gland	12784	70194.61451814769	32742.5	13909485708.669985	117938.48273006562	159	13346.0	78624.25	2241933	4.504006263322108	4.5151117992717005	0.31325310255918115	0.5596901844406252	44.741418961201504	10.8
amygdala	13511	79006.46295610984	33679.0	21075768931.39756	145174.95972583414	180	13590.5	83810.0	2473539	4.524806381545076	4.527359187906906	0.33279247682140406	0.5768816835551325	43.463910887425065	9.7
basal ganglia	13863	78955.07473129914	33624.0	20937774749.460026	144698.91067129714	117	13456.0	83713.0	2473539	4.522643809451403	4.526649376997381	0.3365986186483946	0.5801711977066722	42.689194258097096	10.5
blood vessel	13260	73280.10656108597	33208.5	16330620802.793427	127791.31739986652	120	13534.5	80758.25	2298757	4.511147799155486	4.521249256913038	0.3224557790900769	0.567851898905055	60.57136500754148	12.3
breast	13282	70888.16503538624	32793.5	14422622844.973642	120094.22486103835	120	13384.5	79048.5	2241933	4.5047406523606845	4.51578777067709	0.31681341359132276	0.5628618068330119	43.90996084926969	10.4
cerebellum	13061	75460.18696883853	33164.0	18809073030.77992	137146.1739560383	117	13319.0	81444.0	2473539	4.512934190159218	4.520666906472944	0.3290248193248764	0.5736068508350266	33.42698874511906	11.1
cerebral cortex	13699	79676.1386962552	33739.0	21339528317.349262	146080.55420674328	159	13581.5	84723.0	2473539	4.5258316681825645	4.528132206263837	0.3363024594067792	0.5799159071854981	42.51022702387036	11.0
cervix	13868	71422.486732045	32547.5	15461474355.079233	124344.17700511446	117	13200.0	78656.25	2298757	4.501707410321245	4.51251762947145	0.3216122346367776	0.5671086621069877	50.16026103259302	10.8
colon	13843	71005.17416744925	32481.0	15082048759.341969	122808.99299050526	159	13243.0	78457.0	2298757	4.501695205604918	4.511629391498832	0.31846844005633074	0.564330080765088	48.15945965469913	11.6
endometrium	12806	71721.33804466657	33084.5	15137878980.799866	123036.08812376906	117	13585.25	79660.75	2298757	4.510436134332636	4.51962457516974	0.3141926197045762	0.5605288749962629	40.9276745275652	10.6
esophagus	13104	67363.5628052503	31764.5	12915246587.135666	113645.26645283413	159	13169.75	75794.75	2241933	4.490690793242581	4.501942023510127	0.31004095956400707	0.5568132178423991	68.24765720390721	11.0
fallopian tube	13435	71580.50658727204	33034.0	14740285206.462868	121409.57625518207	120	13456.0	79651.5	2298757	4.509193295929397	4.518961164449761	0.3157600637626728	0.5619253186702596	39.19312244138444	9.8
heart muscle	13246	72832.37097991847	33036.0	16437484201.38222	128208.75243672804	159	13425.0	79922.75	2473539	4.509573550568355	4.51898745664509	0.319965682791033	0.5656550917220078	71.95071719764456	12.0
hippocampal formation	13665	78809.39985364069	33861.0	20658202191.072456	143729.6148713704	159	13586.0	84147.0	2473539	4.525164547963042	4.529699779764321	0.3333342829888107	0.5773510916148082	39.95321624588364	9.8
hypothalamus	13763	79232.99716631549	33818.0	20980179729.778934	144845.36488883218	117	13581.5	84346.5	2473539	4.525228763277722	4.529147919800827	0.3355448249413752	0.5792623109968188	37.092668749545886	9.4
kidney	13698	70721.1664476566	32431.0	14808654488.164463	121690.81513476875	138	13169.25	78299.0	2298757	4.5001167982829795	4.5109603400109535	0.3197424885042695	0.5654577689839175	46.052715724923345	10.9
liver	12744	65928.30430006278	31299.0	12554736973.323996	112047.92266402798	159	12987.0	74375.0	2304997	4.483819018291976	4.495530461215079	0.3070534324876038	0.5541240226588302	98.71690207156308	12.1
lung	13567	70055.74740178374	32571.0	14315427679.689571	119647.09641144481	159	13273.5	78541.5	2298757	4.501594920213333	4.512831092547525	0.31507455647697924	0.5613150242751206	41.67803493771652	10.2
midbrain	13520	77754.74815088758	33751.5	19940828486.437866	141211.99837987518	159	13642.25	83341.5	2473539	4.523943717242083	4.528293070661408	0.3295017162202082	0.5740224004515923	45.55069526627219	9.8
ovary	12685	71435.38793851004	33086.0	15224706323.27082	123388.43674863063	159	13550.0	79454.0	2304997	4.50878931850309	4.519644265409076	0.3148824176031013	0.5611438475142548	53.75748521876231	10.7
pancreas	13009	68435.6439388116	32421.0	12995661783.97377	113998.5165867248	159	13394.0	77729.0	2298757	4.499666244975094	4.5108264061875145	0.3086929369281343	0.5556014191199787	164.61976324083327	10.3
pituitary gland	13707	75262.19128912235	33292.0	18019459688.27794	134236.58103616146	117	13357.0	81834.5	2304997	4.513724034391137	4.5223398859609105	0.3286198153109724	0.5732537093739319	42.46195374626103	9.3
prostate	13525	71355.31837338263	32611.0	15212421358.485662	123338.64503263227	159	13241.0	78890.0	2304997	4.503207338759397	4.513364116433161	0.32013753842517506	0.5658069798307326	37.534107208872456	9.8
retina	12947	83008.56453232409	36570.0	22072792064.820793	148569.14910175934	84	14751.5	89341.0	2473539	4.5577257638311846	4.563124960338044	0.32441287674065494	0.5695725386117688	26.855943461805825	9.1
salivary gland	13537	68560.5808524784	31994.0	13312608288.716274	115380.27686184617	159	13123.0	77178.0	2473539	4.49408830394308	4.505068540469512	0.3148836112860201	0.5611449111290417	54.73266602644603	10.3
skeletal muscle	12149	69288.28018766976	32860.0	13246344706.701828	115092.76565754178	159	13450.0	78320.0	2473539	4.503956900961891	4.516667559099043	0.30951202197102906	0.5563380464888493	98.75479463330315	13.1
skin	13481	67792.08931088199	31530.0	12958781337.24784	113836.64320967937	159	12799.0	76449.0	2241933	4.482149400053609	4.498723970747904	0.32861866433690123	0.5732527054771754	53.0008011275128	11.2
small intestine	13714	68898.57525156774	32154.5	13747893732.75784	117251.41249792192	159	13201.25	76746.75	2298757	4.4969086470616535	4.507241760252971	0.3114536335676307	0.5580803110374265	39.57667347236401	10.6
spinal cord	13407	76301.50921160588	33541.0	19134402162.534958	138327.15627285538	159	13630.5	82441.5	2473539	4.519442024500423	4.525576006630465	0.3274540871742948	0.5722360414848883	51.47505034683375	9.5
spleen	12950	66465.56548262548	31628.5	11754123605.873255	108416.43605041283	117	13043.5	75038.75	2057829	4.487379659427189	4.500078593076736	0.30982559678627675	0.556619795539358	44.68364478764478	10.9
stomach	13424	69654.86010131109	32323.5	13921928892.622807	117991.22379491963	159	13241.75	77678.25	2241933	4.499159379175816	4.509518378909677	0.3144750873256718	0.5607807836629852	65.77073152562575	10.5
testis	14655	70846.78669396111	31515.0	16549050331.94021	128643.11226000485	117	12520.5	76969.5	2473539	4.482720257288839	4.498517311461634	0.33931954431521816	0.5825114113175965	27.29454111224838	8.9
thyroid gland	13181	71281.33168955315	33116.0	14305184669.957989	119604.28366056956	159	13575.0	79916.0	2298757	4.509142149627867	4.520037873920871	0.31511531464430004	0.5613513290661206	35.833882103027086	10.2
urinary bladder	13169	71502.43002505886	33071.0	14748931527.150389	121445.17910213805	159	13547.0	79718.0	2298757	4.5096364414951	4.519447327297003	0.3147867530435672	0.5610586003650306	42.27970233123244	10.5
vagina	13459	70393.67174381454	32381.0	14660309986.456305	121079.76703998198	159	13220.0	78076.5	2298757	4.499922028470676	4.510290256640203	0.31785038044231656	0.5637822101151442	49.11466676573297	10.5
