Tissue	n_expressed_genes	mean_gene_length_bp	median_gene_length_bp	variance_gene_length_bp	sd_gene_length_bp	min_gene_length_bp	q1_gene_length_bp	q3_gene_length_bp	max_gene_length_bp	mean_log10_gene_length_bp	median_log10_gene_length_bp	variance_log10_gene_length_bp	sd_log10_gene_length_bp	mean_nTPM	median_nTPM
adipose tissue	13306	70056.13227115588	32180.0	14106218547.957664	118769.60279447626	159	12904.5	78230.5	2298757	4.493603271703766	4.507586036407936	0.32544919398223887	0.5704815456982275	50.33669021494063	11.4
adrenal gland	12788	69678.53737879262	32285.0	13664258677.378294	116894.22003409019	159	12980.75	78307.75	2241933	4.495684777522786	4.509000670743491	0.32049134412967045	0.5661195493265274	44.73423522051924	10.8
amygdala	13516	78470.20878958271	33362.0	20823446386.04745	144303.31384291718	180	13203.5	83094.25	2473539	4.517084199134384	4.523252077829597	0.3394844721545893	0.5826529603070676	43.45423202130808	9.7
basal ganglia	13867	78424.00252397779	33317.0	20693668399.52751	143852.9401838124	117	13129.5	83007.0	2473539	4.514867291352957	4.522665888830114	0.34342670969852795	0.5860262022286443	42.683139828369505	10.5
blood vessel	13266	72714.54869591437	32852.0	16074369177.174105	126784.73558427334	120	13135.5	79918.25	2298757	4.502806604469334	4.516561813954075	0.32946049111024966	0.5739864903551735	60.55679179858284	12.3
breast	13287	70341.3686309927	32358.0	14165692255.217087	119019.7137251518	120	13022.0	78596.5	2241933	4.496478202697169	4.509981670671806	0.32384278950435164	0.5690718667306895	43.90192669526605	10.4
cerebellum	13065	74929.3245311902	32853.0	18548655099.339443	136193.44734362018	117	12972.0	80788.0	2473539	4.505186310753434	4.516575033681399	0.3358179587259766	0.5794980230561417	33.421079219288174	11.1
cerebral cortex	13704	79156.85799766492	33424.5	21091681736.149635	145229.75499583283	159	13208.25	83686.0	2473539	4.518343907876354	4.524064919285127	0.34285418252228594	0.5855375158965358	42.50082457676591	11.0
cervix	13872	70890.37968569782	32134.0	15216272203.272472	123354.25490542462	117	12876.5	78246.5	2298757	4.493643319379451	4.506964788507491	0.3285362315388477	0.5731808017884477	50.157691753171854	10.8
colon	13846	70499.67477971977	32075.5	14842576881.39997	121830.11483783461	159	12914.5	78082.5	2298757	4.493717052433747	4.506173328128806	0.325472166277717	0.5705016794696726	48.15767730752564	11.6
endometrium	12810	71206.33364558939	32756.5	14877981169.232086	121975.33016652214	117	13193.75	79301.75	2298757	4.502524672629586	4.515297489147409	0.3211530356922286	0.5667036577367651	40.92213895394223	10.6
esophagus	13108	66870.97810497406	31442.0	12676158626.94791	112588.44801731619	159	12857.5	75269.0	2241933	4.482716386784772	4.497510163144478	0.316920212750784	0.5629566704026021	68.24817668599329	11.0
fallopian tube	13440	71036.94828869047	32648.0	14488495553.476223	120368.16669483765	120	13081.25	79190.0	2298757	4.501010089196188	4.513856571782762	0.3227769608712595	0.568134632698324	39.18491815476191	9.8
heart muscle	13251	72290.54561919856	32639.0	16176888810.66963	127188.39888397696	159	13053.5	79458.0	2473539	4.501553275095948	4.513736844287251	0.32691560709428263	0.5717653426837644	71.94152139461173	12.0
hippocampal formation	13669	78290.9836857122	33474.0	20410618365.69566	142865.73545009195	159	13196.0	83491.0	2473539	4.517559622670179	4.524707611794013	0.34005080943760685	0.5831387565902363	39.9478381739703	9.8
