Gene stable ID	n_hk_transcripts
ENSG00000187109	6
ENSG00000135486	6
ENSG00000070756	6
ENSG00000092841	6
ENSG00000108107	6
ENSG00000135404	5
ENSG00000196531	5
ENSG00000197111	5
ENSG00000149273	5
ENSG00000149925	5
ENSG00000113558	5
ENSG00000071082	5
ENSG00000189403	4
ENSG00000196262	4
ENSG00000105372	4
ENSG00000186468	4
ENSG00000133112	4
ENSG00000132507	4
ENSG00000147403	4
ENSG00000142864	4
ENSG00000166441	4
ENSG00000161016	4
ENSG00000158941	4
ENSG00000078304	4
ENSG00000174748	4
ENSG00000125691	4
ENSG00000133030	4
ENSG00000130255	4
ENSG00000104529	4
ENSG00000172809	4
ENSG00000112514	4
ENSG00000204628	4
ENSG00000138326	4
ENSG00000141552	4
ENSG00000109332	4
ENSG00000104964	3
ENSG00000110321	3
ENSG00000108848	3
ENSG00000047849	3
ENSG00000115524	3
ENSG00000116288	3
ENSG00000115677	3
ENSG00000111640	3
ENSG00000105220	3
ENSG00000105583	3
ENSG00000112335	3
ENSG00000105700	3
ENSG00000186184	3
ENSG00000174444	3
ENSG00000074201	3
ENSG00000173113	3
ENSG00000133142	3
ENSG00000130985	3
ENSG00000125503	3
ENSG00000133612	3
ENSG00000132475	3
ENSG00000117448	3
ENSG00000116754	3
ENSG00000120265	3
ENSG00000116260	3
ENSG00000118363	3
ENSG00000120963	3
ENSG00000103769	3
ENSG00000103495	3
ENSG00000181163	3
ENSG00000144713	3
ENSG00000143569	3
ENSG00000145425	3
ENSG00000095787	3
ENSG00000151366	3
ENSG00000149806	3
ENSG00000099622	3
ENSG00000137154	3
ENSG00000137409	3
ENSG00000142534	3
ENSG00000140264	3
ENSG00000143774	3
ENSG00000137575	3
ENSG00000173933	3
ENSG00000178719	3
ENSG00000168036	3
ENSG00000090686	3
ENSG00000090621	3
ENSG00000092199	3
ENSG00000091527	3
ENSG00000154723	3
ENSG00000152795	3
ENSG00000089157	3
ENSG00000143947	3
ENSG00000170889	3
ENSG00000170296	3
ENSG00000168066	3
ENSG00000169718	3
ENSG00000169764	3
ENSG00000169714	3
ENSG00000167468	3
ENSG00000157916	3
ENSG00000159140	3
ENSG00000155366	3
ENSG00000156508	3
ENSG00000155957	3
ENSG00000156482	3
ENSG00000088448	3
ENSG00000159840	3
ENSG00000081791	3
ENSG00000163930	3
ENSG00000161904	3
ENSG00000162231	3
ENSG00000107223	3
ENSG00000197006	3
ENSG00000114023	3
ENSG00000213246	3
ENSG00000183291	2
ENSG00000008952	2
ENSG00000008988	2
ENSG00000220205	2
ENSG00000005810	2
ENSG00000005893	2
ENSG00000020426	2
ENSG00000022840	2
ENSG00000012822	2
ENSG00000014919	2
ENSG00000265681	2
ENSG00000214736	2
ENSG00000213465	2
ENSG00000213585	2
ENSG00000105185	2
ENSG00000105193	2
ENSG00000104853	2
ENSG00000116209	2
ENSG00000115464	2
ENSG00000115484	2
ENSG00000115216	2
ENSG00000114942	2
ENSG00000066044	2
ENSG00000063245	2
ENSG00000060491	2
ENSG00000116473	2
ENSG00000105323	2
ENSG00000105401	2
ENSG00000105223	2
ENSG00000105254	2
ENSG00000111328	2
ENSG00000198700	2
ENSG00000183624	2
ENSG00000181789	2
ENSG00000179933	2
ENSG00000179950	2
ENSG00000179262	2
ENSG00000065518	2
ENSG00000105568	2
ENSG00000113068	2
ENSG00000112473	2
ENSG00000112305	2
ENSG00000111530	2
ENSG00000111639	2
ENSG00000111676	2
ENSG00000111678	2
ENSG00000164733	2
ENSG00000164924	2
ENSG00000164405	2
ENSG00000164587	2
ENSG00000164615	2
ENSG00000164054	2
ENSG00000163866	2
ENSG00000163319	2
ENSG00000167085	2
ENSG00000167193	2
ENSG00000166925	2
ENSG00000166797	2
ENSG00000166337	2
ENSG00000165782	2
ENSG00000165915	2
ENSG00000165916	2
ENSG00000197451	2
ENSG00000198728	2
ENSG00000197771	2
ENSG00000167615	2
ENSG00000079432	2
ENSG00000082996	2
ENSG00000078674	2
ENSG00000078061	2
ENSG00000004455	2
ENSG00000198242	2
ENSG00000198258	2
ENSG00000198408	2
ENSG00000197912	2
ENSG00000197956	2
ENSG00000197965	2
ENSG00000197448	2
ENSG00000156467	2
ENSG00000155287	2
ENSG00000154473	2
ENSG00000070770	2
ENSG00000070831	2
ENSG00000070610	2
ENSG00000068745	2
ENSG00000172115	2
ENSG00000160201	2
ENSG00000159692	2
ENSG00000160075	2
ENSG00000157954	2
ENSG00000157778	2
ENSG00000156639	2
ENSG00000156642	2
ENSG00000156860	2
ENSG00000085063	2
ENSG00000086102	2
ENSG00000083896	2
ENSG00000160932	2
ENSG00000161203	2
ENSG00000160679	2
ENSG00000160789	2
ENSG00000160194	2
ENSG00000162385	2
ENSG00000162613	2
ENSG00000162191	2
ENSG00000161547	2
ENSG00000087365	2
ENSG00000088247	2
ENSG00000088832	2
ENSG00000087191	2
ENSG00000150459	2
ENSG00000150991	2
ENSG00000149100	2
ENSG00000149182	2
ENSG00000148303	2
ENSG00000147274	2
ENSG00000147604	2
ENSG00000146834	2
ENSG00000167526	2
ENSG00000091140	2
ENSG00000090060	2
ENSG00000088986	2
ENSG00000089248	2
ENSG00000089693	2
ENSG00000149930	2
ENSG00000149932	2
ENSG00000170275	2
ENSG00000169032	2
ENSG00000168259	2
ENSG00000168028	2
ENSG00000167657	2
ENSG00000167770	2
ENSG00000167323	2
ENSG00000167397	2
ENSG00000171497	2
ENSG00000171862	2
ENSG00000171222	2
ENSG00000170315	2
ENSG00000170515	2
ENSG00000169957	2
ENSG00000170043	2
ENSG00000170144	2
ENSG00000143158	2
ENSG00000100568	2
ENSG00000100353	2
ENSG00000100380	2
ENSG00000100243	2
ENSG00000100348	2
ENSG00000100239	2
ENSG00000142541	2
ENSG00000143742	2
ENSG00000143549	2
ENSG00000143612	2
ENSG00000143418	2
ENSG00000143420	2
ENSG00000143314	2
ENSG00000142937	2
ENSG00000143013	2
ENSG00000099341	2
ENSG00000099800	2
ENSG00000096746	2
ENSG00000097033	2
ENSG00000093183	2
ENSG00000095139	2
ENSG00000144674	2
ENSG00000143727	2
ENSG00000147123	2
ENSG00000147140	2
ENSG00000146223	2
ENSG00000146457	2
ENSG00000145592	2
ENSG00000145741	2
ENSG00000099901	2
ENSG00000099956	2
ENSG00000063244	2
ENSG00000178188	2
ENSG00000178741	2
ENSG00000177830	2
ENSG00000177963	2
ENSG00000178057	2
ENSG00000177600	2
ENSG00000176973	2
ENSG00000136045	2
ENSG00000135506	2
ENSG00000135924	2
ENSG00000135316	2
ENSG00000062194	2
ENSG00000063046	2
ENSG00000063177	2
ENSG00000063241	2
ENSG00000140391	2
ENSG00000138668	2
ENSG00000137509	2
ENSG00000137818	2
ENSG00000136522	2
ENSG00000136146	2
ENSG00000136436	2
ENSG00000135956	2
ENSG00000142676	2
ENSG00000141867	2
ENSG00000142186	2
ENSG00000141349	2
ENSG00000140612	2
ENSG00000140988	2
ENSG00000140319	2
ENSG00000140350	2
ENSG00000132424	2
ENSG00000132485	2
ENSG00000131828	2
ENSG00000131236	2
ENSG00000131467	2
ENSG00000131469	2
ENSG00000130770	2
ENSG00000130402	2
ENSG00000100836	2
ENSG00000100911	2
ENSG00000134717	2
ENSG00000134419	2
ENSG00000134453	2
ENSG00000133422	2
ENSG00000132676	2
ENSG00000132680	2
ENSG00000173230	2
ENSG00000173327	2
ENSG00000172775	2
ENSG00000172354	2
ENSG00000172757	2
ENSG00000101365	2
ENSG00000101439	2
ENSG00000101182	2
ENSG00000176407	2
ENSG00000176946	2
ENSG00000175582	2
ENSG00000174886	2
ENSG00000173744	2
ENSG00000173812	2
ENSG00000174231	2
ENSG00000173511	2
ENSG00000124486	2
ENSG00000124535	2
ENSG00000124214	2
ENSG00000123240	2
ENSG00000123349	2
ENSG00000123562	2
ENSG00000123595	2
ENSG00000122566	2
ENSG00000125995	2
ENSG00000125835	2
ENSG00000125912	2
ENSG00000125952	2
ENSG00000125970	2
ENSG00000125656	2
ENSG00000125037	2
ENSG00000124422	2
ENSG00000127837	2
ENSG00000128272	2
ENSG00000128463	2
ENSG00000127483	2
ENSG00000127603	2
ENSG00000126934	2
ENSG00000126247	2
ENSG00000126457	2
ENSG00000130724	2
ENSG00000130725	2
ENSG00000102572	2
ENSG00000102316	2
ENSG00000101558	2
ENSG00000101608	2
ENSG00000101940	2
ENSG00000128789	2
ENSG00000116251	2
ENSG00000106397	2
ENSG00000105968	2
ENSG00000105993	2
ENSG00000106052	2
ENSG00000105698	2
ENSG00000105701	2
ENSG00000105518	2
ENSG00000119048	2
ENSG00000119335	2
ENSG00000118418	2
ENSG00000118564	2
ENSG00000118046	2
ENSG00000117362	2
ENSG00000117410	2
ENSG00000116521	2
ENSG00000103275	2
ENSG00000103342	2
ENSG00000103363	2
ENSG00000120837	2
ENSG00000120948	2
ENSG00000120438	2
ENSG00000119402	2
ENSG00000119655	2
ENSG00000122026	2
ENSG00000122218	2
ENSG00000122490	2
ENSG00000104133	2
ENSG00000104408	2
ENSG00000103429	2
ENSG00000103502	2
ENSG00000103507	2
ENSG00000108953	2
ENSG00000185624	2
ENSG00000185651	2
ENSG00000185236	2
ENSG00000184007	2
ENSG00000184009	2
ENSG00000184076	2
ENSG00000205542	2
ENSG00000188846	2
ENSG00000188529	2
ENSG00000188612	2
ENSG00000197756	2
ENSG00000187514	2
ENSG00000110651	2
ENSG00000185787	2
ENSG00000185825	2
ENSG00000108523	2
ENSG00000108298	2
ENSG00000008294	2
ENSG00000003756	2
ENSG00000241343	2
ENSG00000241468	2
ENSG00000058673	2
ENSG00000228474	2
ENSG00000115053	2
ENSG00000115091	2
ENSG00000114353	2
ENSG00000110700	2
ENSG00000109919	2
ENSG00000110011	2
ENSG00000109475	2
ENSG00000198668	2
ENSG00000225663	2
ENSG00000009954	2
ENSG00000255302	2
ENSG00000257103	2
ENSG00000249915	2
ENSG00000242259	2
ENSG00000243147	2
ENSG00000243678	2
ENSG00000108010	2
ENSG00000107816	2
ENSG00000106588	2
ENSG00000106615	2
ENSG00000232388	2
ENSG00000229117	2
ENSG00000221978	2
ENSG00000221983	2
ENSG00000114125	2
ENSG00000113387	2
ENSG00000113648	2
ENSG00000113712	2
ENSG00000106245	2
ENSG00000106263	2
ENSG00000108433	2
ENSG00000107949	2
ENSG00000205937	2
ENSG00000204463	2
ENSG00000204231	2
ENSG00000198917	2
ENSG00000198931	2
ENSG00000198843	2
ENSG00000114354	2
ENSG00000113732	2
ENSG00000002834	1
ENSG00000004487	1
ENSG00000004779	1
ENSG00000004897	1
ENSG00000004975	1
ENSG00000011454	1
ENSG00000243927	1
ENSG00000241945	1
ENSG00000242247	1
ENSG00000242485	1
ENSG00000242616	1
ENSG00000243056	1
ENSG00000002586	1
ENSG00000244687	1
ENSG00000028528	1
ENSG00000030582	1
ENSG00000031698	1
ENSG00000033050	1
ENSG00000034510	1
ENSG00000214753	1
ENSG00000215301	1
ENSG00000215305	1
ENSG00000022277	1
ENSG00000023041	1
ENSG00000023318	1
ENSG00000023572	1
ENSG00000023734	1
ENSG00000025800	1
ENSG00000027697	1
ENSG00000027847	1
ENSG00000285976	1
ENSG00000286140	1
ENSG00000011485	1
ENSG00000014123	1
ENSG00000014164	1
ENSG00000014824	1
ENSG00000017797	1
ENSG00000019995	1
ENSG00000214026	1
ENSG00000214253	1
ENSG00000265241	1
ENSG00000266967	1
ENSG00000269858	1
ENSG00000270170	1
ENSG00000273841	1
ENSG00000278615	1
ENSG00000107862	1
ENSG00000107874	1
ENSG00000107929	1
ENSG00000108055	1
ENSG00000108175	1
ENSG00000108256	1
ENSG00000108344	1
ENSG00000108349	1
ENSG00000107341	1
ENSG00000107404	1
ENSG00000107581	1
ENSG00000107625	1
ENSG00000107669	1
ENSG00000107672	1
ENSG00000107829	1
ENSG00000107854	1
ENSG00000106682	1
ENSG00000106771	1
ENSG00000106803	1
ENSG00000106993	1
ENSG00000107164	1
ENSG00000107175	1
ENSG00000107185	1
ENSG00000107262	1
ENSG00000234745	1
ENSG00000236287	1
ENSG00000237190	1
ENSG00000239306	1
ENSG00000106591	1
ENSG00000106609	1
ENSG00000106628	1
ENSG00000106636	1
ENSG00000109920	1
ENSG00000110048	1
ENSG00000110107	1
ENSG00000110711	1
ENSG00000110717	1
ENSG00000110851	1
ENSG00000110871	1
ENSG00000110906	1
ENSG00000109111	1
ENSG00000109118	1
ENSG00000109445	1
ENSG00000109519	1
ENSG00000109536	1
ENSG00000109572	1
ENSG00000109606	1
ENSG00000109756	1
ENSG00000108599	1
ENSG00000108604	1
ENSG00000108671	1
ENSG00000108828	1
ENSG00000108829	1
ENSG00000108946	1
ENSG00000109046	1
ENSG00000109079	1
ENSG00000108406	1
ENSG00000108424	1
ENSG00000108468	1
ENSG00000108510	1
ENSG00000108518	1
ENSG00000108528	1
ENSG00000108588	1
ENSG00000108592	1
ENSG00000112306	1
ENSG00000112308	1
ENSG00000112511	1
ENSG00000112667	1
ENSG00000112679	1
ENSG00000112685	1
ENSG00000112697	1
ENSG00000112941	1
ENSG00000111897	1
ENSG00000111906	1
ENSG00000111911	1
ENSG00000112078	1
ENSG00000112079	1
ENSG00000112081	1
ENSG00000112110	1
ENSG00000112118	1
ENSG00000111361	1
ENSG00000111481	1
ENSG00000111669	1
ENSG00000111726	1
ENSG00000111737	1
ENSG00000111775	1
ENSG00000111786	1
ENSG00000111843	1
ENSG00000110917	1
ENSG00000110925	1
ENSG00000110958	1
ENSG00000111011	1
ENSG00000111229	1
ENSG00000111231	1
ENSG00000111237	1
ENSG00000111276	1
ENSG00000106299	1
ENSG00000106400	1
ENSG00000113384	1
ENSG00000113575	1
ENSG00000113583	1
ENSG00000113716	1
ENSG00000113719	1
ENSG00000113811	1
ENSG00000105819	1
ENSG00000105887	1
ENSG00000105953	1
ENSG00000106009	1
ENSG00000106028	1
ENSG00000106153	1
ENSG00000106244	1
ENSG00000106261	1
ENSG00000105612	1
ENSG00000105617	1
ENSG00000105640	1
ENSG00000105656	1
ENSG00000105669	1
ENSG00000105671	1
ENSG00000105677	1
ENSG00000105723	1
ENSG00000112977	1
ENSG00000112996	1
ENSG00000113013	1
ENSG00000113141	1
ENSG00000113194	1
ENSG00000113312	1
ENSG00000105404	1
ENSG00000105438	1
ENSG00000115561	1
ENSG00000115649	1
ENSG00000115685	1
ENSG00000115806	1
ENSG00000115816	1
ENSG00000115839	1
ENSG00000115866	1
ENSG00000115944	1
ENSG00000115234	1
ENSG00000115268	1
ENSG00000115274	1
ENSG00000115368	1
ENSG00000115446	1
ENSG00000115514	1
ENSG00000115520	1
ENSG00000115541	1
ENSG00000114767	1
ENSG00000114784	1
ENSG00000114850	1
ENSG00000114978	1
ENSG00000114988	1
ENSG00000115073	1
ENSG00000115128	1
ENSG00000115233	1
ENSG00000114030	1
ENSG00000114302	1
ENSG00000114316	1
ENSG00000114383	1
ENSG00000114391	1
ENSG00000114503	1
ENSG00000114544	1
ENSG00000114686	1
ENSG00000105298	1
ENSG00000105321	1
ENSG00000105325	1
ENSG00000105373	1
ENSG00000105379	1
ENSG00000105402	1
ENSG00000116266	1
ENSG00000116273	1
ENSG00000104979	1
ENSG00000105058	1
ENSG00000105063	1
ENSG00000105202	1
ENSG00000105221	1
ENSG00000105229	1
ENSG00000105248	1
ENSG00000105258	1
ENSG00000104756	1
ENSG00000104765	1
ENSG00000104823	1
ENSG00000104852	1
ENSG00000104866	1
ENSG00000104897	1
ENSG00000104969	1
ENSG00000104973	1
ENSG00000115946	1
ENSG00000115993	1
ENSG00000116005	1
ENSG00000116030	1
ENSG00000116199	1
ENSG00000116212	1
ENSG00000116221	1
ENSG00000116237	1
ENSG00000117614	1
ENSG00000117640	1
ENSG00000117691	1
ENSG00000117713	1
ENSG00000117748	1
ENSG00000117751	1
ENSG00000117758	1
ENSG00000117862	1
ENSG00000117118	1
ENSG00000117133	1
ENSG00000117360	1
ENSG00000117395	1
ENSG00000117408	1
ENSG00000117419	1
ENSG00000117450	1
ENSG00000117592	1
ENSG00000116688	1
ENSG00000116691	1
ENSG00000116752	1
