gene_id	reason
ENSPTRG00000000011	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000012	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000023	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000036	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000117	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000326	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000328	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000359	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000379	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000398	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000467	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000477	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000487	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000569	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000574	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000595	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000612	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000696	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000699	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000926	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000000933	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001146	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001182	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001585	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001627	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001693	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001706	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001904	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000001991	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002020	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002156	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002237	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002361	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002455	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002470	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002510	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002610	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002622	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002657	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002699	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002817	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002844	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000002872	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000003105	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000003136	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000003141	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
ENSPTRG00000003159	Not found among chromosome-restricted Ensembl 115 genes with exact biotype protein_coding
