original_hk_gene_id	resolved_gene_id	mapping_method	mapping_status	candidate_ids	candidate_count	local_gene_biotype	api_release	api_latest	api_is_current	api_request_status	notes
ENSPTRG00000000001	ENSPTRG00000000001	direct	exact_protein_coding	ENSPTRG00000000001	1	protein_coding				not_required	
ENSPTRG00000000011		ensembl_archive	candidate_not_in_local_release115_gtf	ENSPTRG00000000011	1		64	ENSPTRG00000000011.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000012		ensembl_archive	candidate_not_in_local_release115_gtf	ENSPTRG00000000012	1		90	ENSPTRG00000000012.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000023		ensembl_archive	candidate_not_in_local_release115_gtf	ENSPTRG00000000023	1		90	ENSPTRG00000000023.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000027	ENSPTRG00000000027	direct	exact_protein_coding	ENSPTRG00000000027	1	protein_coding				not_required	
ENSPTRG00000000029	ENSPTRG00000000029	direct	exact_protein_coding	ENSPTRG00000000029	1	protein_coding				not_required	
ENSPTRG00000000033	ENSPTRG00000000033	direct	exact_protein_coding	ENSPTRG00000000033	1	protein_coding				not_required	
ENSPTRG00000000034	ENSPTRG00000000034	direct	exact_protein_coding	ENSPTRG00000000034	1	protein_coding				not_required	
ENSPTRG00000000036		ensembl_archive	candidate_not_in_local_release115_gtf	ENSPTRG00000000036	1		64	ENSPTRG00000000036.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000049	ENSPTRG00000000049	direct	exact_protein_coding	ENSPTRG00000000049	1	protein_coding				not_required	
ENSPTRG00000000050	ENSPTRG00000000050	direct	exact_protein_coding	ENSPTRG00000000050	1	protein_coding				not_required	
ENSPTRG00000000063	ENSPTRG00000000063	direct	exact_protein_coding	ENSPTRG00000000063	1	protein_coding				not_required	
ENSPTRG00000000068	ENSPTRG00000000068	direct	exact_protein_coding	ENSPTRG00000000068	1	protein_coding				not_required	
ENSPTRG00000000076	ENSPTRG00000000076	direct	exact_protein_coding	ENSPTRG00000000076	1	protein_coding				not_required	
ENSPTRG00000000089	ENSPTRG00000000089	direct	exact_protein_coding	ENSPTRG00000000089	1	protein_coding				not_required	
ENSPTRG00000000091	ENSPTRG00000000091	direct	exact_protein_coding	ENSPTRG00000000091	1	protein_coding				not_required	
ENSPTRG00000000093	ENSPTRG00000000093	direct	exact_protein_coding	ENSPTRG00000000093	1	protein_coding				not_required	
ENSPTRG00000000094	ENSPTRG00000000094	direct	exact_protein_coding	ENSPTRG00000000094	1	protein_coding				not_required	
ENSPTRG00000000098	ENSPTRG00000000098	direct	exact_protein_coding	ENSPTRG00000000098	1	protein_coding				not_required	
ENSPTRG00000000102	ENSPTRG00000000102	direct	exact_protein_coding	ENSPTRG00000000102	1	protein_coding				not_required	
