original_hk_gene_id	mapping_status	candidate_ids	candidate_count	local_gene_biotype	api_release	api_latest	api_is_current	api_request_status	notes
ENSPTRG00000000011	candidate_not_in_local_release115_gtf	ENSPTRG00000000011	1		64	ENSPTRG00000000011.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000012	candidate_not_in_local_release115_gtf	ENSPTRG00000000012	1		90	ENSPTRG00000000012.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000023	candidate_not_in_local_release115_gtf	ENSPTRG00000000023	1		90	ENSPTRG00000000023.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000036	candidate_not_in_local_release115_gtf	ENSPTRG00000000036	1		64	ENSPTRG00000000036.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000117	candidate_not_in_local_release115_gtf	ENSPTRG00000000117	1		64	ENSPTRG00000000117.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000326	candidate_not_in_local_release115_gtf	ENSPTRG00000000326	1		90	ENSPTRG00000000326.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000328	candidate_not_in_local_release115_gtf	ENSPTRG00000000328	1		64	ENSPTRG00000000328.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000359	candidate_not_in_local_release115_gtf	ENSPTRG00000000359	1		90	ENSPTRG00000000359.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000379	candidate_not_in_local_release115_gtf	ENSPTRG00000000379	1		90	ENSPTRG00000000379.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000398	candidate_not_in_local_release115_gtf	ENSPTRG00000000398	1		64	ENSPTRG00000000398.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000467	candidate_not_in_local_release115_gtf	ENSPTRG00000000467	1		90	ENSPTRG00000000467.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000477	candidate_not_in_local_release115_gtf	ENSPTRG00000000477	1		64	ENSPTRG00000000477.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000487	candidate_not_in_local_release115_gtf	ENSPTRG00000000487	1		64	ENSPTRG00000000487.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000569	candidate_not_in_local_release115_gtf	ENSPTRG00000000569	1		64	ENSPTRG00000000569.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000574	candidate_not_in_local_release115_gtf	ENSPTRG00000000574	1		90	ENSPTRG00000000574.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000595	candidate_not_in_local_release115_gtf	ENSPTRG00000000595	1		64	ENSPTRG00000000595.1		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000612	replacement_not_protein_coding	ENSPTRG00000000612	1	processed_pseudogene	116	ENSPTRG00000000612.5	1	success	Candidate exists in local Ensembl 115 GTF but is not protein_coding
ENSPTRG00000000696	candidate_not_in_local_release115_gtf	ENSPTRG00000000696	1		64	ENSPTRG00000000696.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000699	candidate_not_in_local_release115_gtf	ENSPTRG00000000699	1		64	ENSPTRG00000000699.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000926	candidate_not_in_local_release115_gtf	ENSPTRG00000000926	1		90	ENSPTRG00000000926.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000000933	candidate_not_in_local_release115_gtf	ENSPTRG00000000933	1		90	ENSPTRG00000000933.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001146	candidate_not_in_local_release115_gtf	ENSPTRG00000001146	1		90	ENSPTRG00000001146.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001182	candidate_not_in_local_release115_gtf	ENSPTRG00000001182	1		64	ENSPTRG00000001182.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001585	candidate_not_in_local_release115_gtf	ENSPTRG00000001585	1		90	ENSPTRG00000001585.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001627	candidate_not_in_local_release115_gtf	ENSPTRG00000001627	1		90	ENSPTRG00000001627.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001693	candidate_not_in_local_release115_gtf	ENSPTRG00000001693	1		90	ENSPTRG00000001693.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001706	candidate_not_in_local_release115_gtf	ENSPTRG00000001706	1		90	ENSPTRG00000001706.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001904	candidate_not_in_local_release115_gtf	ENSPTRG00000001904	1		90	ENSPTRG00000001904.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000001991	candidate_not_in_local_release115_gtf	ENSPTRG00000001991	1		64	ENSPTRG00000001991.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002020	candidate_not_in_local_release115_gtf	ENSPTRG00000002020	1		90	ENSPTRG00000002020.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000002156	candidate_not_in_local_release115_gtf	ENSPTRG00000002156	1		64	ENSPTRG00000002156.2		success	Archive candidate was not found in the local Ensembl 115 GTF
