metric	value
all_gene_rows_in_full_gtf	33729
protein_coding_gene_ids_in_full_gtf	23302
unique_hk_ids_in_input_list	3534
directly_mapped_original_hk_ids	3045
archive_rescued_original_hk_ids	2
unresolved_original_hk_ids	487
direct_mapping_rate_percent	86.163
mapping_rate_after_rescue_percent	86.2196
unique_final_hk_target_genes	3047
final_non_hk_genes	20255
mapping_status_ambiguous_multiple_protein_coding	2
mapping_status_candidate_not_in_local_release115_gtf	464
mapping_status_exact_protein_coding	3045
mapping_status_replacement_not_protein_coding	21
mapping_status_rescued_one_to_one	2
