Tissue	cutoff	n_expressed_genes	genes_at_cutoff1	fraction_vs_cutoff1	percent_vs_cutoff1
adipose tissue	1	13301	13301	1	100
adrenal gland	1	12784	12784	1	100
amygdala	1	13511	13511	1	100
basal ganglia	1	13863	13863	1	100
blood vessel	1	13260	13260	1	100
breast	1	13282	13282	1	100
cerebellum	1	13061	13061	1	100
cerebral cortex	1	13699	13699	1	100
cervix	1	13868	13868	1	100
colon	1	13843	13843	1	100
endometrium	1	12806	12806	1	100
esophagus	1	13104	13104	1	100
fallopian tube	1	13435	13435	1	100
heart muscle	1	13246	13246	1	100
hippocampal formation	1	13665	13665	1	100
hypothalamus	1	13763	13763	1	100
kidney	1	13698	13698	1	100
liver	1	12744	12744	1	100
lung	1	13567	13567	1	100
midbrain	1	13520	13520	1	100
ovary	1	12685	12685	1	100
pancreas	1	13009	13009	1	100
pituitary gland	1	13707	13707	1	100
prostate	1	13525	13525	1	100
retina	1	12947	12947	1	100
salivary gland	1	13537	13537	1	100
skeletal muscle	1	12149	12149	1	100
skin	1	13481	13481	1	100
small intestine	1	13714	13714	1	100
spinal cord	1	13407	13407	1	100
spleen	1	12950	12950	1	100
stomach	1	13424	13424	1	100
testis	1	14655	14655	1	100
thyroid gland	1	13181	13181	1	100
urinary bladder	1	13169	13169	1	100
vagina	1	13459	13459	1	100
adipose tissue	5	9710	13301	0.730020299225622	73.0020299225622
adrenal gland	5	9133	12784	0.714408635794743	71.4408635794743
amygdala	5	9290	13511	0.687587891347791	68.7587891347791
basal ganglia	5	9811	13863	0.707711173627642	70.7711173627642
blood vessel	5	9878	13260	0.744947209653092	74.4947209653092
breast	5	9505	13282	0.715630176178286	71.5630176178286
cerebellum	5	9461	13061	0.724370262613889	72.4370262613889
cerebral cortex	5	9742	13699	0.711146799036426	71.1146799036426
cervix	5	10086	13868	0.727285837900202	72.7285837900202
colon	5	10252	13843	0.740590912374485	74.0590912374485
endometrium	5	9236	12806	0.721224426050289	72.1224426050289
esophagus	5	9440	13104	0.72039072039072	72.039072039072
fallopian tube	5	9453	13435	0.703609973948642	70.3609973948642
heart muscle	5	9732	13246	0.734712365997282	73.4712365997282
hippocampal formation	5	9442	13665	0.690962312477131	69.0962312477131
hypothalamus	5	9431	13763	0.685243042941219	68.5243042941219
kidney	5	9787	13698	0.714483866257848	71.4483866257848
liver	5	9223	12744	0.723713119899561	72.3713119899561
lung	5	9560	13567	0.704650991376133	70.4650991376133
midbrain	5	9351	13520	0.69164201183432	69.164201183432
ovary	5	9160	12685	0.722112731572724	72.2112731572724
pancreas	5	9097	13009	0.699285110308248	69.9285110308248
pituitary gland	5	9442	13707	0.688845115634347	68.8845115634347
prostate	5	9504	13525	0.702698706099815	70.2698706099815
retina	5	8781	12947	0.678226616204526	67.8226616204526
salivary gland	5	9692	13537	0.715963655167319	71.5963655167319
skeletal muscle	5	8915	12149	0.733805251461026	73.3805251461026
skin	5	9759	13481	0.723907721979082	72.3907721979082
small intestine	5	9924	13714	0.723640075834913	72.3640075834913
spinal cord	5	9182	13407	0.684866114716193	68.4866114716193
spleen	5	9362	12950	0.722934362934363	72.2934362934363
stomach	5	9556	13424	0.711859356376639	71.1859356376639
testis	5	9797	14655	0.668509041282839	66.8509041282839
thyroid gland	5	9407	13181	0.713678780062211	71.3678780062211
urinary bladder	5	9476	13169	0.719568684030678	71.9568684030678
vagina	5	9670	13459	0.718478341630136	71.8478341630136
adipose tissue	10	7205	13301	0.541688594842493	54.1688594842493
adrenal gland	10	6681	12784	0.522606382978723	52.2606382978723
amygdala	10	6653	13511	0.492413588927541	49.2413588927541
basal ganglia	10	7163	13863	0.516699127173051	51.6699127173051
blood vessel	10	7466	13260	0.563046757164404	56.3046757164404
breast	10	6828	13282	0.514079204939015	51.4079204939015
cerebellum	10	6972	13061	0.533802924737769	53.3802924737769
cerebral cortex	10	7226	13699	0.527483757938536	52.7483757938536
cervix	10	7272	13868	0.524372656475339	52.4372656475339
colon	10	7563	13843	0.546341111030846	54.6341111030846
endometrium	10	6676	12806	0.521318132125566	52.1318132125566
esophagus	10	6946	13104	0.530067155067155	53.0067155067155
fallopian tube	10	6669	13435	0.496390026051358	49.6390026051358
heart muscle	10	7311	13246	0.551940208364789	55.1940208364789
hippocampal formation	10	6779	13665	0.496084888401024	49.6084888401025
hypothalamus	10	6660	13763	0.48390612511807	48.390612511807
kidney	10	7200	13698	0.525624178712221	52.5624178712221
liver	10	7051	12744	0.553279974890144	55.3279974890144
lung	10	6873	13567	0.506596889511314	50.6596889511314
midbrain	10	6688	13520	0.494674556213018	49.4674556213018
ovary	10	6609	12685	0.521009065825778	52.1009065825778
pancreas	10	6623	13009	0.509109078330387	50.9109078330387
pituitary gland	10	6559	13707	0.478514627562559	47.8514627562559
prostate	10	6694	13525	0.494935304990758	49.4935304990758
retina	10	6066	12947	0.468525527149147	46.8525527149147
salivary gland	10	6917	13537	0.510969934254266	51.0969934254266
skeletal muscle	10	6946	12149	0.571734299119269	57.1734299119269
skin	10	7190	13481	0.533343223796454	53.3343223796454
small intestine	10	7138	13714	0.520490010208546	52.0490010208546
spinal cord	10	6499	13407	0.484746774073245	48.4746774073245
spleen	10	6837	12950	0.527953667953668	52.7953667953668
stomach	10	6930	13424	0.516239570917759	51.6239570917759
testis	10	6838	14655	0.466598430569771	46.6598430569771
thyroid gland	10	6693	13181	0.507776344738639	50.7776344738639
urinary bladder	10	6783	13169	0.515073278153239	51.5073278153239
vagina	10	6939	13459	0.515565792406568	51.5565792406568
adipose tissue	20	4484	13301	0.337117509961657	33.7117509961657
adrenal gland	20	4191	12784	0.327831664580726	32.7831664580726
amygdala	20	4116	13511	0.304640663163348	30.4640663163348
basal ganglia	20	4465	13863	0.322080357786915	32.2080357786915
blood vessel	20	4788	13260	0.361085972850679	36.1085972850679
breast	20	4048	13282	0.304773377503388	30.4773377503388
cerebellum	20	4301	13061	0.329300972360462	32.9300972360462
cerebral cortex	20	4608	13699	0.336374917877217	33.6374917877217
cervix	20	4335	13868	0.312590135563888	31.2590135563888
colon	20	4724	13843	0.34125550819909	34.125550819909
endometrium	20	3945	12806	0.30805872247384	30.805872247384
esophagus	20	4388	13104	0.334859584859585	33.4859584859585
fallopian tube	20	3809	13435	0.283513211760328	28.3513211760328
heart muscle	20	4749	13246	0.358523327797071	35.8523327797071
hippocampal formation	20	4142	13665	0.303110135382364	30.3110135382364
hypothalamus	20	3991	13763	0.289980382184117	28.9980382184117
kidney	20	4484	13698	0.327347057964666	32.7347057964666
liver	20	4714	12744	0.369899560577527	36.9899560577527
lung	20	4090	13567	0.301466794427655	30.1466794427655
midbrain	20	4099	13520	0.303180473372781	30.3180473372781
ovary	20	3967	12685	0.312731572723689	31.2731572723689
pancreas	20	4020	13009	0.309016834499193	30.9016834499193
pituitary gland	20	3752	13707	0.273728751732691	27.3728751732691
prostate	20	3872	13525	0.286284658040665	28.6284658040665
retina	20	3396	12947	0.262300146752143	26.2300146752143
salivary gland	20	4053	13537	0.299401639949767	29.9401639949767
skeletal muscle	20	4814	12149	0.39624660465882	39.624660465882
skin	20	4462	13481	0.330984348342111	33.0984348342111
small intestine	20	4128	13714	0.301006270963978	30.1006270963978
spinal cord	20	3994	13407	0.297904079958231	29.7904079958231
spleen	20	4176	12950	0.322471042471042	32.2471042471042
stomach	20	4165	13424	0.310265196662694	31.0265196662694
testis	20	4046	14655	0.276083248038212	27.6083248038212
thyroid gland	20	3849	13181	0.292011228283135	29.2011228283135
urinary bladder	20	4025	13169	0.305642038119827	30.5642038119827
vagina	20	4089	13459	0.303811575897169	30.3811575897169
