Tissue	n_expressed_genes	mean_gene_length_bp	variance_gene_length_bp2	sd_gene_length_bp	cutoff	cv_gene_length	log10_mean_gene_length_bp	log10_variance_gene_length_bp2
adipose tissue	13301	70598.7965566499	14362035700.2094	119841.711020034	1	1.69750359588454	4.84879729803111	10.1572160019333
adrenal gland	12784	70194.6145181477	13909485708.67	117938.482730066	1	1.68016426245313	4.84630379340088	10.1433110726221
amygdala	13511	79006.4629561098	21075768931.3976	145174.959725834	1	1.83750739235704	4.89766261928245	10.3237834284484
basal ganglia	13863	78955.0747312991	20937774749.46	144698.910671297	1	1.83267397521614	4.89738004893547	10.3209305233131
blood vessel	13260	73280.106561086	16330620802.7935	127791.317399867	1	1.7438746120455	4.86498609219443	10.2130026946021
breast	13282	70888.1650353862	14422622844.9736	120094.224861038	1	1.69413645847779	4.850573734635	10.1590442467577
cerebellum	13061	75460.1869688385	18809073030.78	137146.173956039	1	1.81746400936793	4.87771787692427	10.2743673927042
cerebral cortex	13699	79676.1386962552	21339528317.3493	146080.554206743	1	1.83342913696706	4.90132827893543	10.3291848156772
cervix	13868	71422.486732045	15461474355.0793	124344.177005115	1	1.74096678363518	4.85383496704416	10.189250904443
colon	13843	71005.1741674493	15082048759.3419	122808.992990505	1	1.72957808258999	4.85128999703592	10.178460340502
endometrium	12806	71721.3380446666	15137878980.7998	123036.088123769	1	1.71547396462604	4.85564838323251	10.1800650289643
esophagus	13104	67363.5628052503	12915246587.1356	113645.266452834	1	1.68704358439866	4.82842504858871	10.1111027024497
fallopian tube	13435	71580.506587272	14740285206.4629	121409.576255182	1	1.69612625061765	4.85479476763988	10.1685058866706
heart muscle	13246	72832.3709799185	16437484201.3822	128208.752436728	1	1.76032649647061	4.86232444817663	10.215835348419
hippocampal formation	13665	78809.3998536407	20658202191.0724	143729.61487137	1	1.82376233213671	4.89657802029542	10.3150925237436
