Tissue	n_gene_tissue_pairs	n_expressed_genes	mean_gene_length_bp	median_gene_length_bp	variance_gene_length_bp	sd_gene_length_bp	min_gene_length_bp	q1_gene_length_bp	q3_gene_length_bp	max_gene_length_bp	mean_log10_gene_length_bp	median_log10_gene_length_bp	variance_log10_gene_length_bp	sd_log10_gene_length_bp	mean_nTPM	median_nTPM
adipose tissue	13301	13301	70598.7965566499	32576	14362035700.2094	119841.711020034	159	13261	78655	2298757	4.50187187244341	4.51289775632065	0.318404707231486	0.564273610256129	50.3448462521615	11.4
adrenal gland	12784	12784	70194.6145181477	32742.5	13909485708.67	117938.482730066	159	13346	78624.25	2241933	4.50400626332211	4.5151117992717	0.313253102559181	0.559690184440625	44.7414189612015	10.8
amygdala	13511	13511	79006.4629561098	33679	21075768931.3976	145174.959725834	180	13590.5	83810	2473539	4.52480638154508	4.52735918790691	0.332792476821407	0.576881683555135	43.4639108874251	9.7
basal ganglia	13863	13863	78955.0747312991	33624	20937774749.46	144698.910671297	117	13456	83713	2473539	4.5226438094514	4.52664937699738	0.336598618648394	0.580171197706672	42.6891942580971	10.5
blood vessel	13260	13260	73280.106561086	33208.5	16330620802.7935	127791.317399867	120	13534.5	80758.25	2298757	4.51114779915549	4.52124925691304	0.322455779090077	0.567851898905056	60.5713650075415	12.3
breast	13282	13282	70888.1650353862	32793.5	14422622844.9736	120094.224861038	120	13384.5	79048.5	2241933	4.50474065236068	4.51578777067709	0.316813413591327	0.562861806833016	43.9099608492697	10.4
cerebellum	13061	13061	75460.1869688385	33164	18809073030.78	137146.173956039	117	13319	81444	2473539	4.51293419015922	4.52066690647294	0.329024819324876	0.573606850835026	33.4269887451191	11.1
cerebral cortex	13699	13699	79676.1386962552	33739	21339528317.3493	146080.554206743	159	13581.5	84723	2473539	4.52583166818256	4.52813220626384	0.336302459406781	0.579915907185499	42.5102270238704	11
cervix	13868	13868	71422.486732045	32547.5	15461474355.0793	124344.177005115	117	13200	78656.25	2298757	4.50170741032125	4.51251762947145	0.32161223463678	0.56710866210699	50.160261032593	10.8
colon	13843	13843	71005.1741674493	32481	15082048759.3419	122808.992990505	159	13243	78457	2298757	4.50169520560492	4.51162939149883	0.318468440056328	0.564330080765086	48.1594596546991	11.6
endometrium	12806	12806	71721.3380446666	33084.5	15137878980.7998	123036.088123769	117	13585.25	79660.75	2298757	4.51043613433264	4.51962457516974	0.314192619704577	0.560528874996264	40.9276745275652	10.6
esophagus	13104	13104	67363.5628052503	31764.5	12915246587.1356	113645.266452834	159	13169.75	75794.75	2241933	4.49069079324258	4.50194202351013	0.310040959564008	0.5568132178424	68.2476572039072	11
fallopian tube	13435	13435	71580.506587272	33034	14740285206.4629	121409.576255182	120	13456	79651.5	2298757	4.5091932959294	4.51896116444976	0.315760063762671	0.561925318670258	39.1931224413844	9.8
heart muscle	13246	13246	72832.3709799185	33036	16437484201.3822	128208.752436728	159	13425	79922.75	2473539	4.50957355056835	4.51898745664509	0.319965682791034	0.565655091722008	71.9507171976446	12
hippocampal formation	13665	13665	78809.3998536407	33861	20658202191.0724	143729.61487137	159	13586	84147	2473539	4.52516454796304	4.52969977976432	0.333334282988812	0.577351091614809	39.9532162458836	9.8
hypothalamus	13763	13763	79232.9971663155	33818	20980179729.7789	144845.364888832	117	13581.5	84346.5	2473539	4.52522876327772	4.52914791980083	0.335544824941377	0.579262310996821	37.0926687495459	9.4
kidney	13698	13698	70721.1664476566	32431	14808654488.1645	121690.815134769	138	13169.25	78299	2298757	4.50011679828298	4.51096034001095	0.31974248850427	0.565457768983918	46.0527157249233	10.9
liver	12744	12744	65928.3043000628	31299	12554736973.324	112047.922664028	159	12987	74375	2304997	4.48381901829198	4.49553046121508	0.307053432487601	0.554124022658828	98.7169020715631	12.1
lung	13567	13567	70055.7474017837	32571	14315427679.6896	119647.096411445	159	13273.5	78541.5	2298757	4.50159492021333	4.51283109254752	0.315074556476978	0.561315024275119	41.6780349377165	10.2
midbrain	13520	13520	77754.7481508876	33751.5	19940828486.4379	141211.998379875	159	13642.25	83341.5	2473539	4.52394371724208	4.52829307066141	0.32950171622021	0.574022400451594	45.5506952662722	9.8
ovary	12685	12685	71435.38793851	33086	15224706323.2709	123388.436748631	159	13550	79454	2304997	4.50878931850309	4.51964426540908	0.314882417603101	0.561143847514255	53.7574852187623	10.7
pancreas	13009	13009	68435.6439388116	32421	12995661783.9738	113998.516586725	159	13394	77729	2298757	4.49966624497509	4.51082640618751	0.308692936928133	0.555601419119978	164.619763240833	10.3
pituitary gland	13707	13707	75262.1912891223	33292	18019459688.2779	134236.581036161	117	13357	81834.5	2304997	4.51372403439114	4.52233988596091	0.328619815310971	0.573253709373931	42.461953746261	9.3
prostate	13525	13525	71355.3183733826	32611	15212421358.4857	123338.645032633	159	13241	78890	2304997	4.5032073387594	4.51336411643316	0.320137538425174	0.565806979830732	37.5341072088725	9.8
retina	12947	12947	83008.5645323241	36570	22072792064.8209	148569.14910176	84	14751.5	89341	2473539	4.55772576383118	4.56312496033804	0.324412876740654	0.569572538611768	26.8559434618058	9.1
salivary gland	13537	13537	68560.5808524784	31994	13312608288.7163	115380.276861846	159	13123	77178	2473539	4.49408830394308	4.50506854046951	0.314883611286018	0.56114491112904	54.732666026446	10.3
skeletal muscle	12149	12149	69288.2801876698	32860	13246344706.7019	115092.765657542	159	13450	78320	2473539	4.50395690096189	4.51666755909904	0.309512021971028	0.556338046488848	98.7547946333031	13.1
skin	13481	13481	67792.089310882	31530	12958781337.2478	113836.643209679	159	12799	76449	2241933	4.48214940005361	4.4987239707479	0.328618664336899	0.573252705477174	53.0008011275128	11.2
small intestine	13714	13714	68898.5752515677	32154.5	13747893732.7579	117251.412497922	159	13201.25	76746.75	2298757	4.49690864706165	4.50724176025297	0.311453633567629	0.558080311037425	39.576673472364	10.6
spinal cord	13407	13407	76301.5092116059	33541	19134402162.535	138327.156272856	159	13630.5	82441.5	2473539	4.51944202450042	4.52557600663047	0.327454087174295	0.572236041484888	51.4750503468337	9.5
spleen	12950	12950	66465.5654826255	31628.5	11754123605.8733	108416.436050413	117	13043.5	75038.75	2057829	4.48737965942719	4.50007859307674	0.309825596786277	0.556619795539359	44.6836447876448	10.9
stomach	13424	13424	69654.8601013111	32323.5	13921928892.6228	117991.223794919	159	13241.75	77678.25	2241933	4.49915937917582	4.50951837890968	0.314475087325671	0.560780783662985	65.7707315256257	10.5
testis	14655	14655	70846.7866939611	31515	16549050331.9402	128643.112260005	117	12520.5	76969.5	2473539	4.48272025728884	4.49851731146163	0.339319544315217	0.582511411317596	27.2945411122484	8.9
thyroid gland	13181	13181	71281.3316895531	33116	14305184669.958	119604.283660569	159	13575	79916	2298757	4.50914214962787	4.52003787392087	0.315115314644301	0.561351329066122	35.8338821030271	10.2
urinary bladder	13169	13169	71502.4300250589	33071	14748931527.1505	121445.179102138	159	13547	79718	2298757	4.5096364414951	4.519447327297	0.314786753043567	0.56105860036503	42.2797023312324	10.5
vagina	13459	13459	70393.6717438145	32381	14660309986.4564	121079.767039982	159	13220	78076.5	2298757	4.49992202847068	4.5102902566402	0.317850380442317	0.563782210115145	49.114666765733	10.5
