Tissue	n_mt_genes	n_mt_genes_nTPM_ge_1	mean_mt_nTPM	median_mt_nTPM	min_mt_nTPM	max_mt_nTPM
heart muscle	13	13	176690.992307692	186829.7	26164.9	355486.2
basal ganglia	13	13	94865.7461538462	96259	18206.9	156046.7
hippocampal formation	13	13	81470.6	73212	13709.6	138294.2
amygdala	13	13	76920.8769230769	70176.1	12820.9	132058.2
liver	13	13	74798.0846153846	75489.3	9524.4	150369.2
kidney	13	13	69910.1384615385	63032.5	7536.7	136147.3
midbrain	13	13	66510.2	68665.5	10605.5	118522.3
cerebral cortex	13	13	65064.5	56810.7	10656.8	113576.7
hypothalamus	13	13	63642.8923076923	59027.6	11765.2	109954.9
skeletal muscle	13	13	55163.4384615385	50734.9	11665.9	117457.6
spinal cord	13	13	47305.9153846154	52893.4	9108.7	76212
adrenal gland	13	13	36012.4384615385	41249.5	4457.8	70303.3
stomach	13	13	32077.3846153846	34418.1	6191.3	60250.9
cerebellum	13	13	26740.9846153846	24544.3	4065	49505.4
colon	13	13	26652.5307692308	25081.8	3917.2	49230.9
small intestine	13	13	22298.9230769231	20332.4	4496	43623.5
adipose tissue	13	13	21966.8846153846	22327.3	4014.2	47351.5
breast	13	13	18848.0538461538	18731.7	2361.9	38050.9
pancreas	13	13	18308.8692307692	19054.8	2466.1	38224.3
skin	13	13	17408.3769230769	15864.3	4684.5	32910.7
prostate	13	13	17365.2692307692	16022.5	2300.5	36637.9
urinary bladder	13	13	15523.1692307692	17008.9	3526.7	30673.5
salivary gland	13	13	14910.1615384615	14215.9	2054.8	29552.8
esophagus	13	13	14200.3461538462	12387.4	2451	27096.9
thyroid gland	13	13	12093.3769230769	12938.3	1874	25446.1
pituitary gland	13	13	11787.1153846154	12058.9	1366.4	25281.9
blood vessel	13	13	11565.5076923077	10829	2634.6	23348.3
testis	13	13	11119.1615384615	11069.9	872.6	21606.5
spleen	13	13	10796.1076923077	11029.5	1916.8	19249.8
lung	13	13	9517.56153846154	8763.6	2446.1	18905.5
retina	13	13	9336.59230769231	8322	3025	17116.6
endometrium	13	13	8917.36153846154	9027.8	1990.2	18967.8
vagina	13	13	8719.93846153846	9461.1	1404.4	18081.3
fallopian tube	13	13	8526.55384615385	9240.6	2074.2	17270.6
cervix	13	13	8191.04615384615	8657	1533.7	17231
ovary	13	13	7151.71538461538	7323.1	1442.9	15444.8
