Tissue	n_expressed_genes	mean_gene_length_bp
adipose tissue	13301	70598.7965566499
adrenal gland	12784	70194.6145181477
amygdala	13511	79006.4629561098
basal ganglia	13863	78955.0747312991
blood vessel	13260	73280.106561086
breast	13282	70888.1650353862
cerebellum	13061	75460.1869688385
cerebral cortex	13699	79676.1386962552
cervix	13868	71422.486732045
colon	13843	71005.1741674493
endometrium	12806	71721.3380446666
esophagus	13104	67363.5628052503
fallopian tube	13435	71580.506587272
heart muscle	13246	72832.3709799185
hippocampal formation	13665	78809.3998536407
hypothalamus	13763	79232.9971663155
kidney	13698	70721.1664476566
liver	12744	65928.3043000628
lung	13567	70055.7474017837
midbrain	13520	77754.7481508876
ovary	12685	71435.38793851
pancreas	13009	68435.6439388116
pituitary gland	13707	75262.1912891223
prostate	13525	71355.3183733826
retina	12947	83008.5645323241
salivary gland	13537	68560.5808524784
skeletal muscle	12149	69288.2801876698
skin	13481	67792.089310882
small intestine	13714	68898.5752515677
spinal cord	13407	76301.5092116059
spleen	12950	66465.5654826255
stomach	13424	69654.8601013111
testis	14655	70846.7866939611
thyroid gland	13181	71281.3316895531
urinary bladder	13169	71502.4300250589
vagina	13459	70393.6717438145
