Tissue	n_expressed_genes	mean_gene_length_bp	cutoff	cutoff_label
adipose tissue	13301	70598.7965566499	1	nTPM >= 1
adrenal gland	12784	70194.6145181477	1	nTPM >= 1
amygdala	13511	79006.4629561098	1	nTPM >= 1
basal ganglia	13863	78955.0747312991	1	nTPM >= 1
blood vessel	13260	73280.106561086	1	nTPM >= 1
breast	13282	70888.1650353862	1	nTPM >= 1
cerebellum	13061	75460.1869688385	1	nTPM >= 1
cerebral cortex	13699	79676.1386962552	1	nTPM >= 1
cervix	13868	71422.486732045	1	nTPM >= 1
colon	13843	71005.1741674493	1	nTPM >= 1
endometrium	12806	71721.3380446666	1	nTPM >= 1
esophagus	13104	67363.5628052503	1	nTPM >= 1
fallopian tube	13435	71580.506587272	1	nTPM >= 1
heart muscle	13246	72832.3709799185	1	nTPM >= 1
hippocampal formation	13665	78809.3998536407	1	nTPM >= 1
hypothalamus	13763	79232.9971663155	1	nTPM >= 1
kidney	13698	70721.1664476566	1	nTPM >= 1
liver	12744	65928.3043000628	1	nTPM >= 1
lung	13567	70055.7474017837	1	nTPM >= 1
midbrain	13520	77754.7481508876	1	nTPM >= 1
ovary	12685	71435.38793851	1	nTPM >= 1
pancreas	13009	68435.6439388116	1	nTPM >= 1
pituitary gland	13707	75262.1912891223	1	nTPM >= 1
prostate	13525	71355.3183733826	1	nTPM >= 1
retina	12947	83008.5645323241	1	nTPM >= 1
salivary gland	13537	68560.5808524784	1	nTPM >= 1
skeletal muscle	12149	69288.2801876698	1	nTPM >= 1
skin	13481	67792.089310882	1	nTPM >= 1
small intestine	13714	68898.5752515677	1	nTPM >= 1
spinal cord	13407	76301.5092116059	1	nTPM >= 1
spleen	12950	66465.5654826255	1	nTPM >= 1
stomach	13424	69654.8601013111	1	nTPM >= 1
testis	14655	70846.7866939611	1	nTPM >= 1
thyroid gland	13181	71281.3316895531	1	nTPM >= 1
urinary bladder	13169	71502.4300250589	1	nTPM >= 1
vagina	13459	70393.6717438145	1	nTPM >= 1
adipose tissue	9710	65439.3122554068	5	nTPM >= 5
adrenal gland	9133	62338.5394722435	5	nTPM >= 5
amygdala	9290	70982.1077502691	5	nTPM >= 5
basal ganglia	9811	72354.9234532667	5	nTPM >= 5
blood vessel	9878	69385.5503138287	5	nTPM >= 5
breast	9505	63917.5721199369	5	nTPM >= 5
cerebellum	9461	69075.2177359687	5	nTPM >= 5
cerebral cortex	9742	75292.9035105728	5	nTPM >= 5
cervix	10086	64455.0554233591	5	nTPM >= 5
colon	10252	65239.8829496684	5	nTPM >= 5
endometrium	9236	64510.8898873971	5	nTPM >= 5
esophagus	9440	58886.6762711864	5	nTPM >= 5
fallopian tube	9453	63429.2024754046	5	nTPM >= 5
heart muscle	9732	66509.6477599671	5	nTPM >= 5
hippocampal formation	9442	71788.6740097437	5	nTPM >= 5
hypothalamus	9431	71447.3398367087	5	nTPM >= 5
kidney	9787	61776.0038827015	5	nTPM >= 5
liver	9223	58659.8551447468	5	nTPM >= 5
lung	9560	63756.7894351464	5	nTPM >= 5
midbrain	9351	70009.8430114426	5	nTPM >= 5
ovary	9160	65195.5968340611	5	nTPM >= 5
pancreas	9097	59359.2966912169	5	nTPM >= 5
pituitary gland	9442	63425.1074984114	5	nTPM >= 5
prostate	9504	63193.3339646465	5	nTPM >= 5
retina	8781	81040.522263979	5	nTPM >= 5
salivary gland	9692	61131.0164052827	5	nTPM >= 5
skeletal muscle	8915	63937.5295569265	5	nTPM >= 5
skin	9759	61201.2631417153	5	nTPM >= 5
small intestine	9924	60485.1425836356	5	nTPM >= 5
spinal cord	9182	68124.8568939229	5	nTPM >= 5
spleen	9362	57277.133518479	5	nTPM >= 5
stomach	9556	61229.4145039766	5	nTPM >= 5
testis	9797	59988.6977646218	5	nTPM >= 5
thyroid gland	9407	63602.8864675242	5	nTPM >= 5
urinary bladder	9476	64792.9762558041	5	nTPM >= 5
vagina	9670	62794.3861427094	5	nTPM >= 5
adipose tissue	7205	59051.6	10	nTPM >= 10
adrenal gland	6681	54364.0745397396	10	nTPM >= 10
amygdala	6653	65482.9694874493	10	nTPM >= 10
basal ganglia	7163	66762.4546977523	10	nTPM >= 10
blood vessel	7466	64990.2915885347	10	nTPM >= 10
breast	6828	56948.1936145284	10	nTPM >= 10
cerebellum	6972	66232.2359437751	10	nTPM >= 10
cerebral cortex	7226	68512.9900359812	10	nTPM >= 10
cervix	7272	55881.347359736	10	nTPM >= 10
colon	7563	58694.2131429327	10	nTPM >= 10
