Tissue	n_expressed_genes	mean_gene_length_bp	cutoff	order_rank
liver	12744	65928.3043000628	1	1
spleen	12950	66465.5654826255	1	2
esophagus	13104	67363.5628052503	1	3
skin	13481	67792.089310882	1	4
pancreas	13009	68435.6439388116	1	5
salivary gland	13537	68560.5808524784	1	6
small intestine	13714	68898.5752515677	1	7
skeletal muscle	12149	69288.2801876698	1	8
stomach	13424	69654.8601013111	1	9
lung	13567	70055.7474017837	1	10
adrenal gland	12784	70194.6145181477	1	11
vagina	13459	70393.6717438145	1	12
adipose tissue	13301	70598.7965566499	1	13
kidney	13698	70721.1664476566	1	14
testis	14655	70846.7866939611	1	15
breast	13282	70888.1650353862	1	16
colon	13843	71005.1741674493	1	17
thyroid gland	13181	71281.3316895531	1	18
prostate	13525	71355.3183733826	1	19
cervix	13868	71422.486732045	1	20
ovary	12685	71435.38793851	1	21
urinary bladder	13169	71502.4300250589	1	22
fallopian tube	13435	71580.506587272	1	23
endometrium	12806	71721.3380446666	1	24
heart muscle	13246	72832.3709799185	1	25
blood vessel	13260	73280.106561086	1	26
pituitary gland	13707	75262.1912891223	1	27
cerebellum	13061	75460.1869688385	1	28
spinal cord	13407	76301.5092116059	1	29
midbrain	13520	77754.7481508876	1	30
hippocampal formation	13665	78809.3998536407	1	31
basal ganglia	13863	78955.0747312991	1	32
amygdala	13511	79006.4629561098	1	33
hypothalamus	13763	79232.9971663155	1	34
cerebral cortex	13699	79676.1386962552	1	35
retina	12947	83008.5645323241	1	36
