Tissue	hk_genes_detected	total_hk_genes	percent_hk_genes_detected
adrenal gland	2170	2172	99.9079189686924
salivary gland	2170	2172	99.9079189686924
testis	2170	2172	99.9079189686924
adipose tissue	2169	2172	99.8618784530387
basal ganglia	2169	2172	99.8618784530387
blood vessel	2169	2172	99.8618784530387
breast	2169	2172	99.8618784530387
cerebral cortex	2169	2172	99.8618784530387
cervix	2169	2172	99.8618784530387
colon	2169	2172	99.8618784530387
endometrium	2169	2172	99.8618784530387
fallopian tube	2169	2172	99.8618784530387
heart muscle	2169	2172	99.8618784530387
lung	2169	2172	99.8618784530387
ovary	2169	2172	99.8618784530387
prostate	2169	2172	99.8618784530387
skeletal muscle	2169	2172	99.8618784530387
skin	2169	2172	99.8618784530387
small intestine	2169	2172	99.8618784530387
stomach	2169	2172	99.8618784530387
thyroid gland	2169	2172	99.8618784530387
urinary bladder	2169	2172	99.8618784530387
vagina	2169	2172	99.8618784530387
cerebellum	2168	2172	99.8158379373849
esophagus	2168	2172	99.8158379373849
liver	2168	2172	99.8158379373849
pancreas	2168	2172	99.8158379373849
spinal cord	2168	2172	99.8158379373849
amygdala	2167	2172	99.7697974217311
hippocampal formation	2167	2172	99.7697974217311
hypothalamus	2167	2172	99.7697974217311
kidney	2167	2172	99.7697974217311
midbrain	2167	2172	99.7697974217311
spleen	2167	2172	99.7697974217311
pituitary gland	2166	2172	99.7237569060773
retina	2161	2172	99.4935543278085
