Tissue	n_genes	mean_gene_length_bp	variance_gene_length_bp2	sd_gene_length_bp	log10_mean_gene_length_bp	log10_variance_gene_length_bp2
adipose tissue	13301	70598.7965566499	14362035700.2094	119841.711020034	4.84879729803111	10.1572160019333
adrenal gland	12784	70194.6145181477	13909485708.67	117938.482730066	4.84630379340088	10.1433110726221
amygdala	13511	79006.4629561098	21075768931.3976	145174.959725834	4.89766261928245	10.3237834284484
basal ganglia	13863	78955.0747312991	20937774749.46	144698.910671297	4.89738004893547	10.3209305233131
blood vessel	13260	73280.106561086	16330620802.7935	127791.317399867	4.86498609219443	10.2130026946021
breast	13282	70888.1650353862	14422622844.9736	120094.224861038	4.850573734635	10.1590442467577
cerebellum	13061	75460.1869688385	18809073030.78	137146.173956039	4.87771787692427	10.2743673927042
cerebral cortex	13699	79676.1386962552	21339528317.3493	146080.554206743	4.90132827893543	10.3291848156772
cervix	13868	71422.486732045	15461474355.0793	124344.177005115	4.85383496704416	10.189250904443
colon	13843	71005.1741674493	15082048759.3419	122808.992990505	4.85128999703592	10.178460340502
endometrium	12806	71721.3380446666	15137878980.7998	123036.088123769	4.85564838323251	10.1800650289643
esophagus	13104	67363.5628052503	12915246587.1356	113645.266452834	4.82842504858871	10.1111027024497
fallopian tube	13435	71580.506587272	14740285206.4629	121409.576255182	4.85479476763988	10.1685058866706
heart muscle	13246	72832.3709799185	16437484201.3822	128208.752436728	4.86232444817663	10.215835348419
hippocampal formation	13665	78809.3998536407	20658202191.0724	143729.61487137	4.89657802029542	10.3150925237436
hypothalamus	13763	79232.9971663155	20980179729.7789	144845.364888832	4.89890608440283	10.3218092043207
kidney	13698	70721.1664476566	14808654488.1645	121690.815134769	4.84954941514986	10.1705156003908
liver	12744	65928.3043000628	12554736973.324	112047.922664028	4.8190719056755	10.0988076185041
lung	13567	70055.7474017837	14315427679.6896	119647.096411445	4.84544377077794	10.1558043272898
midbrain	13520	77754.7481508876	19940828486.4379	141211.998379875	4.89072691902063	10.2997431980887
ovary	12685	71435.38793851	15224706323.2709	123388.436748631	4.85391340756144	10.1825489240692
pancreas	13009	68435.6439388116	12995661783.9738	113998.516586725	4.8352823580645	10.1137984001749
pituitary gland	13707	75262.1912891223	18019459688.2779	134236.581036161	4.87657685882732	10.2557417645611
prostate	13525	71355.3183733826	15212421358.4857	123338.645032633	4.85342634821638	10.1821983461328
retina	12947	83008.5645323241	22072792064.8209	148569.14910176	4.9191229036681	10.3438572720674
salivary gland	13537	68560.5808524784	13312608288.7163	115380.276861846	4.83607448831942	10.1242631534777
skeletal muscle	12149	69288.2801876698	13246344706.7019	115092.765657542	4.84065978179416	10.1220960524073
skin	13481	67792.089310882	12958781337.2478	113836.643209679	4.83117901880699	10.1125641617665
small intestine	13714	68898.5752515677	13747893732.7579	117251.412497922	4.8382102412577	10.1382361665074
spinal cord	13407	76301.5092116059	19134402162.535	138327.156272856	4.88253312820115	10.2818148976257
spleen	12950	66465.5654826255	11754123605.8733	108416.436050413	4.82259670403861	10.070190253425
stomach	13424	69654.8601013111	13921928892.6228	117991.223794919	4.84295142429972	10.1436994112363
testis	14655	70846.7866939611	16549050331.9402	128643.112260005	4.85032015729726	10.2187730768168
thyroid gland	13181	71281.3316895531	14305184669.958	119604.283660569	4.85297580466549	10.1554934686164
urinary bladder	13169	71502.4300250589	14748931527.1505	121445.179102138	4.85432080164081	10.1687605593874
vagina	13459	70393.6717438145	14660309986.4564	121079.767039982	4.84753361865529	10.1661431533872
