Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000198888	3307	4262	MT
ENSG00000198763	4470	5511	MT
ENSG00000198804	5904	7445	MT
ENSG00000198712	7586	8269	MT
ENSG00000228253	8366	8572	MT
ENSG00000198899	8527	9207	MT
ENSG00000198938	9207	9990	MT
ENSG00000198840	10059	10404	MT
ENSG00000212907	10470	10766	MT
ENSG00000198886	10760	12137	MT
ENSG00000198786	12337	14148	MT
ENSG00000198695	14149	14673	MT
ENSG00000198727	14747	15887	MT
ENSG00000271254	4612	29626	KI270711.1
ENSG00000278704	56140	58376	GL000009.2
ENSG00000277196	138082	161852	KI270734.1
ENSG00000277630	108007	139659	GL000213.1
ENSG00000278817	131494	137392	KI270734.1
ENSG00000276017	72411	74814	KI270734.1
ENSG00000276256	42939	49164	GL000195.1
ENSG00000278384	51867	54893	GL000218.1
ENSG00000268674	35407	35916	KI270713.1
ENSG00000277475	31698	32528	KI270713.1
ENSG00000275063	41444	41876	KI270726.1
ENSG00000277856	26241	26534	KI270726.1
ENSG00000277400	53590	115018	GL000194.1
ENSG00000274847	53594	115055	GL000194.1
ENSG00000276345	2585	11802	KI270721.1
ENSG00000274175	17234	19833	KI270728.1
ENSG00000273554	1139577	1147868	KI270728.1
ENSG00000273748	54224	83311	GL000219.1
ENSG00000275869	933862	936467	KI270728.1
ENSG00000277836	1270984	1271271	KI270728.1
ENSG00000278633	10598	13001	KI270731.1
ENSG00000281766	49076	122044	HG126_PATCH
ENSG00000288269	17625	27501	HG1320_PATCH
ENSG00000288213	35854	46795	HG1320_PATCH
ENSG00000291368	74316	81453	HG1311_HG2539_PATCH
ENSG00000291362	9906	24126	HG1047_PATCH
ENSG00000292254	8917	69331	HG1311_HG2539_PATCH
ENSG00000281934	6118	12923	HG1342_HG2282_PATCH
ENSG00000282175	28921	30238	HG1342_HG2282_PATCH
ENSG00000282817	38599	43422	HG1342_HG2282_PATCH
ENSG00000282584	60725	67714	HG1342_HG2282_PATCH
ENSG00000282663	74409	79783	HG1342_HG2282_PATCH
ENSG00000279195	98123	101995	HG1342_HG2282_PATCH
ENSG00000282119	119985	129093	HG1342_HG2282_PATCH
ENSG00000288186	46985	48543	HG1320_PATCH
ENSG00000282437	203816	210831	HG1342_HG2282_PATCH
ENSG00000282559	215209	216569	HG1342_HG2282_PATCH
ENSG00000282566	223017	232224	HG1342_HG2282_PATCH
ENSG00000282530	269828	271194	HG1342_HG2282_PATCH
ENSG00000291363	155427	198622	HG107_HG2565_PATCH
ENSG00000293532	71614	108092	HG107_HG2565_PATCH
ENSG00000281987	303245	310301	HG1342_HG2282_PATCH
ENSG00000282095	318926	319807	HG1342_HG2282_PATCH
ENSG00000282298	326795	333804	HG1342_HG2282_PATCH
ENSG00000282741	350528	355749	HG1342_HG2282_PATCH
ENSG00000282212	377045	380446	HG1342_HG2282_PATCH
ENSG00000282424	408552	417654	HG1342_HG2282_PATCH
ENSG00000282583	435375	439514	HG1342_HG2282_PATCH
ENSG00000282125	457879	463247	HG1342_HG2282_PATCH
ENSG00000293551	157184	159964	HG1342_HG2282_PATCH
ENSG00000291365	48751	219108	HG1206_PATCH
ENSG00000261958	7154	8071	HG151_NOVEL_TEST
ENSG00000262191	18234	19151	HG151_NOVEL_TEST
ENSG00000262647	60669	61653	HG151_NOVEL_TEST
ENSG00000281449	18842	180082	HG1362_PATCH
ENSG00000281107	137423	138358	HG151_NOVEL_TEST
ENSG00000281324	85023	236042	HG1362_PATCH
ENSG00000288175	11715	24443	HG1277_PATCH
ENSG00000288157	137021	141806	HG1277_PATCH
ENSG00000288481	213604	218073	HG1277_PATCH
ENSG00000291426	8637	43920	HG152_PATCH
ENSG00000291428	124165	196955	HG152_PATCH
ENSG00000281818	295054	319240	HG1362_PATCH
ENSG00000291431	294027	312247	HG152_PATCH
ENSG00000291433	324318	325259	HG152_PATCH
ENSG00000291434	337153	338270	HG152_PATCH
ENSG00000291435	347541	348439	HG152_PATCH
ENSG00000291440	360934	362114	HG152_PATCH
ENSG00000291443	369751	370906	HG152_PATCH
ENSG00000280689	326076	440236	HG1362_PATCH
ENSG00000291442	203723	274455	HG152_PATCH
ENSG00000280962	442285	531866	HG1362_PATCH
ENSG00000288204	98859	124622	HG1298_PATCH
ENSG00000291455	225079	227881	HG1532_PATCH
ENSG00000291458	204746	207566	HG1532_PATCH
ENSG00000291459	488788	491602	HG1532_PATCH
ENSG00000288499	168259	235989	HG1309_PATCH
ENSG00000288431	238026	238462	HG1309_PATCH
ENSG00000281230	12538	26373	HG1832_PATCH
ENSG00000284255	23101	24163	HG1708_PATCH
ENSG00000292249	74500	75420	HG1708_PATCH
ENSG00000280680	107994	459395	HG1832_PATCH
ENSG00000288263	18042	39335	HG1524_PATCH
ENSG00000291381	1991	16789	HG1343_HG173_HG459_PATCH
ENSG00000291382	35829	41320	HG1343_HG173_HG459_PATCH
ENSG00000291375	50977	156623	HG1343_HG173_HG459_PATCH
ENSG00000291379	156718	202286	HG1343_HG173_HG459_PATCH
ENSG00000291401	191257	241687	HG1343_HG173_HG459_PATCH
ENSG00000291380	244986	264343	HG1343_HG173_HG459_PATCH
ENSG00000291387	1481961	1534651	HG1343_HG173_HG459_PATCH
ENSG00000291465	23024	33840	HG2031_PATCH
ENSG00000291470	58549	99008	HG2031_PATCH
ENSG00000292226	366657	428849	HG1343_HG173_HG459_PATCH
ENSG00000291474	181192	185291	HG2031_PATCH
ENSG00000291473	100379	173784	HG2031_PATCH
ENSG00000292228	1011165	1078120	HG1343_HG173_HG459_PATCH
ENSG00000292227	585030	647269	HG1343_HG173_HG459_PATCH
ENSG00000292225	1198562	1260797	HG1343_HG173_HG459_PATCH
ENSG00000292338	2219506	2502805	Y
ENSG00000293604	32306	48880	HG2047_PATCH
ENSG00000292354	624344	659411	Y
ENSG00000292363	1190490	1212723	Y
ENSG00000292336	1615059	1643081	Y
ENSG00000291420	165618	180052	HG1369_PATCH
ENSG00000291421	50095	122536	HG1369_PATCH
ENSG00000292345	2486414	2502862	Y
ENSG00000292327	333933	386955	Y
ENSG00000285312	182302	205681	HG2057_PATCH
ENSG00000292348	2690988	2741312	Y
ENSG00000285226	205856	220666	HG2057_PATCH
ENSG00000284936	233799	242013	HG2057_PATCH
ENSG00000292344	276322	303358	Y
ENSG00000285222	3107	140252	HG2057_PATCH
ENSG00000292333	1462572	1537187	Y
ENSG00000292332	1335025	1382689	Y
ENSG00000292358	303346	318846	Y
ENSG00000292334	1386133	1392929	Y
ENSG00000292339	1403138	1453786	Y
ENSG00000292357	1268779	1325373	Y
ENSG00000288260	32845	52502	HG1395_PATCH
ENSG00000288297	39089	52538	HG1395_PATCH
ENSG00000288274	60573	64567	HG1395_PATCH
ENSG00000288243	65328	72730	HG1395_PATCH
ENSG00000292343	1591604	1602532	Y
ENSG00000292372	57207346	57212230	Y
ENSG00000292373	57184216	57199537	Y
ENSG00000292366	57067747	57130289	Y
ENSG00000183753	22973819	23005465	Y
ENSG00000169953	18731440	18773735	Y
ENSG00000172468	18546691	18588963	Y
ENSG00000176679	3579067	3580041	Y
ENSG00000182415	18025787	18027746	Y
ENSG00000185894	25030901	25062548	Y
ENSG00000205916	24833843	24907040	Y
ENSG00000291488	21954	396164	HG2069_PATCH
ENSG00000129873	17878260	17880220	Y
ENSG00000184895	2786855	2787682	Y
ENSG00000129824	2841602	2932000	Y
ENSG00000154620	13703899	13706024	Y
ENSG00000129864	13985772	13986473	Y
ENSG00000187191	24763069	24813492	Y
ENSG00000188120	23129355	23199010	Y
ENSG00000099721	6865918	6911752	Y
ENSG00000092377	6910686	7101970	Y
ENSG00000205944	23219447	23291356	Y
ENSG00000288512	8669	20226	HG1398_PATCH
ENSG00000129862	14056227	14056958	Y
ENSG00000283068	29598	107366	HG2072_PATCH
ENSG00000288124	17273	36924	HG1398_PATCH
ENSG00000280969	20756108	20781032	Y
ENSG00000099715	5000226	5742224	Y
ENSG00000288369	43422	56575	HG1398_PATCH
ENSG00000288427	57384	86631	HG1398_PATCH
ENSG00000172352	24045229	24048019	Y
ENSG00000183795	24607560	24639207	Y
ENSG00000172288	25622117	25624902	Y
ENSG00000242875	21511338	21525786	Y
ENSG00000234414	21534879	21549326	Y
ENSG00000288217	116371	146260	HG1398_PATCH
ENSG00000233803	9337464	9340284	Y
ENSG00000283085	233021	240643	HG2072_PATCH
ENSG00000229549	9357797	9360599	Y
ENSG00000228927	9398421	9401223	Y
ENSG00000258992	9466955	9469749	Y
ENSG00000238074	9487267	9490081	Y
ENSG00000236424	9527880	9530682	Y
ENSG00000291501	186223	266050	HG2077_PATCH
ENSG00000291502	53371	142101	HG2077_PATCH
ENSG00000168757	6246223	6249019	Y
ENSG00000263150	21622	22569	HG142_HG150_NOVEL_TEST
ENSG00000262851	42855	43934	HG142_HG150_NOVEL_TEST
ENSG00000261897	62949	63971	HG142_HG150_NOVEL_TEST
ENSG00000262784	86388	87368	HG142_HG150_NOVEL_TEST
ENSG00000262611	100802	101839	HG142_HG150_NOVEL_TEST
ENSG00000262755	129056	129994	HG142_HG150_NOVEL_TEST
ENSG00000263328	156788	157747	HG142_HG150_NOVEL_TEST
ENSG00000262796	170964	172037	HG142_HG150_NOVEL_TEST
ENSG00000262315	186374	187333	HG142_HG150_NOVEL_TEST
ENSG00000281038	193979	194908	HG142_HG150_NOVEL_TEST
ENSG00000288319	7682	21171	HG1485_PATCH
ENSG00000285435	16044	16524	HG2002_PATCH
ENSG00000284841	48178	49072	HG2002_PATCH
ENSG00000285449	49306	51669	HG2002_PATCH
ENSG00000285426	78581	87387	HG2002_PATCH
ENSG00000284984	312483	323668	HG2002_PATCH
ENSG00000288264	2157	17417	HG2087_PATCH
ENSG00000288485	6744	15268	HG2087_PATCH
ENSG00000288292	15231	19311	HG2087_PATCH
ENSG00000244395	21880076	21894526	Y
ENSG00000288174	37046	43585	HG2087_PATCH
ENSG00000280774	36471	46043	HG2021_PATCH
ENSG00000242389	21903618	21918042	Y
ENSG00000281320	85226	94077	HG2021_PATCH
ENSG00000288504	43591	49967	HG2087_PATCH
ENSG00000288145	65364	70828	HG2087_PATCH
ENSG00000169800	22168542	22182982	Y
ENSG00000280548	94334	106255	HG2021_PATCH
ENSG00000226941	22403410	22417881	Y
ENSG00000281221	246308	256907	HG2021_PATCH
ENSG00000288325	69689	73929	HG2087_PATCH
ENSG00000281526	259277	296181	HG2021_PATCH
ENSG00000281601	303403	331374	HG2021_PATCH
ENSG00000280568	344295	366081	HG2021_PATCH
ENSG00000288456	71026	77539	HG2087_PATCH
ENSG00000288301	73993	87758	HG2087_PATCH
ENSG00000165246	14522573	14845654	Y
ENSG00000281123	123199	209777	HG2021_PATCH
ENSG00000067048	12904108	12920478	Y
ENSG00000284765	352987	370707	HG1_PATCH
ENSG00000288169	94894	109842	HG2087_PATCH
ENSG00000285221	371815	379078	HG1_PATCH
ENSG00000288399	110254	113309	HG2087_PATCH
ENSG00000285063	116955	119843	HG2023_PATCH
ENSG00000283153	33800	56132	HG2023_PATCH
ENSG00000288511	113488	115584	HG2087_PATCH
ENSG00000284383	163856	165127	HG2023_PATCH
ENSG00000284496	167162	168433	HG2023_PATCH
ENSG00000284262	170468	171739	HG2023_PATCH
ENSG00000283767	173774	175045	HG2023_PATCH
ENSG00000284210	177080	178351	HG2023_PATCH
ENSG00000283884	180386	181657	HG2023_PATCH
ENSG00000283955	183692	184963	HG2023_PATCH
ENSG00000284025	186998	188269	HG2023_PATCH
ENSG00000283878	190304	191575	HG2023_PATCH
ENSG00000284181	193610	194881	HG2023_PATCH
ENSG00000283820	196916	198187	HG2023_PATCH
ENSG00000283363	160550	161824	HG2023_PATCH
ENSG00000283949	200222	211819	HG2023_PATCH
ENSG00000114374	12537650	12860852	Y
ENSG00000285493	381085	415992	HG1_PATCH
ENSG00000285241	395031	411576	HG1_PATCH
ENSG00000288435	92157	119448	HG2121_PATCH
ENSG00000288475	25225	72124	HG2121_PATCH
ENSG00000284796	415173	426220	HG1_PATCH
ENSG00000183878	13234577	13480673	Y
ENSG00000284818	421934	432807	HG1_PATCH
ENSG00000285321	432253	433827	HG1_PATCH
ENSG00000284916	437141	439945	HG1_PATCH
ENSG00000291520	14578	64819	HG2158_PATCH
ENSG00000285377	439937	442569	HG1_PATCH
ENSG00000284889	444340	448548	HG1_PATCH
ENSG00000012817	19703865	19744989	Y
ENSG00000285152	447661	461638	HG1_PATCH
ENSG00000280584	31223	35196	HG2030_PATCH
ENSG00000281309	154870	162282	HG2030_PATCH
ENSG00000281022	164406	174225	HG2030_PATCH
ENSG00000284845	448526	467430	HG1_PATCH
ENSG00000285048	462243	467543	HG1_PATCH
ENSG00000280858	174312	177520	HG2030_PATCH
ENSG00000285007	472831	481235	HG1_PATCH
ENSG00000283984	176775	177487	HG2030_PATCH
ENSG00000280627	177852	182770	HG2030_PATCH
ENSG00000281024	182644	187252	HG2030_PATCH
ENSG00000285248	481197	489847	HG1_PATCH
ENSG00000280951	187544	202260	HG2030_PATCH
ENSG00000281245	202460	232190	HG2030_PATCH
ENSG00000280706	232153	244190	HG2030_PATCH
ENSG00000067646	2935281	2982512	Y
ENSG00000281244	240452	285496	HG2030_PATCH
ENSG00000198692	20575694	20593154	Y
ENSG00000285125	481373	491394	HG1_PATCH
ENSG00000285465	490127	496665	HG1_PATCH
ENSG00000285502	490135	514451	HG1_PATCH
ENSG00000285140	506674	509340	HG1_PATCH
ENSG00000285302	510561	514847	HG1_PATCH
ENSG00000285200	514921	517048	HG1_PATCH
ENSG00000285425	514933	533330	HG1_PATCH
ENSG00000285246	517835	533345	HG1_PATCH
ENSG00000280479	286059	296942	HG2030_PATCH
ENSG00000284752	533400	540220	HG1_PATCH
ENSG00000281165	297188	305221	HG2030_PATCH
ENSG00000281879	76358	102118	HG2030_PATCH
ENSG00000281813	29603	237300	HG2191_PATCH
ENSG00000283781	991	10231	HG2046_PATCH
ENSG00000284009	10184	15299	HG2046_PATCH
ENSG00000284915	540621	543652	HG1_PATCH
ENSG00000285348	550092	565410	HG1_PATCH
ENSG00000284483	10191	24554	HG2046_PATCH
ENSG00000283771	23432	24554	HG2046_PATCH
ENSG00000288508	1135	4297	HG2198_PATCH
ENSG00000283859	25331	40317	HG2046_PATCH
ENSG00000285193	566516	572717	HG1_PATCH
ENSG00000288257	6891	39692	HG2198_PATCH
ENSG00000284598	40781	42089	HG2046_PATCH
