uniprot_accession	entry_name	description	protein_length_aa	hk_status_protein_level	hk_source	gene_id	hk_status_gene_level	n_tissues_expressed	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues	breadth_group
O43657	TSN6_HUMAN	Tetraspanin-6 OS=Homo sapiens OX=9606 GN=TSPAN6 PE=1 SV=1	245	non-HK		ENSG00000000003	non-HK	36	15.438888888888888	11.5	broad non-HK
Q9H2S6	TNMD_HUMAN	Tenomodulin OS=Homo sapiens OX=9606 GN=TNMD PE=1 SV=1	317	non-HK		ENSG00000000005	non-HK	6	7.75	3.45	restricted non-HK
O60762	DPM1_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=DPM1 PE=1 SV=1	260	HK	HRT Atlas	ENSG00000000419	HK	36	29.924999999999997	29.450000000000003	HK
Q8IZE3	PACE1_HUMAN	Protein-associating with the carboxyl-terminal domain of ezrin OS=Homo sapiens OX=9606 GN=SCYL3 PE=1 SV=3	742	non-HK		ENSG00000000457	non-HK	36	5.258333333333334	5.5	broad non-HK
Q9NSG2	FIRRM_HUMAN	FIGNL1-interacting regulator of recombination and mitosis OS=Homo sapiens OX=9606 GN=FIRRM PE=1 SV=1	853	non-HK		ENSG00000000460	non-HK	24	1.7916666666666667	1.45	intermediate non-HK
P09769	FGR_HUMAN	Tyrosine-protein kinase Fgr OS=Homo sapiens OX=9606 GN=FGR PE=1 SV=2	529	non-HK		ENSG00000000938	non-HK	35	13.162857142857144	6.6	intermediate non-HK
P08603	CFAH_HUMAN	Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4	1231	non-HK		ENSG00000000971	non-HK	36	70.625	22.950000000000003	broad non-HK
Q9BTY2	FUCO2_HUMAN	Plasma alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA2 PE=1 SV=2	467	non-HK		ENSG00000001036	non-HK	36	20.26388888888889	22.4	broad non-HK
P48506	GSH1_HUMAN	Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens OX=9606 GN=GCLC PE=1 SV=2	637	non-HK		ENSG00000001084	non-HK	36	17.325000000000003	15.65	broad non-HK
P23511	NFYA_HUMAN	Nuclear transcription factor Y subunit alpha OS=Homo sapiens OX=9606 GN=NFYA PE=1 SV=2	347	non-HK		ENSG00000001167	non-HK	36	9.591666666666667	8.7	broad non-HK
Q5TH74	STPG1_HUMAN	O(6)-methylguanine-induced apoptosis 2 OS=Homo sapiens OX=9606 GN=STPG1 PE=1 SV=1	334	non-HK		ENSG00000001460	non-HK	36	5.736111111111111	4.0	broad non-HK
Q6P499	NPAL3_HUMAN	NIPA-like protein 3 OS=Homo sapiens OX=9606 GN=NIPAL3 PE=1 SV=1	406	non-HK		ENSG00000001461	non-HK	36	16.594444444444445	9.7	broad non-HK
Q9Y4W2	LAS1L_HUMAN	Ribosomal biogenesis protein LAS1L OS=Homo sapiens OX=9606 GN=LAS1L PE=1 SV=2	734	non-HK		ENSG00000001497	non-HK	36	15.802777777777777	13.25	broad non-HK
Q9Y6X5	ENPP4_HUMAN	Bis(5'-adenosyl)-triphosphatase ENPP4 OS=Homo sapiens OX=9606 GN=ENPP4 PE=1 SV=3	453	non-HK		ENSG00000001561	non-HK	36	8.238888888888889	7.35	broad non-HK
Q13275	SEM3F_HUMAN	Semaphorin-3F OS=Homo sapiens OX=9606 GN=SEMA3F PE=1 SV=2	785	non-HK		ENSG00000001617	non-HK	36	21.422222222222224	13.45	broad non-HK
P13569	CFTR_HUMAN	Cystic fibrosis transmembrane conductance regulator OS=Homo sapiens OX=9606 GN=CFTR PE=1 SV=3	1480	non-HK		ENSG00000001626	non-HK	9	8.733333333333333	1.6	restricted non-HK
Q9P2G1	AKIB1_HUMAN	Ankyrin repeat and IBR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKIB1 PE=1 SV=3	1089	non-HK		ENSG00000001629	non-HK	36	9.491666666666667	8.2	broad non-HK
Q16850	CP51A_HUMAN	Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=4	509	non-HK		ENSG00000001630	non-HK	36	26.33888888888889	24.65	broad non-HK
O00522	KRIT1_HUMAN	Krev interaction trapped protein 1 OS=Homo sapiens OX=9606 GN=KRIT1 PE=1 SV=2	736	non-HK		ENSG00000001631	non-HK	36	3.1805555555555554	3.0	broad non-HK
P43351	RAD52_HUMAN	DNA repair protein RAD52 homolog OS=Homo sapiens OX=9606 GN=RAD52 PE=1 SV=1	418	non-HK		ENSG00000002016	non-HK	36	5.225	4.95	broad non-HK
Q92934	BAD_HUMAN	Bcl2-associated agonist of cell death OS=Homo sapiens OX=9606 GN=BAD PE=1 SV=3	168	HK	HRT Atlas	ENSG00000002330	HK	36	73.36666666666666	63.300000000000004	HK
P28838	AMPL_HUMAN	Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3	519	non-HK		ENSG00000002549	non-HK	36	39.68611111111111	37.2	broad non-HK
P14209	CD99_HUMAN	CD99 antigen OS=Homo sapiens OX=9606 GN=CD99 PE=1 SV=1	185	HK	HRT Atlas	ENSG00000002586	HK	36	234.92499999999998	226.4	HK
O14792	HS3S1_HUMAN	Heparan sulfate glucosamine 3-O-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=HS3ST1 PE=1 SV=1	307	non-HK		ENSG00000002587	non-HK	30	3.7633333333333336	1.8	intermediate non-HK
P19801	AOC1_HUMAN	Diamine oxidase [copper-containing] OS=Homo sapiens OX=9606 GN=AOC1 PE=1 SV=4	751	non-HK		ENSG00000002726	non-HK	8	33.8	3.3	restricted non-HK
Q9UBV4	WNT16_HUMAN	Protein Wnt-16 OS=Homo sapiens OX=9606 GN=WNT16 PE=1 SV=1	365	non-HK		ENSG00000002745	non-HK	3	5.433333333333334	6.4	restricted non-HK
Q76N89	HECW1_HUMAN	E3 ubiquitin-protein ligase HECW1 OS=Homo sapiens OX=9606 GN=HECW1 PE=1 SV=3	1606	non-HK		ENSG00000002746	non-HK	9	2.5777777777777775	1.9	restricted non-HK
Q9Y6D9	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens OX=9606 GN=MAD1L1 PE=1 SV=2	718	non-HK		ENSG00000002822	non-HK	36	9.252777777777778	8.9	broad non-HK
Q14847	LASP1_HUMAN	LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2	261	HK	HRT Atlas	ENSG00000002834	HK	36	44.96388888888889	40.85	HK
Q9Y5W9	SNX11_HUMAN	Sorting nexin-11 OS=Homo sapiens OX=9606 GN=SNX11 PE=1 SV=2	270	non-HK		ENSG00000002919	non-HK	36	11.516666666666667	10.95	broad non-HK
Q96HP8	T176A_HUMAN	Transmembrane protein 176A OS=Homo sapiens OX=9606 GN=TMEM176A PE=1 SV=1	235	non-HK		ENSG00000002933	non-HK	36	89.11666666666666	43.95	broad non-HK
P20645	MPRD_HUMAN	Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=M6PR PE=1 SV=1	277	HK	HRT Atlas	ENSG00000003056	HK	36	58.77777777777778	59.25	HK
Q9P2N7	KLH13_HUMAN	Kelch-like protein 13 OS=Homo sapiens OX=9606 GN=KLHL13 PE=1 SV=3	655	non-HK		ENSG00000003096	non-HK	34	4.676470588235294	3.6	intermediate non-HK
Q9NR63	CP26B_HUMAN	Cytochrome P450 26B1 OS=Homo sapiens OX=9606 GN=CYP26B1 PE=1 SV=1	512	non-HK		ENSG00000003137	non-HK	34	7.608823529411764	4.25	intermediate non-HK
Q05084	ICA69_HUMAN	Islet cell autoantigen 1 OS=Homo sapiens OX=9606 GN=ICA1 PE=1 SV=2	483	non-HK		ENSG00000003147	non-HK	36	13.408333333333333	11.0	broad non-HK
Q9H9R9	DBND1_HUMAN	Dysbindin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DBNDD1 PE=1 SV=2	158	non-HK		ENSG00000003249	non-HK	36	16.422222222222224	7.050000000000001	broad non-HK
Q96Q42	ALS2_HUMAN	Alsin OS=Homo sapiens OX=9606 GN=ALS2 PE=1 SV=2	1657	non-HK		ENSG00000003393	non-HK	36	3.933333333333333	3.2	broad non-HK
Q92851	CASPA_HUMAN	Caspase-10 OS=Homo sapiens OX=9606 GN=CASP10 PE=1 SV=3	521	non-HK		ENSG00000003400	non-HK	36	4.522222222222222	3.6	broad non-HK
O15519	CFLAR_HUMAN	CASP8 and FADD-like apoptosis regulator OS=Homo sapiens OX=9606 GN=CFLAR PE=1 SV=1	480	non-HK		ENSG00000003402	non-HK	36	58.31666666666667	52.1	broad non-HK
P10646	TFPI1_HUMAN	Tissue factor pathway inhibitor OS=Homo sapiens OX=9606 GN=TFPI PE=1 SV=1	304	non-HK		ENSG00000003436	non-HK	36	24.227777777777778	17.55	broad non-HK
Q7L592	NDUF7_HUMAN	Protein arginine methyltransferase NDUFAF7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAF7 PE=1 SV=1	441	non-HK		ENSG00000003509	non-HK	36	7.822222222222223	6.550000000000001	broad non-HK
P52756	RBM5_HUMAN	RNA-binding protein 5 OS=Homo sapiens OX=9606 GN=RBM5 PE=1 SV=2	815	HK	HRT Atlas	ENSG00000003756	HK	36	66.60555555555555	66.3	HK
Q9Y216	MTMR7_HUMAN	Phosphatidylinositol-3-phosphate phosphatase MTMR7 OS=Homo sapiens OX=9606 GN=MTMR7 PE=1 SV=3	660	non-HK		ENSG00000003987	non-HK	18	5.65	5.6	intermediate non-HK
P52569	CTR2_HUMAN	Cationic amino acid transporter 2 OS=Homo sapiens OX=9606 GN=SLC7A2 PE=1 SV=2	658	non-HK		ENSG00000003989	non-HK	36	18.491666666666667	7.75	broad non-HK
P84085	ARF5_HUMAN	ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2	180	HK	HRT Atlas	ENSG00000004059	HK	36	129.86944444444444	117.65	HK
Q6SZW1	SARM1_HUMAN	NAD(+) hydrolase SARM1 OS=Homo sapiens OX=9606 GN=SARM1 PE=1 SV=1	724	non-HK		ENSG00000004139	non-HK	35	3.3028571428571425	3.0	intermediate non-HK
Q9Y2S7	PDIP2_HUMAN	Polymerase delta-interacting protein 2 OS=Homo sapiens OX=9606 GN=POLDIP2 PE=1 SV=1	368	non-HK		ENSG00000004142	non-HK	36	56.422222222222224	42.95	broad non-HK
Q9Y4D7	PLXD1_HUMAN	Plexin-D1 OS=Homo sapiens OX=9606 GN=PLXND1 PE=1 SV=3	1925	non-HK		ENSG00000004399	non-HK	36	23.175	19.2	broad non-HK
P54819	KAD2_HUMAN	Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2	239	HK	HRT Atlas	ENSG00000004455	HK	36	67.98888888888888	58.45	HK
P28907	CD38_HUMAN	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 OS=Homo sapiens OX=9606 GN=CD38 PE=1 SV=2	300	non-HK		ENSG00000004468	non-HK	23	3.5565217391304347	2.8	intermediate non-HK
Q02790	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	459	non-HK		ENSG00000004478	non-HK	36	43.958333333333336	39.9	broad non-HK
O60341	KDM1A_HUMAN	Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2	852	HK	HRT Atlas	ENSG00000004487	HK	36	9.213888888888889	8.45	HK
P78332	RBM6_HUMAN	RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5	1123	non-HK		ENSG00000004534	non-HK	36	70.56666666666666	71.8	broad non-HK
Q8N5S9	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=CAMKK1 PE=1 SV=2	505	non-HK		ENSG00000004660	non-HK	35	14.351428571428572	9.9	intermediate non-HK
P46063	RECQ1_HUMAN	ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3	649	non-HK		ENSG00000004700	non-HK	36	9.416666666666666	8.850000000000001	broad non-HK
