species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
gorilla_gorilla	ENSGGOG00000010861	CAMSAP2	protein_coding	1	180365167	180497486	132320	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000040578		protein_coding	1	20083250	20084092	843	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000025643	URB2	protein_coding	1	209317302	209351054	33753	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000039232		protein_coding	1	85168135	85168329	195	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000011263	ARF1	protein_coding	1	207844465	207861030	16566	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000008017		protein_coding	1	140271871	140306140	34270	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000038524	HFM1	protein_coding	1	92323178	92464020	140843	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000026057	KIF1B	protein_coding	1	9920529	10093274	172746	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000008268	HEYL	protein_coding	1	39959270	39974856	15587	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000004749	USP48	protein_coding	1	21642456	21747384	104929	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000001492	APCS	protein_coding	1	138704995	138706049	1055	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000006848	DNAJC11	protein_coding	1	6276560	6342046	65487	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000010602	RAD54L	protein_coding	1	46842091	46873881	31791	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000012140	SLC5A9	protein_coding	1	48821375	48846984	25610	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000011908	C1orf87	protein_coding	1	60762671	60842876	80206	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000008024	CFAP126	protein_coding	1	140308148	140312298	4151	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000014993	DHRS3	protein_coding	1	12334196	12381028	46833	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000014295	PTAFR	protein_coding	1	28280773	28281801	1029	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000015257	PADI6	protein_coding	1	17218425	17251281	32857	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000015526	SLC16A1	protein_coding	1	114310643	114354785	44143	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000006573	ZNF593	protein_coding	1	26270355	26271357	1003	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000016418	SLC16A4	protein_coding	1	111795236	111823162	27927	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000002562	LCK	protein_coding	1	32426320	32459691	33372	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000026041		protein_coding	1	150272665	150272844	180	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000043084		protein_coding	1	183675059	183675213	155	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000000632	AJAP1	protein_coding	1	4346221	4484075	137855	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000022792		protein_coding	1	200822776	200824694	1919	-	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
gorilla_gorilla	ENSGGOG00000023672		protein_coding	1	40332315	40336311	3997	+	data/raw/ensembl/gorilla_gorilla/release-115/Gorilla_gorilla.gorGor4.115.chr.gtf.gz
