species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
macaca_mulatta	ENSMMUG00000023296	PGBD2	protein_coding	1	8231	26653	18423	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000000634	ZNF692	protein_coding	1	71582	83178	11597	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000037875	ZNF672	protein_coding	1	81258	91679	10422	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000000632	SH3BP5L	protein_coding	1	102662	117835	15174	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000064799		protein_coding	1	122996	124202	1207	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000057389	LYPD8	protein_coding	1	170939	185687	14749	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000031200		protein_coding	1	211380	222144	10765	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000052613		protein_coding	1	231609	247928	16320	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000031199	OR2T27	protein_coding	1	326171	327124	954	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000053841		protein_coding	1	337714	338797	1084	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000049101	OR2T10	protein_coding	1	386873	387811	939	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000017368		protein_coding	1	429756	430706	951	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000055842	OR14I1	protein_coding	1	449228	450163	936	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000062331	OR9G1	protein_coding	1	529177	530094	918	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000049901		protein_coding	1	552254	553201	948	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000064657		protein_coding	1	618274	619248	975	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000005566	OR2T1	protein_coding	1	645437	646546	1110	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000064874	OR2T6	protein_coding	1	661164	662090	927	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000039595		protein_coding	1	710011	710949	939	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000038524	OR2M4	protein_coding	1	769522	770457	936	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000049432		protein_coding	1	825399	826361	963	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000050812		protein_coding	1	833912	835873	1962	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000059065		protein_coding	1	848726	849664	939	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000053957		protein_coding	1	874840	875778	939	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000057748	OR2L2	protein_coding	1	895998	896936	939	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000050041	OR2L5	protein_coding	1	907326	908264	939	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000052261		protein_coding	1	931817	932755	939	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000060886		protein_coding	1	984122	985060	939	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000062168		protein_coding	1	1003761	1004699	939	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000056262		protein_coding	1	1080903	1102802	21900	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000038159	OR2W3	protein_coding	1	1146217	1147161	945	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000005570	TRIM58	protein_coding	1	1160011	1180468	20458	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000006214	OR11L1	protein_coding	1	1198069	1223285	25217	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000056211		protein_coding	1	1217358	1220851	3494	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000049478	OR9H1P	protein_coding	1	1229179	1230054	876	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000062849	OR1C1	protein_coding	1	1251363	1252322	960	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000064145	OR14K1	protein_coding	1	1278606	1279550	945	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000059455	OR14A2	protein_coding	1	1290883	1292883	2001	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000016175	OR6F1	protein_coding	1	1302679	1303605	927	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000016176	OR13G1	protein_coding	1	1334218	1335141	924	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000058340		protein_coding	1	1390572	1391542	971	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000005955	GCSAML	protein_coding	1	1441551	1493490	51940	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000012954	OR2C3	protein_coding	1	1480123	1481145	1023	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000060427		protein_coding	1	1493737	1495197	1461	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000005949	OR2B11	protein_coding	1	1559934	1560887	954	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000005946	NLRP3	protein_coding	1	1562783	1595289	32507	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000019585	ZNF496	protein_coding	1	1683011	1712638	29628	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000058602		protein_coding	1	1766717	1767751	1035	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000059322		protein_coding	1	1789175	1812316	23142	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000004566	ZNF124	protein_coding	1	1827888	1851741	23854	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000058214		protein_coding	1	1887415	1904761	17347	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000023311	ZNF669	protein_coding	1	1902690	1910632	7943	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000050290	ZNF670	protein_coding	1	1935519	1964328	28810	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000054567		protein_coding	1	1952470	1953612	1143	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000031191		protein_coding	1	1961561	2015105	53545	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000016408	AHCTF1	protein_coding	1	2071570	2168210	96641	+	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000049281		protein_coding	1	2210612	2212349	1738	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
macaca_mulatta	ENSMMUG00000022208	SCCPDH	protein_coding	1	2273725	2328297	54573	-	data/raw/ensembl/macaca_mulatta/release-115/Macaca_mulatta.Mmul_10.115.chr.gtf.gz
