Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_length_bp	hk_status
ENSG00000292338	2219506	2502805	Y	283300	non-HK
ENSG00000292354	624344	659411	Y	35068	non-HK
ENSG00000292363	1190490	1212723	Y	22234	non-HK
ENSG00000292336	1615059	1643081	Y	28023	non-HK
ENSG00000292345	2486414	2502862	Y	16449	non-HK
ENSG00000292327	333933	386955	Y	53023	non-HK
ENSG00000292348	2690988	2741312	Y	50325	non-HK
ENSG00000292344	276322	303358	Y	27037	non-HK
ENSG00000292333	1462572	1537187	Y	74616	non-HK
ENSG00000292332	1335025	1382689	Y	47665	non-HK
ENSG00000292358	303346	318846	Y	15501	non-HK
ENSG00000292334	1386133	1392929	Y	6797	non-HK
ENSG00000292339	1403138	1453786	Y	50649	non-HK
ENSG00000292357	1268779	1325373	Y	56595	non-HK
ENSG00000292343	1591604	1602532	Y	10929	non-HK
ENSG00000292372	57207346	57212230	Y	4885	non-HK
ENSG00000292373	57184216	57199537	Y	15322	non-HK
ENSG00000292366	57067747	57130289	Y	62543	non-HK
ENSG00000183753	22973819	23005465	Y	31647	non-HK
ENSG00000169953	18731440	18773735	Y	42296	non-HK
ENSG00000172468	18546691	18588963	Y	42273	non-HK
ENSG00000176679	3579067	3580041	Y	975	non-HK
ENSG00000182415	18025787	18027746	Y	1960	non-HK
ENSG00000185894	25030901	25062548	Y	31648	non-HK
ENSG00000205916	24833843	24907040	Y	73198	non-HK
ENSG00000129873	17878260	17880220	Y	1961	non-HK
ENSG00000184895	2786855	2787682	Y	828	non-HK
ENSG00000129824	2841602	2932000	Y	90399	non-HK
ENSG00000154620	13703899	13706024	Y	2126	non-HK
ENSG00000129864	13985772	13986473	Y	702	non-HK
ENSG00000187191	24763069	24813492	Y	50424	non-HK
ENSG00000188120	23129355	23199010	Y	69656	non-HK
ENSG00000099721	6865918	6911752	Y	45835	non-HK
ENSG00000092377	6910686	7101970	Y	191285	non-HK
ENSG00000205944	23219447	23291356	Y	71910	non-HK
ENSG00000129862	14056227	14056958	Y	732	non-HK
ENSG00000280969	20756108	20781032	Y	24925	non-HK
ENSG00000099715	5000226	5742224	Y	741999	non-HK
ENSG00000172352	24045229	24048019	Y	2791	non-HK
ENSG00000183795	24607560	24639207	Y	31648	non-HK
ENSG00000172288	25622117	25624902	Y	2786	non-HK
ENSG00000242875	21511338	21525786	Y	14449	non-HK
ENSG00000234414	21534879	21549326	Y	14448	non-HK
ENSG00000233803	9337464	9340284	Y	2821	non-HK
ENSG00000229549	9357797	9360599	Y	2803	non-HK
ENSG00000228927	9398421	9401223	Y	2803	non-HK
ENSG00000258992	9466955	9469749	Y	2795	non-HK
ENSG00000238074	9487267	9490081	Y	2815	non-HK
ENSG00000236424	9527880	9530682	Y	2803	non-HK
ENSG00000168757	6246223	6249019	Y	2797	non-HK
ENSG00000244395	21880076	21894526	Y	14451	non-HK
ENSG00000242389	21903618	21918042	Y	14425	non-HK
ENSG00000169800	22168542	22182982	Y	14441	non-HK
ENSG00000226941	22403410	22417881	Y	14472	non-HK
ENSG00000165246	14522573	14845654	Y	323082	non-HK
ENSG00000067048	12904108	12920478	Y	16371	non-HK
ENSG00000114374	12537650	12860852	Y	323203	non-HK
ENSG00000183878	13234577	13480673	Y	246097	non-HK
ENSG00000012817	19703865	19744989	Y	41125	non-HK
ENSG00000067646	2935281	2982512	Y	47232	non-HK
ENSG00000198692	20575694	20593154	Y	17461	non-HK
ENSG00000154646	18269116	18485879	21	216764	non-HK
ENSG00000232263	30289145	30289514	21	370	non-HK
ENSG00000156282	30165565	30166805	21	1241	non-HK
ENSG00000188694	30281309	30282950	21	1642	non-HK
ENSG00000154654	20998409	21543329	21	544921	non-HK
ENSG00000156284	30214006	30216097	21	2092	non-HK
ENSG00000159256	36320189	36386148	21	65960	non-HK
ENSG00000154645	17901263	18267373	21	366111	non-HK
ENSG00000249209	33584687	33931607	21	346921	non-HK
ENSG00000159228	36069941	36073166	21	3226	non-HK
ENSG00000265590	32402511	32612865	21	210355	non-HK
ENSG00000159263	36699115	36749917	21	50803	non-HK
ENSG00000183145	37006150	37019662	21	13513	non-HK
ENSG00000160208	43659560	43696079	21	36520	non-HK
ENSG00000160216	43865223	43987592	21	122370	HK
ENSG00000274391	10521553	10606140	21	84588	non-HK
