species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
caenorhabditis_elegans	WBGene00000003	aat-2	protein_coding	V	9244402	9246360	1959	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000007	aat-6	protein_coding	V	11466842	11470663	3822	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000014	abf-3	protein_coding	V	15817410	15817846	437	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000015	abf-4	protein_coding	V	20557876	20558370	495	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000022	abt-4	protein_coding	V	323777	330725	6949	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000024	abu-1	protein_coding	V	10380340	10381826	1487	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000027	abu-4	protein_coding	V	2274842	2275977	1136	+	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000029	abu-6	protein_coding	V	5160678	5161892	1215	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000030	abu-7	protein_coding	V	5163270	5164782	1513	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
caenorhabditis_elegans	WBGene00000031	abu-8	protein_coding	V	5192995	5194608	1614	-	data/raw/ensembl_genomes/metazoa/caenorhabditis_elegans/release-62/Caenorhabditis_elegans.WBcel235.62.gtf.gz
