Transcript stable ID	Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENST00000291572	ENSG00000160216	43865223	43987592	21
ENST00000381692	ENSG00000159140	33543038	33577481	21
ENST00000300278	ENSG00000159140	33543038	33577481	21
ENST00000381679	ENSG00000159140	33543038	33577481	21
ENST00000380680	ENSG00000122042	29764371	29850617	13
ENST00000399312	ENSG00000243927	34073224	34362252	21
ENST00000377453	ENSG00000102805	76990660	77019143	13
ENST00000269187	ENSG00000141424	36108531	36129385	18
ENST00000381140	ENSG00000122034	27424619	27435823	13
ENST00000291576	ENSG00000241945	44107358	44131181	21
ENST00000432901	ENSG00000232838	18137863	18143169	20
ENST00000361337	ENSG00000198900	41028822	41124487	20
ENST00000345496	ENSG00000184787	44768580	44801826	21
ENST00000290299	ENSG00000241837	33901028	33915853	21
ENST00000217426	ENSG00000101444	34280268	34311802	20
ENST00000435844	ENSG00000232388	18567347	18569563	20
ENST00000411646	ENSG00000232388	18567347	18569563	20
ENST00000380276	ENSG00000160201	43092956	43107605	21
ENST00000291552	ENSG00000160201	43092956	43107605	21
ENST00000399292	ENSG00000205670	34375131	34416961	21
ENST00000379751	ENSG00000125817	3783851	3786740	20
ENST00000396821	ENSG00000100201	38483438	38507660	22
ENST00000270142	ENSG00000142168	31659633	31668931	21
ENST00000332859	ENSG00000184900	44805617	44818779	21
ENST00000255304	ENSG00000132952	30617693	30660770	13
ENST00000369660	ENSG00000102178	154483717	154486615	X
ENST00000382533	ENSG00000150459	21140119	21149097	13
ENST00000467636	ENSG00000150459	21140119	21149097	13
ENST00000372435	ENSG00000147224	107628428	107651993	X
ENST00000309594	ENSG00000173141	21176647	21179084	13
ENST00000340473	ENSG00000188342	45120443	45284907	13
ENST00000258662	ENSG00000136159	48037694	48054196	13
ENST00000306917	ENSG00000169018	68277745	68295862	15
ENST00000411463	ENSG00000104679	23270120	23296279	8
ENST00000355619	ENSG00000005812	76992598	77027195	13
ENST00000371442	ENSG00000125352	119870475	119871733	X
ENST00000291577	ENSG00000160221	44133610	44210114	21
ENST00000530028	ENSG00000255302	48878134	48880173	15
ENST00000560490	ENSG00000255302	48878134	48880173	15
ENST00000298130	ENSG00000165389	34432788	34462240	14
ENST00000340344	ENSG00000160194	42879644	42913304	21
ENST00000354250	ENSG00000160194	42879644	42913304	21
ENST00000309117	ENSG00000157538	37223417	37267919	21
ENST00000267425	ENSG00000196943	24299850	24309124	14
ENST00000399697	ENSG00000186184	27620742	27744237	13
ENST00000302979	ENSG00000186184	27620742	27744237	13
ENST00000399696	ENSG00000186184	27620742	27744237	13
ENST00000256433	ENSG00000134049	47152834	47176381	18
ENST00000261574	ENSG00000065150	97953658	98024296	13
ENST00000375991	ENSG00000135070	86264546	86283102	9
ENST00000204549	ENSG00000090470	65117379	65133808	15
ENST00000372994	ENSG00000171159	128160265	128163924	9
ENST00000530705	ENSG00000133112	45333471	45341284	13
ENST00000379056	ENSG00000133112	45333471	45341284	13
ENST00000379055	ENSG00000133112	45333471	45341284	13
ENST00000309246	ENSG00000133112	45333471	45341284	13
ENST00000371443	ENSG00000182154	137551879	137552555	9
ENST00000397762	ENSG00000129472	21459020	21476960	14
ENST00000343666	ENSG00000187713	137204082	137205648	9
ENST00000544440	ENSG00000005810	77042474	77327094	13
ENST00000429715	ENSG00000005810	77042474	77327094	13
ENST00000343053	ENSG00000188986	137255327	137273542	9
ENST00000389704	ENSG00000120699	36998816	37025881	13
ENST00000399568	ENSG00000242259	19351368	19447711	22
ENST00000399562	ENSG00000242259	19351368	19447711	22
ENST00000402752	ENSG00000099901	20115877	20127355	22
ENST00000331821	ENSG00000099901	20115877	20127355	22
ENST00000239878	ENSG00000120686	38349826	38363619	13
ENST00000378372	ENSG00000187522	14838306	14871741	10
ENST00000349048	ENSG00000141959	44300017	44327377	21
ENST00000372833	ENSG00000172586	73782047	73783652	10
ENST00000246548	ENSG00000126261	34428352	34471251	19
ENST00000376547	ENSG00000102572	98445185	98577940	13
ENST00000397517	ENSG00000102572	98445185	98577940	13
ENST00000380527	ENSG00000155876	19049427	19051025	9
ENST00000361198	ENSG00000198728	102106489	102120368	10
ENST00000425280	ENSG00000198728	102106489	102120368	10
ENST00000503362	ENSG00000129128	176319966	176332245	4
ENST00000390658	ENSG00000176396	39538707	39540161	19
ENST00000302165	ENSG00000170604	45883608	45886141	19
ENST00000341162	ENSG00000119616	74713144	74738620	14
ENST00000254803	ENSG00000132467	70688532	70690551	4
ENST00000311549	ENSG00000122026	27251283	27259609	13
ENST00000272274	ENSG00000122026	27251283	27259609	13
ENST00000237380	ENSG00000118579	17614641	17634105	4
ENST00000372622	ENSG00000101457	45791946	45811427	20
ENST00000314852	ENSG00000177971	75639085	75648706	15
ENST00000310331	ENSG00000243056	140547662	140549576	5
ENST00000252102	ENSG00000131495	140638740	140647771	5
ENST00000370179	ENSG00000125534	63520754	63527076	20
ENST00000352957	ENSG00000154719	25585632	25607525	21
ENST00000305978	ENSG00000171222	35953617	35959472	20
ENST00000373991	ENSG00000171222	35953617	35959472	20
ENST00000273968	ENSG00000145337	88520998	88523776	4
ENST00000424358	ENSG00000126005	35201745	35278131	20
ENST00000217402	ENSG00000101421	33811345	33854366	20
ENST00000368608	ENSG00000189241	116267760	116279930	6
ENST00000303391	ENSG00000169057	154021573	154137103	X
ENST00000330029	ENSG00000184076	29767369	29770413	22
ENST00000401406	ENSG00000184076	29767369	29770413	22
ENST00000590954	ENSG00000091164	56597209	56651600	18
ENST00000354336	ENSG00000099942	20917407	20953747	22
ENST00000244711	ENSG00000124733	43011143	43016868	6
ENST00000330938	ENSG00000183255	44849585	44873903	21
ENST00000351698	ENSG00000136827	129812942	129824244	9
ENST00000355072	ENSG00000197386	3041363	3243957	4
ENST00000238647	ENSG00000119669	77024543	77028708	14
ENST00000375911	ENSG00000204439	31658298	31660778	6
ENST00000248879	ENSG00000128185	20314238	20320080	22
ENST00000306802	ENSG00000138688	122152331	122364167	4
ENST00000394264	ENSG00000187866	68780065	68785566	9
ENST00000337198	ENSG00000155096	102826111	102893864	8
ENST00000216252	ENSG00000100410	41459705	41468711	22
ENST00000361383	ENSG00000132792	37694030	37872129	20
ENST00000346495	ENSG00000140391	77041404	77083984	15
ENST00000561277	ENSG00000140391	77041404	77083984	15
ENST00000358337	ENSG00000120314	140664868	140674124	5
ENST00000375882	ENSG00000204435	31665227	31670343	6
ENST00000320776	ENSG00000186222	6716174	6717664	4
ENST00000216034	ENSG00000100216	38681924	38685421	22
ENST00000256015	ENSG00000133639	92140278	92145846	12
ENST00000328848	ENSG00000182117	34339159	34343180	15
ENST00000242784	ENSG00000123144	12730640	12734684	19
ENST00000222330	ENSG00000105723	42226225	42242625	19
ENST00000335895	ENSG00000145741	73498408	73505667	5
ENST00000380591	ENSG00000145741	73498408	73505667	5
ENST00000332556	ENSG00000185896	113297088	113323674	13
ENST00000346166	ENSG00000127870	26132115	26222460	13
ENST00000217131	ENSG00000101160	58985686	59008238	20
ENST00000376772	ENSG00000204619	30066709	30070333	6
ENST00000394196	ENSG00000173575	92886203	93027996	15
ENST00000263377	ENSG00000141867	15235519	15332545	19
ENST00000371835	ENSG00000141867	15235519	15332545	19
ENST00000375050	ENSG00000204304	32184733	32190202	6
ENST00000334678	ENSG00000187051	39529088	39532767	22
ENST00000262238	ENSG00000100811	100238298	100282788	14
ENST00000216225	ENSG00000100387	40951277	40973539	22
ENST00000379704	ENSG00000107262	33247820	33264720	9
ENST00000458578	ENSG00000185651	21549447	21624034	22
ENST00000342192	ENSG00000185651	21549447	21624034	22
ENST00000313368	ENSG00000178913	141259884	141320784	5
ENST00000602402	ENSG00000102580	95677114	95794988	13
ENST00000215754	ENSG00000240972	23894372	23895227	22
ENST00000221200	ENSG00000104756	25427847	25458476	8
ENST00000221859	ENSG00000105258	36113709	36115213	19
ENST00000356091	ENSG00000215440	58689131	58719238	20
ENST00000222224	ENSG00000105617	54155161	54159721	19
ENST00000588301	ENSG00000125743	45687460	45692569	19
ENST00000374617	ENSG00000227057	33279108	33289247	6
ENST00000397128	ENSG00000132356	40759389	40798374	5
ENST00000380325	ENSG00000125901	3046041	3048254	20
ENST00000361204	ENSG00000198911	41833099	41907308	22
ENST00000458198	ENSG00000237190	134402065	134411881	5
ENST00000274787	ENSG00000146066	176388751	176389761	5
ENST00000220659	ENSG00000104221	37843268	37849861	8
ENST00000284971	ENSG00000154723	25716005	25735721	21
ENST00000400090	ENSG00000154723	25716005	25735721	21
ENST00000400093	ENSG00000154723	25716005	25735721	21
ENST00000296425	ENSG00000164040	128269237	128288829	4
ENST00000319863	ENSG00000177225	767220	777488	11
ENST00000378060	ENSG00000136100	52412602	52450684	13
ENST00000257013	ENSG00000134590	135032355	135033546	X
ENST00000370775	ENSG00000203950	135050932	135052196	X
ENST00000314133	ENSG00000176340	63974620	63976543	11
ENST00000310074	ENSG00000173011	7041899	7057952	4
ENST00000470701	ENSG00000100142	37952607	38041915	22
ENST00000306058	ENSG00000171456	32358266	32439319	20
ENST00000216039	ENSG00000100221	38685543	38701556	22
ENST00000312579	ENSG00000175602	65890673	65891635	11
ENST00000449692	ENSG00000175573	65916810	65919062	11
ENST00000312515	ENSG00000175550	65919274	65921563	11
ENST00000400137	ENSG00000088832	1368977	1393164	20
ENST00000381719	ENSG00000088832	1368977	1393164	20
