Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000198888	3307	4262	MT
ENSG00000198763	4470	5511	MT
ENSG00000198804	5904	7445	MT
ENSG00000198712	7586	8269	MT
ENSG00000228253	8366	8572	MT
ENSG00000198899	8527	9207	MT
ENSG00000198938	9207	9990	MT
ENSG00000198840	10059	10404	MT
ENSG00000212907	10470	10766	MT
ENSG00000198886	10760	12137	MT
ENSG00000198786	12337	14148	MT
ENSG00000198695	14149	14673	MT
ENSG00000198727	14747	15887	MT
ENSG00000278704	56140	58376	GL000009.2
ENSG00000271254	4612	29626	KI270711.1
ENSG00000281486	1209102	1269668	CHR_HSCHR2_3_CTG1
ENSG00000262826	153745298	153792039	CHR_HSCHR1_1_CTG31
ENSG00000273735	54864204	54872914	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000280663	64259386	64278487	CHR_HSCHR20_1_CTG3
ENSG00000276433	54724498	54736060	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000276379	54816496	54820397	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000278788	1107635	1156979	CHR_HSCHR19_4_CTG2
ENSG00000273947	54738538	54753053	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000276595	27445487	27461668	CHR_HSCHR10_1_CTG1
ENSG00000276518	54771247	54784650	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000276779	54803599	54814548	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000278152	54738439	54769215	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000277484	54738471	54753005	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000277044	64097802	64100643	CHR_HSCHR20_1_CTG3
ENSG00000273775	54816442	54830745	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000276858	54874219	54890443	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000277339	64105820	64107171	CHR_HSCHR20_1_CTG3
ENSG00000276534	54802839	54817200	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000276044	54833799	54844782	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000276876	64155437	64245898	CHR_HSCHR20_1_CTG3
ENSG00000275717	54816473	54830785	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
ENSG00000277554	54738470	54752993	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000277272	54816451	54830756	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
ENSG00000278074	54803565	54814279	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000275974	144592865	144593524	CHR_HSCHR1_4_CTG31
ENSG00000276885	54832710	54847746	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000273510	54769838	54784324	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000275786	54816499	54830812	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000274714	54819131	54834528	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000261992	153821956	153845579	CHR_HSCHR1_1_CTG31
ENSG00000277334	54892528	54896443	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000277650	54830903	54845777	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000273661	54754679	54769001	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000277355	54789806	54800882	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000275047	54830927	54845947	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000274807	54832788	54848156	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000274696	54724453	54767462	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000275511	54864251	54881045	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000276333	1913487	1920464	CHR_HSCHR16_4_CTG1
ENSG00000274676	54819459	54828923	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000275237	54789912	54800893	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000277078	54863003	54878657	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000275659	54814901	54878560	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000273575	54803379	54814527	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000263163	153791585	153797388	CHR_HSCHR1_1_CTG31
ENSG00000275407	54754722	54769049	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000278805	54814475	54828769	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000275699	54803535	54814517	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000277345	54877376	54892982	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000274324	54877320	54892899	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000276820	54813971	54828213	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000276423	54802859	54817155	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000276424	54895138	54911932	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000273526	54832771	54848624	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000274193	54789815	54800891	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000278306	54782354	54796789	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000276328	54724453	54736091	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000278731	54754673	54769220	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000274782	54769765	54784000	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000275080	54798381	54812886	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000275433	54726054	54736537	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000275732	54847612	54858688	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000277620	54724450	54736092	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000273738	54874290	54891462	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000280830	3498728	3502360	CHR_HSCHR2_1_CTG1
ENSG00000274891	3401777	3486461	CHR_HSCHR2_1_CTG1
ENSG00000274948	54816448	54830767	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000262647	56753901	56754885	CHR_HG151_NOVEL_TEST
ENSG00000281107	56830655	56831590	CHR_HG151_NOVEL_TEST
ENSG00000275018	64211718	64278487	CHR_HSCHR20_1_CTG3
ENSG00000261958	56700386	56701303	CHR_HG151_NOVEL_TEST
ENSG00000262191	56711466	56712383	CHR_HG151_NOVEL_TEST
ENSG00000274955	54803541	54814525	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000277317	54738506	54752764	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000269823	153789602	153791310	CHR_HSCHR1_1_CTG31
ENSG00000276676	54782658	54797195	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000276930	54724479	54736536	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000277616	54814388	54828892	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000276258	54738568	54752475	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000276086	54724481	54736671	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000275946	54771241	54780725	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000278369	54738530	54753070	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000274406	54832654	54848284	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000274189	54848193	54859216	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000277725	54754632	54769000	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000275276	54769704	54783960	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000274722	54836820	54853592	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000278850	54849551	54866326	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000276501	54861074	54875379	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000276329	54861173	54875478	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000274707	54755098	54764695	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000275521	54906121	54910036	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000275288	54816438	54830737	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000278710	54850408	54867186	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000274429	77790791	77926526	CHR_HSCHR10_1_CTG4
ENSG00000276425	54738476	54752501	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000275421	54847678	54861692	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000273603	54847887	54862123	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000275172	54724485	54736504	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000274830	54738514	54753065	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000275596	54819506	54828970	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000277964	54803571	54814487	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
ENSG00000279566	21814429	21818511	CHR_HSCHR19_2_CTG2
ENSG00000281763	154275723	154284039	CHR_HSCHR3_2_CTG2_1
ENSG00000276004	54850300	54867064	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000274746	21732245	21777028	CHR_HSCHR19_2_CTG2
ENSG00000275608	54802886	54817473	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000273518	54816451	54830756	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000278474	54880532	54897308	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000275051	130337887	130372618	CHR_HSCHR12_5_CTG2_1
ENSG00000278780	21027036	21043218	CHR_HSCHR19_1_CTG2
ENSG00000273517	54847867	54861881	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000276985	54945648	54961872	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000277193	54830865	54845301	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000276392	54819505	54829001	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000278755	54769814	54784135	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000277101	154121003	154261004	CHR_HSCHR3_2_CTG2_1
ENSG00000273578	54754600	54768961	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000278091	20929638	20957113	CHR_HSCHR19_1_CTG2
ENSG00000273502	54724478	54736594	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000273887	54738479	54753050	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000276498	54802804	54817417	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000276450	54905329	54909244	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000274480	54724486	54736514	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000274518	54738519	54752638	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000275970	54873427	54889651	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1
ENSG00000276806	54724507	54736522	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
ENSG00000274945	54848094	54859121	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000274724	54724448	54736134	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000276218	54738484	54752990	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000277362	54803533	54814482	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000276590	54738496	54752881	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
ENSG00000267728	41255319	41256311	CHR_HSCHR17_5_CTG4
ENSG00000275750	54769705	54783961	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1
ENSG00000263090	41226648	41227652	CHR_HSCHR17_5_CTG4
ENSG00000262512	41249619	41250585	CHR_HSCHR17_5_CTG4
ENSG00000262749	41232462	41233453	CHR_HSCHR17_5_CTG4
ENSG00000267635	41265358	41265882	CHR_HSCHR17_5_CTG4
ENSG00000278726	54850439	54867235	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000262218	41291504	41292529	CHR_HSCHR17_5_CTG4
ENSG00000274108	54738481	54752986	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000275452	54738501	54769226	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000277356	54769746	54783981	CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1
ENSG00000275050	20776304	20807420	CHR_HSCHR19_1_CTG2
ENSG00000278079	54816470	54830813	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000277596	54727609	54736462	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000278327	54738499	54753027	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1
ENSG00000274610	54771258	54784662	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000274243	54782617	54797414	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000274563	54766539	54781397	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
