species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
gallus_gallus	ENSGALG00010000711	SPRY2	protein_coding	1	152629825	152651804	21980	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000715	PCDH20	protein_coding	1	161770430	161775675	5246	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000717	NDFIP2	protein_coding	1	152976797	153023783	46987	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000720	RBM26	protein_coding	1	153066034	153114030	47997	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000724	RNF219	protein_coding	1	153454850	153481912	27063	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000726	POU4F1	protein_coding	1	153489663	153491621	1959	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000729	EDNRB	protein_coding	1	153874214	153891520	17307	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000734	SLAIN1	protein_coding	1	153949429	154004128	54700	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000757	SCEL	protein_coding	1	154020370	154072783	52414	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000762		protein_coding	1	154124569	154197525	72957	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000777	MYCBP2	protein_coding	1	154176330	154380614	204285	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000784	FBXL3	protein_coding	1	154395941	154462524	66584	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000785	CLN5	protein_coding	1	154416432	154427125	10694	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000788	GATD3AL1	protein_coding	1	154426558	154442407	15850	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000791	ACOD1	protein_coding	1	154437689	154447226	9538	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000793		protein_coding	1	154463197	154465797	2601	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000795		protein_coding	1	154471191	154473773	2583	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000796	KCTD12	protein_coding	1	154471914	154472891	978	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000800	LMO7	protein_coding	1	154810558	154939604	129047	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000804		protein_coding	1	154936427	154942221	5795	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000810	UCHL3	protein_coding	1	154944884	154986618	41735	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000812	COMMD6	protein_coding	1	155006115	155014067	7953	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000816	TBC1D4	protein_coding	1	155024438	155130011	105574	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000818	KLF12	protein_coding	1	155542000	155796575	254576	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000820	KLF5	protein_coding	1	156007861	156026686	18826	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000823	PIBF1	protein_coding	1	156046163	156162745	116583	-	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
gallus_gallus	ENSGALG00010000843	DIS3	protein_coding	1	156162127	156183116	20990	+	data/raw/ensembl/gallus_gallus/release-115/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.115.chr.gtf.gz
