gene_id	present_in_unfiltered_biomart	chromosomes_or_scaffolds	any_main_chromosome	all_non_main_chromosome	qc_class
ENSG00000139656	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000148362	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000153113	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000169789	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000169807	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000188403	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000198695	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198712	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198727	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198763	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198786	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198804	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198840	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198886	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198888	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198899	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000198938	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000204872	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000205274	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211592	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211593	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211594	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211595	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211596	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211597	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211598	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211599	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211611	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211623	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211625	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211626	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211632	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211633	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211637	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211638	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211639	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211640	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211641	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211642	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211643	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211644	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211645	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211647	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211648	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211649	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211650	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211651	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211652	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211653	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211654	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211655	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
