gene_id	gene_name	gene_length_bp	log10_gene_length_bp	description	HPA_present	max_nTPM_total	number_expressed_tissues	tissue_with_max_expression
ENSG00000241241	KRTAP4-16	708	2.85003325768977	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000238205	MPC1L	709	2.85064623518307	NA	TRUE	17.3	1	testis
ENSG00000179085	DPM3	710	2.85125834871908	NA	TRUE	147	36	liver
ENSG00000212900	KRTAP3-2	714	2.85369821177617	NA	TRUE	95.7	4	skin
ENSG00000274749	KRTAP7-1	721	2.85793526471943	NA	TRUE	22.7	1	skin
ENSG00000086506	HBQ1	721	2.85793526471943	NA	TRUE	13.5	9	amygdala
ENSG00000187475	H1-6	724	2.85973856619715	NA	TRUE	1	1	testis
ENSG00000289281	ENSG00000289281	728	2.86213137931304	NA	TRUE	0	0	retina
ENSG00000163352	LENEP	730	2.86332286012046	NA	TRUE	0.2	0	kidney; thyroid gland
ENSG00000250254	PTTG2	731	2.86391737695786	NA	TRUE	1.3	2	colon
ENSG00000129862	VCY1B	732	2.86451108105839	NA	TRUE	64.3	1	testis
ENSG00000214518	KRTAP2-2	733	2.86510397464113	NA	TRUE	49.4	1	skin
ENSG00000212899	KRTAP3-3	735	2.86628733908419	NA	TRUE	120.5	2	skin
ENSG00000169575	VPREB1	736	2.8668778143375	NA	TRUE	0.1	0	small intestine; testis
ENSG00000214042	IFNA7	737	2.86746748785905	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000221864	KRTAP12-2	739	2.86864443839483	NA	TRUE	20.6	1	skin
ENSG00000221916	C19orf73	742	2.87040390527903	NA	TRUE	7.1	30	cerebellum
ENSG00000249467	H2AL1Q	745	2.87215627274829	NA	TRUE	0.1	0	retina
ENSG00000240542	KRTAP9-1	753	2.8767949762007	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000236334	PPIAL4G	755	2.87794695162919	NA	TRUE	0.7	0	retina
ENSG00000124610	H1-1	756	2.87852179550121	NA	TRUE	0.1	0	testis
ENSG00000234776	C11orf94	760	2.88081359228079	NA	TRUE	54.9	1	testis
ENSG00000263353	PPIAL4A	760	2.88081359228079	NA	TRUE	0.2	0	cerebellum
ENSG00000288867	PPIAL4C	760	2.88081359228079	NA	TRUE	0.3	0	retina
ENSG00000289549	PPIAL4D	760	2.88081359228079	NA	TRUE	0	0	retina
ENSG00000271567	PPIAL4E	760	2.88081359228079	NA	TRUE	0.7	0	cerebellum
ENSG00000279782	PPIAL4F	760	2.88081359228079	NA	TRUE	0.6	0	cerebellum
ENSG00000270339	PPIAL4H	760	2.88081359228079	NA	TRUE	2.3	1	cerebellum
ENSG00000213417	KRTAP2-4	764	2.88309335857569	NA	TRUE	39.7	1	skin
ENSG00000165496	RPL10L	772	2.88761730033574	NA	TRUE	91.6	2	testis
ENSG00000124575	H1-3	776	2.88986172125819	NA	TRUE	4.2	13	vagina
ENSG00000212725	KRTAP2-1	776	2.88986172125819	NA	TRUE	61.9	2	skin
