species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
pongo_abelii	ENSPPYG00000001017	TAFA3	protein_coding	1	113978657	113985745	7089	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000000001	PGBD2	protein_coding	1	2723	3748	1026	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000001734	PITHD1	protein_coding	1	204217642	204228405	10764	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000000221	CENPF	protein_coding	1	34851136	34904544	53409	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000001735	ELOA	protein_coding	1	204244079	204263524	19446	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000000106	MAP3K21	protein_coding	1	16017404	16074735	57332	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000029541	ACBD3	protein_coding	1	23387733	23430438	42706	+	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000000222	PTPN14	protein_coding	1	34954833	35152028	197196	+	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000032085		protein_coding	1	23448990	23449491	502	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000001469	PPCS	protein_coding	1	185426881	185430740	3860	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000000002	ZNF692	protein_coding	1	65654	74727	9074	+	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000000168	H3F3B	protein_coding	1	23502801	23511245	8445	-	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
pongo_abelii	ENSPPYG00000040176		protein_coding	1	163653892	163654356	465	+	data/raw/ensembl/pongo_abelii/release-115/Pongo_abelii.Susie_PABv2.115.chr.gtf.gz
