HGNC symbol	UniProtKB/Swiss-Prot ID	Gene stable ID	Transcript stable ID	Protein stable ID
C8orf33	Q9H7E9	ENSG00000291362	ENST00000707298	ENSP00000516830
C8orf33		ENSG00000291362	ENST00000707302	ENSP00000516831
C8orf33		ENSG00000291362	ENST00000707303	ENSP00000516832
C8orf33		ENSG00000291362	ENST00000707304	ENSP00000516833
C8orf33		ENSG00000291362	ENST00000707305	ENSP00000516834
TOLLIP	Q9H0E2	ENSG00000291426	ENST00000707519	ENSP00000516890
TOLLIP	Q9H0E2	ENSG00000291426	ENST00000707520	ENSP00000516891
TOLLIP		ENSG00000291426	ENST00000707521	ENSP00000516892
TOLLIP		ENSG00000291426	ENST00000707522	ENSP00000516893
TOLLIP		ENSG00000291426	ENST00000707523	ENSP00000516894
TOLLIP		ENSG00000291426	ENST00000707524	ENSP00000516895
TOLLIP		ENSG00000291426	ENST00000707525	ENSP00000516896
DUSP16	Q9BY84	ENSG00000280962	ENST00000626413	ENSP00000487512
DUSP16	Q9BY84	ENSG00000280962	ENST00000628303	ENSP00000487034
DUSP16		ENSG00000280962	ENST00000626461	ENSP00000485919
DUSP16		ENSG00000280962	ENST00000629698	ENSP00000487493
FBXO42	Q6P3S6	ENSG00000291375	ENST00000707355	ENSP00000516839
FBXO42		ENSG00000291375	ENST00000707356	ENSP00000516840
FBXO42		ENSG00000291375	ENST00000707357	ENSP00000516841
SZRD1	Q7Z422	ENSG00000291379	ENST00000707364	ENSP00000516843
SZRD1	Q7Z422	ENSG00000291379	ENST00000707365	ENSP00000516844
SZRD1	Q7Z422	ENSG00000291379	ENST00000707363	ENSP00000516842
SZRD1		ENSG00000291379	ENST00000707367	ENSP00000516845
SZRD1	Q7Z422	ENSG00000291379	ENST00000707370	ENSP00000516846
PAK1IP1	Q9NWT1	ENSG00000285226	ENST00000644756	ENSP00000496482
TMEM14C	Q9P0S9	ENSG00000284936	ENST00000642513	ENSP00000495127
TMEM14C	Q9P0S9	ENSG00000284936	ENST00000643226	ENSP00000495742
IBTK	Q9P2D0	ENSG00000283068	ENST00000635454	ENSP00000489389
PEX5		ENSG00000288217	ENST00000673260	ENSP00000499871
IBTK		ENSG00000283068	ENST00000634585	ENSP00000489043
IBTK		ENSG00000283068	ENST00000634695	ENSP00000488965
IBTK		ENSG00000283068	ENST00000635384	ENSP00000489548
IBTK		ENSG00000283068	ENST00000634571	ENSP00000488952
IBTK		ENSG00000283068	ENST00000635314	ENSP00000489552
PEX5		ENSG00000288217	ENST00000671945	ENSP00000500922
PEX5	P50542	ENSG00000288217	ENST00000672694	ENSP00000499823
PEX5		ENSG00000288217	ENST00000672891	ENSP00000499961
PEX5	P50542	ENSG00000288217	ENST00000672242	ENSP00000500696
PEX5		ENSG00000288217	ENST00000673059	ENSP00000500271
PEX5	P50542	ENSG00000288217	ENST00000672541	ENSP00000500043
PEX5		ENSG00000288217	ENST00000672372	ENSP00000500441
PEX5		ENSG00000288217	ENST00000671862	ENSP00000500701
