Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000291836	31206	48614	HG2554_PATCH
ENSG00000094914	53307456	53324864	12
ENSG00000103591	67200667	67255195	15
ENSG00000127837	218264125	218270178	2
ENSG00000131043	36236131	36270918	20
ENSG00000124608	44298726	44313347	6
ENSG00000266967	42950431	42964498	17
ENSG00000149313	106075501	106098708	11
ENSG00000276072	1185240	1293236	HSCHR17_7_CTG4
ENSG00000275700	36948925	37056874	17
ENSG00000135776	229516582	229558957	1
ENSG00000131269	75051048	75156732	X
ENSG00000117528	94418242	94518666	1
ENSG00000164163	145098248	145129524	4
ENSG00000225989	1872133	1897937	HSCHR6_MHC_SSTO_CTG1
ENSG00000236149	2051098	2076903	HSCHR6_MHC_COX_CTG1
ENSG00000232169	1827203	1853009	HSCHR6_MHC_DBB_CTG1
ENSG00000236342	1915422	1941226	HSCHR6_MHC_MCF_CTG1
ENSG00000231129	1881605	1907409	HSCHR6_MHC_MANN_CTG1
ENSG00000206490	1826463	1852267	HSCHR6_MHC_QBL_CTG1
ENSG00000204574	30571393	30597179	6
ENSG00000033050	151211484	151227241	7
ENSG00000161204	184186095	184194013	3
ENSG00000144827	111978972	111993368	3
ENSG00000100997	25294742	25390866	20
ENSG00000139826	108218167	108234243	13
ENSG00000248487	51971426	51981197	3
ENSG00000231488	2934713	2951180	HSCHR6_MHC_DBB_CTG1
ENSG00000230475	2986234	3002713	HSCHR6_MHC_SSTO_CTG1
ENSG00000235676	3164239	3180705	HSCHR6_MHC_COX_CTG1
ENSG00000224552	2991996	3008464	HSCHR6_MHC_MANN_CTG1
ENSG00000206403	2942773	2959248	HSCHR6_MHC_QBL_CTG1
ENSG00000236063	3028821	3045289	HSCHR6_MHC_MCF_CTG1
ENSG00000204427	31686954	31703356	6
ENSG00000100439	22598249	22612963	14
ENSG00000127220	17292131	17310236	19
ENSG00000136754	26745942	26861094	10
ENSG00000292169	143151	146937	HSCHR6_1_CTG1
ENSG00000146109	26596953	26600739	6
ENSG00000177646	128879596	128924003	3
ENSG00000072778	7217125	7225269	17
ENSG00000131584	1292376	1309609	1
ENSG00000182827	226144679	226186762	1
ENSG00000107897	27168135	27243046	10
ENSG00000230124	180269653	180502954	1
ENSG00000100813	23058561	23095614	14
ENSG00000131473	41866916	41930545	17
ENSG00000112304	24666921	24705065	6
ENSG00000101473	45841709	45857405	20
ENSG00000123130	23699396	23766475	X
ENSG00000161533	75941507	75979459	17
ENSG00000087008	8365885	8440750	4
ENSG00000143727	264140	279100	2
ENSG00000176715	89088375	89164121	16
ENSG00000123983	222860942	222944639	2
ENSG00000131069	34872146	34927962	20
ENSG00000131966	58200080	58235636	14
ENSG00000138107	102461881	102502744	10
ENSG00000291597	581970	590075	HG2275_PATCH
ENSG00000115073	97655939	97664114	2
ENSG00000101442	38748457	38772520	20
ENSG00000113812	53863038	53882198	3
ENSG00000115170	157736249	157876347	2
ENSG00000135503	51951679	51997082	12
ENSG00000133597	140672885	140696261	7
ENSG00000197894	99070978	99088801	4
ENSG00000280830	106831	110463	HSCHR2_1_CTG1
ENSG00000182551	3497366	3519559	2
ENSG00000159346	202940090	202958572	1
ENSG00000285070	30718	130818	HG1815_PATCH
ENSG00000006831	1688574	1788680	12
ENSG00000156110	74151191	74709963	10
ENSG00000101126	50888916	50931437	20
