HGNC symbol	Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
AAAS	ENSG00000291836	31206	48614	HG2554_PATCH
AAAS	ENSG00000094914	53307456	53324864	12
AAGAB	ENSG00000103591	67200667	67255195	15
AAMP	ENSG00000127837	218264125	218270178	2
AAR2	ENSG00000131043	36236131	36270918	20
AARS2	ENSG00000124608	44298726	44313347	6
AARSD1	ENSG00000266967	42950431	42964498	17
AASDHPPT	ENSG00000149313	106075501	106098708	11
AATF	ENSG00000276072	1185240	1293236	HSCHR17_7_CTG4
AATF	ENSG00000275700	36948925	37056874	17
ABCB10	ENSG00000135776	229516582	229558957	1
ABCB7	ENSG00000131269	75051048	75156732	X
ABCD3	ENSG00000117528	94418242	94518666	1
ABCE1	ENSG00000164163	145098248	145129524	4
ABCF1	ENSG00000225989	1872133	1897937	HSCHR6_MHC_SSTO_CTG1
ABCF1	ENSG00000236149	2051098	2076903	HSCHR6_MHC_COX_CTG1
ABCF1	ENSG00000232169	1827203	1853009	HSCHR6_MHC_DBB_CTG1
ABCF1	ENSG00000236342	1915422	1941226	HSCHR6_MHC_MCF_CTG1
ABCF1	ENSG00000231129	1881605	1907409	HSCHR6_MHC_MANN_CTG1
ABCF1	ENSG00000206490	1826463	1852267	HSCHR6_MHC_QBL_CTG1
ABCF1	ENSG00000204574	30571393	30597179	6
ABCF2	ENSG00000033050	151211484	151227241	7
ABCF3	ENSG00000161204	184186095	184194013	3
ABHD10	ENSG00000144827	111978972	111993368	3
ABHD12	ENSG00000100997	25294742	25390866	20
ABHD13	ENSG00000139826	108218167	108234243	13
ABHD14A	ENSG00000248487	51971426	51981197	3
ABHD16A	ENSG00000231488	2934713	2951180	HSCHR6_MHC_DBB_CTG1
ABHD16A	ENSG00000230475	2986234	3002713	HSCHR6_MHC_SSTO_CTG1
ABHD16A	ENSG00000235676	3164239	3180705	HSCHR6_MHC_COX_CTG1
ABHD16A	ENSG00000224552	2991996	3008464	HSCHR6_MHC_MANN_CTG1
ABHD16A	ENSG00000206403	2942773	2959248	HSCHR6_MHC_QBL_CTG1
ABHD16A	ENSG00000236063	3028821	3045289	HSCHR6_MHC_MCF_CTG1
ABHD16A	ENSG00000204427	31686954	31703356	6
ABHD4	ENSG00000100439	22598249	22612963	14
ABHD8	ENSG00000127220	17292131	17310236	19
ABI1	ENSG00000136754	26745942	26861094	10
ABT1	ENSG00000292169	143151	146937	HSCHR6_1_CTG1
ABT1	ENSG00000146109	26596953	26600739	6
ACAD9	ENSG00000177646	128879596	128924003	3
ACADVL	ENSG00000072778	7217125	7225269	17
ACAP3	ENSG00000131584	1292376	1309609	1
ACBD3	ENSG00000182827	226144679	226186762	1
ACBD5	ENSG00000107897	27168135	27243046	10
ACBD6	ENSG00000230124	180269653	180502954	1
ACIN1	ENSG00000100813	23058561	23095614	14
ACLY	ENSG00000131473	41866916	41930545	17
ACOT13	ENSG00000112304	24666921	24705065	6
ACOT8	ENSG00000101473	45841709	45857405	20
ACOT9	ENSG00000123130	23699396	23766475	X
ACOX1	ENSG00000161533	75941507	75979459	17
ACOX3	ENSG00000087008	8365885	8440750	4
ACP1	ENSG00000143727	264140	279100	2
ACSF3	ENSG00000176715	89088375	89164121	16
ACSL3	ENSG00000123983	222860942	222944639	2
ACSS2	ENSG00000131069	34872146	34927962	20
ACTR10	ENSG00000131966	58200080	58235636	14
ACTR1A	ENSG00000138107	102461881	102502744	10
ACTR1B	ENSG00000291597	581970	590075	HG2275_PATCH
ACTR1B	ENSG00000115073	97655939	97664114	2
ACTR5	ENSG00000101442	38748457	38772520	20
ACTR8	ENSG00000113812	53863038	53882198	3
ACVR1	ENSG00000115170	157736249	157876347	2
ACVR1B	ENSG00000135503	51951679	51997082	12
ADCK2	ENSG00000133597	140672885	140696261	7
ADH5	ENSG00000197894	99070978	99088801	4
ADI1	ENSG00000280830	106831	110463	HSCHR2_1_CTG1
ADI1	ENSG00000182551	3497366	3519559	2
ADIPOR1	ENSG00000159346	202940090	202958572	1
ADIPOR2	ENSG00000285070	30718	130818	HG1815_PATCH
ADIPOR2	ENSG00000006831	1688574	1788680	12
ADK	ENSG00000156110	74151191	74709963	10
ADNP	ENSG00000101126	50888916	50931437	20
ADO	ENSG00000181915	62804720	62808479	10
ADPRH	ENSG00000144843	119579268	119590165	3
ADPRM	ENSG00000170222	10697594	10711558	17
ADSL	ENSG00000239900	40346461	40390463	22
AFF4	ENSG00000072364	132875395	132963634	5
AFTPH	ENSG00000119844	64524289	64593007	2
AGFG1	ENSG00000173744	227472134	227561217	2
AGGF1	ENSG00000164252	77029251	77065234	5
AGPAT1	ENSG00000236873	3500814	3510698	HSCHR6_MHC_APD_CTG1
AGPAT1	ENSG00000226467	3606564	3616448	HSCHR6_MHC_COX_CTG1
AGPAT1	ENSG00000228892	3484419	3494303	HSCHR6_MHC_SSTO_CTG1
AGPAT1	ENSG00000227642	3473193	3483077	HSCHR6_MHC_MANN_CTG1
AGPAT1	ENSG00000235758	3510233	3520117	HSCHR6_MHC_MCF_CTG1
AGPAT1	ENSG00000206324	3391413	3401297	HSCHR6_MHC_QBL_CTG1
AGPAT1	ENSG00000204310	32168205	32178096	6
AGPAT3	ENSG00000160216	43865223	43987592	21
AGPS	ENSG00000018510	177392576	177567024	2
AHCY	ENSG00000101444	34280268	34311802	20
AHSA1	ENSG00000100591	77457743	77469482	14
AIMP1	ENSG00000164022	106315544	106349456	4
AIP	ENSG00000110711	67468174	67491154	11
AK2	ENSG00000004455	33007986	33080996	1
AK3	ENSG00000147853	4709556	4742043	9
AKAP8	ENSG00000105127	15353385	15379829	19
AKAP9	ENSG00000127914	91940840	92110673	7
AKIP1	ENSG00000166452	8911113	8922406	11
AKIRIN1	ENSG00000174574	38991272	39006059	1
AKIRIN2	ENSG00000135334	87674860	87702255	6
AKR1A1	ENSG00000117448	45550475	45570051	1
AKR7A2	ENSG00000053371	19301991	19312144	1
AKT1	ENSG00000142208	104769348	104799934	14
AKT1S1	ENSG00000204673	49869033	49879470	19
AKTIP	ENSG00000166971	53490502	53504411	16
ALAD	ENSG00000148218	113386304	113401356	9
ALDH3A2	ENSG00000072210	19647291	19685760	17
ALDH9A1	ENSG00000143149	165662216	165698597	1
ALG11	ENSG00000253710	52012391	52079232	13
ALG5	ENSG00000120697	36949738	37000763	13
ALG8	ENSG00000159063	78095244	78139660	11
ALG9	ENSG00000086848	111782195	111872405	11
ALKBH1	ENSG00000100601	77672404	77708023	14
ALKBH2	ENSG00000189046	109088188	109098462	12
ALKBH3	ENSG00000166199	43880811	43920274	11
ALKBH5	ENSG00000091542	18183078	18209954	17
ALS2	ENSG00000003393	201700267	201782112	2
ALYREF	ENSG00000183684	81887835	81891586	17
AMBRA1	ENSG00000110497	46396414	46594125	11
AMD1	ENSG00000123505	110874770	110898879	6
ANAPC10	ENSG00000164162	144831908	145098823	4
ANAPC11	ENSG00000141552	81890669	81900991	17
ANAPC13	ENSG00000129055	134477704	134486716	3
ANAPC15	ENSG00000110200	72106378	72113688	11
ANAPC16	ENSG00000166295	72215863	72235860	10
ANAPC2	ENSG00000176248	137174784	137189028	9
ANAPC5	ENSG00000089053	121308245	121399896	12
ANAPC7	ENSG00000196510	110372900	110403730	12
ANKFY1	ENSG00000185722	4163821	4263995	17
ANKH	ENSG00000154122	14704800	14871877	5
ANKHD1	ENSG00000131503	140401660	140541168	5
ANKHD1-EIF4EBP3	ENSG00000254996	140401908	140549569	5
ANKRD10	ENSG00000088448	110878540	110915071	13
ANKRD17	ENSG00000132466	73073376	73259147	4
ANKRD28	ENSG00000206560	15667236	15859771	3
ANKRD39	ENSG00000213337	96836611	96858016	2
ANKRD46	ENSG00000186106	100509752	100559784	8
ANO6	ENSG00000177119	45215987	45482280	12
ANP32A	ENSG00000140350	68778534	68820924	15
ANP32B	ENSG00000136938	97983215	98015943	9
ANP32E	ENSG00000143401	150218417	150236202	1
ANXA6	ENSG00000197043	151100706	151157815	5
ANXA7	ENSG00000138279	73375101	73414731	10
AP1B1	ENSG00000100280	29327680	29388612	22
AP1G1	ENSG00000166747	71729000	71809201	16
AP1M1	ENSG00000072958	16197854	16245906	19
AP2A1	ENSG00000196961	49766990	49807114	19
