From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Reviewed
ENSG00000000419	O60762	DPM1_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)	DPM1	Homo sapiens (Human)	260	reviewed
ENSG00000002330	Q92934	BAD_HUMAN	Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	BAD BBC6 BCL2L8	Homo sapiens (Human)	168	reviewed
ENSG00000002586	P14209	CD99_HUMAN	CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99)	CD99 MIC2 MIC2X MIC2Y	Homo sapiens (Human)	185	reviewed
ENSG00000002834	Q14847	LASP1_HUMAN	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	LASP1 MLN50	Homo sapiens (Human)	261	reviewed
ENSG00000003056	P20645	MPRD_HUMAN	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)	M6PR MPR46 MPRD	Homo sapiens (Human)	277	reviewed
ENSG00000003756	P52756	RBM5_HUMAN	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	RBM5 H37 LUCA15	Homo sapiens (Human)	815	reviewed
ENSG00000004059	P84085	ARF5_HUMAN	ADP-ribosylation factor 5	ARF5	Homo sapiens (Human)	180	reviewed
ENSG00000004455	P54819	KAD2_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	AK2 ADK2	Homo sapiens (Human)	239	reviewed
ENSG00000004487	O60341	KDM1A_HUMAN	Lysine-specific histone demethylase 1A (EC 1.14.11.-) (EC 1.14.11.65) (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A)	KDM1A AOF2 BHC110 KDM1 KIAA0601 LSD1	Homo sapiens (Human)	852	reviewed
ENSG00000004779	O14561	ACPM_HUMAN	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	NDUFAB1	Homo sapiens (Human)	156	reviewed
ENSG00000004897	P30260	CDC27_HUMAN	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824	reviewed
ENSG00000004975	O14641	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2)	DVL2	Homo sapiens (Human)	736	reviewed
ENSG00000005022	P05141	ADT2_HUMAN	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]	SLC25A5 AAC2 ANT2	Homo sapiens (Human)	298	reviewed
ENSG00000005075	P52435	RPB11_HUMAN	DNA-directed RNA polymerase II subunit RPB11-a (RNA polymerase II subunit B11-a) (RPB11a) (DNA-directed RNA polymerase II subunit J-1) (RNA polymerase II 13.3 kDa subunit)	POLR2J POLR2J1	Homo sapiens (Human)	117	reviewed
ENSG00000005339	Q92793	CBP_HUMAN	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein lactyltransferas CREBBP) (EC 2.3.1.-) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	CREBBP CBP	Homo sapiens (Human)	2442	reviewed
ENSG00000005486	Q6NTF9	RHBD2_HUMAN	Rhomboid domain-containing protein 2	RHBDD2 RHBDL7	Homo sapiens (Human)	364	reviewed
ENSG00000005810	O75592	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4678	reviewed
ENSG00000005812	Q9UKT7	FBXL3_HUMAN	F-box/LRR-repeat protein 3 (F-box and leucine-rich repeat protein 3A) (F-box/LRR-repeat protein 3A)	FBXL3 FBL3A FBXL3A	Homo sapiens (Human)	428	reviewed
