uniprot_accession	entry_name	description	protein_length_aa	hk_status	hk_source	ensg_mapping_status	uniprot_db_prefix	entry_name_from_fasta	review_status_from_fasta
A6NGW2	STRCL_HUMAN	Putative stereocilin-like protein OS=Homo sapiens OX=9606 GN=STRCP1 PE=5 SV=1	1772	non-HK		not_mapped_to_ensg	sp	STRCL_HUMAN	Swiss-Prot reviewed
C4AMC7	WASH3_HUMAN	Putative WAS protein family homolog 3 OS=Homo sapiens OX=9606 GN=WASH3P PE=1 SV=2	463	non-HK		not_mapped_to_ensg	sp	WASH3_HUMAN	Swiss-Prot reviewed
P0C7T7	FMAS1_HUMAN	Putative uncharacterized protein FRMD6-AS1 OS=Homo sapiens OX=9606 GN=FRMD6-AS1 PE=5 SV=1	363	non-HK		not_mapped_to_ensg	sp	FMAS1_HUMAN	Swiss-Prot reviewed
P0DSO3	GAGE4_HUMAN	G antigen 4 OS=Homo sapiens OX=9606 GN=GAGE4 PE=5 SV=1	117	non-HK		not_mapped_to_ensg	sp	GAGE4_HUMAN	Swiss-Prot reviewed
Q6NXN4	D19P1_HUMAN	Putative C-mannosyltransferase DPY19L2P1 OS=Homo sapiens OX=9606 GN=DPY19L2P1 PE=2 SV=1	242	non-HK		not_mapped_to_ensg	sp	D19P1_HUMAN	Swiss-Prot reviewed
Q75LS8	FKB9L_HUMAN	Putative FK506-binding protein 9-like protein OS=Homo sapiens OX=9606 GN=FKBP9P1 PE=5 SV=1	142	non-HK		not_mapped_to_ensg	sp	FKB9L_HUMAN	Swiss-Prot reviewed
A0A0A0MTA4	TJB25_HUMAN	T cell receptor beta joining 2-5 OS=Homo sapiens OX=9606 GN=TRBJ2-5 PE=4 SV=2	15	non-HK		not_mapped_to_ensg	sp	TJB25_HUMAN	Swiss-Prot reviewed
P54792	DVLP1_HUMAN	Putative segment polarity protein dishevelled homolog DVL1P1 OS=Homo sapiens OX=9606 GN=DVL1P1 PE=5 SV=1	670	non-HK		not_mapped_to_ensg	sp	DVLP1_HUMAN	Swiss-Prot reviewed
P60509	ERB1_HUMAN	Endogenous retrovirus group PABLB member 1 Env polyprotein OS=Homo sapiens OX=9606 GN=ERVPABLB-1 PE=2 SV=1	514	non-HK		not_mapped_to_ensg	sp	ERB1_HUMAN	Swiss-Prot reviewed
A8MVZ5	BTNLA_HUMAN	Putative butyrophilin-like protein 10 OS=Homo sapiens OX=9606 GN=BTNL10P PE=5 SV=2	291	non-HK		not_mapped_to_ensg	sp	BTNLA_HUMAN	Swiss-Prot reviewed
Q2TV78	MST1L_HUMAN	Putative macrophage stimulating 1-like protein OS=Homo sapiens OX=9606 GN=MST1L PE=1 SV=2	715	non-HK		not_mapped_to_ensg	sp	MST1L_HUMAN	Swiss-Prot reviewed
Q8N8G6	CO054_HUMAN	Putative uncharacterized protein encoded by LINC02915 OS=Homo sapiens OX=9606 GN=LINC02915 PE=1 SV=1	183	non-HK		not_mapped_to_ensg	sp	CO054_HUMAN	Swiss-Prot reviewed
