gene_id	hk_status	n_tissues_expressed	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues	variance_log10_nTPM_plus1	sd_log10_nTPM_plus1	gene_length_bp	log10_gene_length_bp	fixed_breadth_group
ENSG00000000003	non-HK	36	15.4388888888889	11.5	0.088388508795213	0.297302049766249	12884	4.11005071614765	broad non-HK fixed
ENSG00000000005	non-HK	6	7.75	3.45	0.164064943441004	0.40504930988832	14950	4.17464119266045	intermediate non-HK fixed
ENSG00000000419	HK	36	29.925	29.45	0.0113235351398595	0.106412100533067	24289	4.38540963487833	HK
ENSG00000000457	non-HK	36	5.25833333333333	5.5	0.0179908315769397	0.134129905602516	47287	4.67474176221222	broad non-HK fixed
ENSG00000000460	non-HK	24	1.79166666666667	1.45	0.0170883478019351	0.130722407420974	193450	5.28656873405726	intermediate non-HK fixed
ENSG00000000938	non-HK	35	13.1628571428571	6.6	0.110178496237968	0.33193146316366	23502	4.37110482193151	broad non-HK fixed
ENSG00000000971	non-HK	36	70.625	22.95	0.283066834654195	0.532040256610527	100723	5.0031286526046	broad non-HK fixed
ENSG00000001036	non-HK	36	20.2638888888889	22.4	0.0415139341219313	0.203749684961551	17882	4.25241609054427	broad non-HK fixed
ENSG00000001084	non-HK	36	17.325	15.65	0.0335007310347607	0.183032049201119	119630	5.07784010273499	broad non-HK fixed
ENSG00000001167	non-HK	36	9.59166666666667	8.7	0.012483777388369	0.111730825596023	29458	4.46920325783422	broad non-HK fixed
ENSG00000001460	non-HK	36	5.73611111111111	4	0.0470955270127392	0.21701503867875	61049	4.78567855447191	broad non-HK fixed
ENSG00000001461	non-HK	36	16.5944444444444	9.7	0.130028776503268	0.3605950311683	63209	4.80077891961241	broad non-HK fixed
ENSG00000001497	non-HK	36	15.8027777777778	13.25	0.0224965924456815	0.14998864105552	96270	4.98349097181517	broad non-HK fixed
ENSG00000001561	non-HK	36	8.23888888888889	7.35	0.0723231271602917	0.268929595173703	16736	4.22365166718718	broad non-HK fixed
ENSG00000001617	non-HK	36	21.4222222222222	13.45	0.158400645214508	0.397995785423047	34064	4.53229564409425	broad non-HK fixed
ENSG00000001626	non-HK	9	8.73333333333333	1.6	0.235250065999019	0.485025840547717	428852	5.63230743980003	intermediate non-HK fixed
ENSG00000001629	non-HK	36	9.49166666666667	8.2	0.0146537683038507	0.12105275008793	156098	5.19339733871566	broad non-HK fixed
ENSG00000001630	non-HK	36	26.3388888888889	24.65	0.0538967485400659	0.23215673270458	49817	4.69737757059762	broad non-HK fixed
ENSG00000001631	non-HK	36	3.18055555555556	3	0.0100416939840235	0.100208253073404	48669	4.6872524229038	broad non-HK fixed
ENSG00000002016	non-HK	36	5.225	4.95	0.00807889058765877	0.0898826489799826	79184	4.89863743646708	broad non-HK fixed
ENSG00000002330	HK	36	73.3666666666667	63.3	0.0305221045072729	0.174705765523846	22119	4.34476548862276	HK
ENSG00000002549	non-HK	36	39.6861111111111	37.2	0.0331639228300837	0.182109645077035	30778	4.48824039531403	broad non-HK fixed
ENSG00000002586	HK	36	234.925	226.4	0.0757992862823193	0.275316701785996	50325	4.70178378356069	HK
ENSG00000002587	non-HK	30	3.76333333333333	1.8	0.0703905552662807	0.265312184541684	36415	4.56128031429029	broad non-HK fixed
ENSG00000002726	non-HK	8	33.8	3.3	0.525456008359165	0.724883444671738	36878	4.56676735998147	intermediate non-HK fixed
ENSG00000002745	non-HK	3	5.43333333333333	6.4	0.0293138604324734	0.171212909654831	15738	4.196949540974	restricted non-HK fixed
ENSG00000002746	non-HK	9	2.57777777777778	1.9	0.0334626146499342	0.182927894674197	453373	5.65645565275528	intermediate non-HK fixed
ENSG00000002822	non-HK	36	9.25277777777778	8.9	0.0150652121270262	0.122740425805951	417457	5.62061174778495	broad non-HK fixed
ENSG00000002834	HK	36	44.9638888888889	40.85	0.0280710054397719	0.167544040299176	52587	4.72087839574959	HK
ENSG00000002919	non-HK	36	11.5166666666667	10.95	0.00573926144556941	0.0757579134187935	20245	4.30631778110443	broad non-HK fixed
ENSG00000002933	non-HK	36	89.1166666666667	43.95	0.192054405586053	0.438240123204224	5525	3.74233228235715	broad non-HK fixed
ENSG00000003056	HK	36	58.7777777777778	59.25	0.00835032453236935	0.0913801101573496	11499	4.06066007397401	HK
ENSG00000003096	non-HK	34	4.67647058823529	3.6	0.0612697221934515	0.247527215056146	219547	5.34152750706397	broad non-HK fixed
ENSG00000003137	non-HK	34	7.60882352941177	4.25	0.0915525517292594	0.302576522105168	18625	4.27009628142033	broad non-HK fixed
ENSG00000003147	non-HK	36	13.4083333333333	11	0.088140822229085	0.296885200421114	149507	5.17466152704308	broad non-HK fixed
ENSG00000003249	non-HK	36	16.4222222222222	7.05	0.224281832665587	0.473584029149619	15020	4.17666993266815	broad non-HK fixed
ENSG00000003393	non-HK	36	3.93333333333333	3.2	0.0230541248898184	0.151835848500341	81846	4.91299745930841	broad non-HK fixed
ENSG00000003400	non-HK	36	4.52222222222222	3.6	0.059664223289409	0.244262611321113	46736	4.66965153962947	broad non-HK fixed
ENSG00000003402	non-HK	36	58.3166666666667	52.1	0.0850306746415981	0.291600196573319	60534	4.78199937241794	broad non-HK fixed
ENSG00000003436	non-HK	36	24.2277777777778	17.55	0.2216591228715	0.470806884902398	102024	5.00870234667873	broad non-HK fixed
ENSG00000003509	non-HK	36	7.82222222222222	6.55	0.0219660045153459	0.148209326681373	21773	4.33791827257267	broad non-HK fixed
ENSG00000003756	HK	36	66.6055555555556	66.3	0.0107154857130092	0.103515630283592	30103	4.47860977860123	HK
ENSG00000003987	non-HK	18	5.65	5.6	0.116073670136018	0.340695861636179	116735	5.06720108764715	intermediate non-HK fixed
ENSG00000003989	non-HK	36	18.4916666666667	7.75	0.183859052711413	0.42878788778534	73599	4.86687191355717	broad non-HK fixed
ENSG00000004059	HK	36	129.869444444444	117.65	0.0302286285600239	0.173863821883749	3331	3.52257463269118	HK
ENSG00000004139	non-HK	35	3.30285714285714	3	0.0212429144834235	0.145749492223553	39694	4.59872486535705	broad non-HK fixed
ENSG00000004142	non-HK	36	56.4222222222222	42.95	0.0391853997908167	0.19795302420225	11412	4.05736176298504	broad non-HK fixed
ENSG00000004399	non-HK	36	23.175	19.2	0.0713266480889046	0.267070492733482	51469	4.71154573035041	broad non-HK fixed
ENSG00000004455	HK	36	67.9888888888889	58.45	0.0359301867171069	0.189552596176119	73011	4.86338829682468	HK
ENSG00000004468	non-HK	23	3.55652173913043	2.8	0.0409624952641685	0.202391934780437	74958	4.87481799035903	intermediate non-HK fixed
ENSG00000004478	non-HK	36	43.9583333333333	39.9	0.0150577522239935	0.122710033102406	11134	4.04665121697092	broad non-HK fixed
ENSG00000004487	HK	36	9.21388888888889	8.45	0.0235135667457688	0.153341340628575	64299	4.80820421868069	HK
ENSG00000004534	non-HK	36	70.5666666666667	71.8	0.0135630199064685	0.116460379127274	160039	5.20422582903639	broad non-HK fixed
ENSG00000004660	non-HK	35	14.3514285714286	9.9	0.0861668309192865	0.293541872514445	34577	4.53878730993371	broad non-HK fixed
ENSG00000004700	non-HK	36	9.41666666666667	8.85	0.0296106847783398	0.172077554545443	32760	4.51534389308838	broad non-HK fixed
ENSG00000004766	non-HK	36	2.84166666666667	2.8	0.00531818935981928	0.0729259169282038	128784	5.10986191004753	broad non-HK fixed
ENSG00000004776	non-HK	36	314.213888888889	101.4	0.34902428568402	0.590782773685913	3514	3.54580175715928	broad non-HK fixed
ENSG00000004777	non-HK	36	15.3333333333333	10.2	0.0702204426369605	0.2649914010623	14291	4.15506261922392	broad non-HK fixed
ENSG00000004779	HK	36	124.394444444444	94.45	0.0445725524222019	0.211122126794426	15306	4.18486170899343	HK
ENSG00000004799	non-HK	36	173.897222222222	81.45	0.289857329961744	0.538383998612276	14142	4.15051083290797	broad non-HK fixed
ENSG00000004809	non-HK	1	14	14	0	0	51995	4.71596158254222	restricted non-HK fixed
ENSG00000004838	non-HK	18	17.8277777777778	2.75	0.245349959182224	0.495328132839458	4623	3.66492389343808	intermediate non-HK fixed
ENSG00000004846	non-HK	2	1.95	1.95	0.000108387145704238	0.0104109147390726	161372	5.20782818156073	restricted non-HK fixed
ENSG00000004848	non-HK	8	12.8	6.1	0.138252550638658	0.371823278774552	12727	4.10472604410997	intermediate non-HK fixed
ENSG00000004864	non-HK	36	10.2305555555556	7.55	0.0426603638687904	0.206543854589747	201930	5.30520084527641	broad non-HK fixed
ENSG00000004866	non-HK	36	15.225	12.9	0.0207588556963472	0.144079338200684	277833	5.44378382839488	broad non-HK fixed
ENSG00000004897	HK	36	11.3555555555556	10.4	0.00770016929853911	0.0877506085365743	71720	4.85564028089015	HK
ENSG00000004939	non-HK	4	12.65	5.15	0.342584547761791	0.585307225106431	19752	4.29561107692388	restricted non-HK fixed
ENSG00000004948	non-HK	1	4	4	0	0	151253	5.1797039973445	restricted non-HK fixed
ENSG00000004961	non-HK	36	11.7083333333333	10.05	0.0289525182463818	0.170154395319021	11788	4.07144012717789	broad non-HK fixed
ENSG00000004975	HK	36	18.1111111111111	16.8	0.0210094970686501	0.144946531757921	9183	3.962984584317	HK
ENSG00000005001	non-HK	15	12.6466666666667	5.4	0.209538423797413	0.457753671528054	5483	3.73901824588348	intermediate non-HK fixed
ENSG00000005007	non-HK	36	19.7527777777778	20.7	0.0275702602461276	0.166042946993022	36328	4.56024148889291	broad non-HK fixed
ENSG00000005020	non-HK	36	9.33611111111111	7.5	0.0505866621144006	0.224914788563137	328237	5.51618753463946	broad non-HK fixed
ENSG00000005022	HK	36	196.894444444444	157.1	0.0598553087417162	0.244653446208542	3002	3.47741068790725	HK
ENSG00000005059	non-HK	35	4.64571428571429	3.9	0.0406947539790815	0.201729407819191	128511	5.10894030303571	broad non-HK fixed
ENSG00000005073	non-HK	12	18.55	10.75	0.221437365345681	0.470571318022764	4076	3.61023417533439	intermediate non-HK fixed
ENSG00000005075	HK	36	63.5694444444444	54.6	0.0283814609107956	0.168467981856481	5802	3.76357772446665	HK
ENSG00000005100	non-HK	36	5.23888888888889	5.3	0.0050535307661682	0.071088190061136	28066	4.44818052087405	broad non-HK fixed
ENSG00000005102	non-HK	20	7.87	5.1	0.0942935648223632	0.307072572566101	21534	4.33312470871688	intermediate non-HK fixed
ENSG00000005108	non-HK	22	1.81363636363636	1.55	0.0124202153752078	0.111446020006135	461834	5.66448590231186	intermediate non-HK fixed
ENSG00000005156	non-HK	36	6.28055555555556	6.2	0.0185129715105666	0.13606238095288	29282	4.46660073629688	broad non-HK fixed
ENSG00000005175	non-HK	36	8.63888888888889	8.1	0.00930374980352263	0.0964559474761543	44790	4.65118106244469	broad non-HK fixed
ENSG00000005187	non-HK	24	13.2541666666667	4.6	0.182682297604861	0.427413497218865	187601	5.27323514903944	intermediate non-HK fixed
ENSG00000005189	non-HK	28	8.20357142857143	1.65	0.130296776025098	0.36096644722896	43512	4.63860904580711	intermediate non-HK fixed
ENSG00000005194	non-HK	36	22.1694444444444	19	0.0182568018493935	0.135117733289874	19244	4.28429534823053	broad non-HK fixed
ENSG00000005206	non-HK	36	29.0722222222222	25.3	0.0279411266770728	0.167155995037787	26483	4.42296718052776	broad non-HK fixed
ENSG00000005238	non-HK	36	15.3861111111111	14.2	0.0321813486130174	0.179391606863357	12246	4.08799425509971	broad non-HK fixed
ENSG00000005243	non-HK	36	27.8055555555556	23.3	0.103174915062035	0.32120852271077	11889	4.07514532705385	broad non-HK fixed
ENSG00000005249	non-HK	36	15.0638888888889	9.55	0.109225797994384	0.330493264673252	117185	5.06887202436004	broad non-HK fixed
ENSG00000005302	non-HK	36	12.5305555555556	10.65	0.0172766596313135	0.131440707664382	17614	4.2458579920072	broad non-HK fixed
ENSG00000005339	HK	36	14.8527777777778	13.85	0.0271059950956123	0.164638984130771	155660	5.19217702611275	HK
ENSG00000005379	non-HK	36	33.4638888888889	20.45	0.131856140819804	0.363120008839782	27568	4.44040526010395	broad non-HK fixed
ENSG00000005381	non-HK	10	3.91	1.45	0.120380307048374	0.346958653225964	11081	4.04457895487661	intermediate non-HK fixed
ENSG00000005421	non-HK	2	61	61	0.911486061913781	0.954717791765599	27538	4.43993239559757	restricted non-HK fixed
ENSG00000005436	non-HK	36	11.6638888888889	10.5	0.015248067476463	0.123483065545293	59185	4.77221165194802	broad non-HK fixed
ENSG00000005448	non-HK	36	10.5527777777778	7.95	0.0658774542319192	0.256666036381753	4294	3.63286204010023	broad non-HK fixed
ENSG00000005469	non-HK	36	9.41944444444444	6.95	0.047925971743897	0.218920012205136	54137	4.73349418568745	broad non-HK fixed
ENSG00000005471	non-HK	8	10.8125	2.7	0.224867004087368	0.474201438301665	78740	4.89619541045421	intermediate non-HK fixed
ENSG00000005483	non-HK	36	4.75555555555556	3.5	0.0381621534389125	0.195351358937972	174077	5.2407413935588	broad non-HK fixed
ENSG00000005486	HK	36	101.352777777778	54.7	0.101421235139025	0.318467007928647	46326	4.66582480283809	HK
ENSG00000005513	non-HK	22	22.5818181818182	4.3	0.394280724033149	0.627917768527973	5536	3.7431960814487	intermediate non-HK fixed
ENSG00000005700	non-HK	36	6.58888888888889	6.2	0.0232087349771633	0.152344133386105	77792	4.89093493716324	broad non-HK fixed
ENSG00000005801	non-HK	36	9.42777777777778	9.1	0.0140480298840434	0.118524385187367	39962	4.60164721547056	broad non-HK fixed
ENSG00000005810	HK	36	20.3722222222222	17.2	0.0211163867319763	0.145314784973781	284621	5.45426694018838	HK
ENSG00000005812	HK	36	18.9055555555556	17.15	0.0166188469367834	0.12891410681839	34598	4.53905099433993	HK
ENSG00000005844	non-HK	21	5.99047619047619	2.5	0.116568688245419	0.341421569683901	50910	4.70680309703734	intermediate non-HK fixed
ENSG00000005882	non-HK	36	39.5666666666667	30.55	0.0643409282810843	0.253655136516264	17416	4.24094841603304	broad non-HK fixed
ENSG00000005884	non-HK	36	19.2361111111111	16.45	0.124970874281116	0.353512198206958	34518	4.53804562440914	broad non-HK fixed
ENSG00000005889	non-HK	36	6.72777777777778	6.45	0.0188009296230742	0.13711648195266	67280	4.82788598278986	broad non-HK fixed
ENSG00000005893	HK	36	41.1	31.9	0.0456210221589821	0.213590782008452	43218	4.63566466516033	HK
ENSG00000005961	non-HK	18	2.76111111111111	2.05	0.0418693693107379	0.204620060870722	17473	4.24236747691144	intermediate non-HK fixed
ENSG00000005981	non-HK	12	6.775	1.8	0.174726052989709	0.418002455722103	61790	4.79091819521458	intermediate non-HK fixed
ENSG00000006007	HK	36	26.5916666666667	23.75	0.0305412736343513	0.174760618087575	20431	4.3102896237961	HK
ENSG00000006015	non-HK	35	51.44	43.4	0.029535856898075	0.171859992139168	3654	3.56276854301652	broad non-HK fixed
ENSG00000006016	non-HK	35	18.6371428571429	7.5	0.199515553626656	0.446671639604146	35522	4.55049740993627	broad non-HK fixed
ENSG00000006025	non-HK	36	9.55555555555556	8.8	0.0615555766763842	0.248103963443521	14437	4.15947695647423	broad non-HK fixed
ENSG00000006042	non-HK	36	44.5611111111111	42.55	0.0699448524094367	0.264470891421791	17197	4.23545269126322	broad non-HK fixed
ENSG00000006047	non-HK	18	29.3222222222222	1.65	0.29394673503798	0.542168548551076	6377	3.80461641698726	intermediate non-HK fixed
ENSG00000006059	non-HK	3	15.4333333333333	2.4	0.48152723092962	0.693921631691663	4737	3.67550338472796	restricted non-HK fixed
ENSG00000006062	non-HK	36	5.66388888888889	5.15	0.0462735703841017	0.215112924725833	53994	4.73234550219951	broad non-HK fixed
ENSG00000006071	non-HK	19	6.87894736842105	4.9	0.128805981535518	0.358895502250331	84397	4.92632700934364	intermediate non-HK fixed
ENSG00000006116	non-HK	9	25.6777777777778	16.4	0.301821792169925	0.549383101460106	106127	5.02582588775876	intermediate non-HK fixed
ENSG00000006118	non-HK	36	25.7916666666667	10.75	0.205445144718591	0.453260570443305	12700	4.10380372095596	broad non-HK fixed
ENSG00000006125	non-HK	36	48.6333333333333	44.45	0.0192334606656974	0.138684752823436	148372	5.17135195085655	broad non-HK fixed
ENSG00000006128	non-HK	24	23.4583333333333	5.3	0.32371107026464	0.568956123321157	8420	3.92531209149965	intermediate non-HK fixed
ENSG00000006194	non-HK	36	16.0388888888889	16.15	0.00694236557524647	0.0833208591845192	37602	4.57521094508361	broad non-HK fixed
ENSG00000006210	non-HK	36	29.5	19.15	0.141317813461996	0.375922616321492	12568	4.09926617203192	broad non-HK fixed
ENSG00000006282	non-HK	36	22.625	19.95	0.0560341390295199	0.236715312199105	13424	4.12788194348463	broad non-HK fixed
ENSG00000006283	non-HK	17	5.12352941176471	3.3	0.0705659335683856	0.265642492023369	66760	4.82451632800721	intermediate non-HK fixed
ENSG00000006327	non-HK	36	35.1194444444444	23.15	0.187999173031822	0.433588714142587	3941	3.5956064348656	broad non-HK fixed
ENSG00000006377	non-HK	8	3.225	1.6	0.070390100932017	0.265311328314524	5488	3.7394141026987	intermediate non-HK fixed
ENSG00000006432	non-HK	28	3.825	2.85	0.0599481437351742	0.244843100240081	87020	4.9396190789567	intermediate non-HK fixed
ENSG00000006451	HK	36	19.0083333333333	16.65	0.027740440960949	0.16655461855184	84680	4.92778084934737	HK
ENSG00000006453	non-HK	28	13.825	12.1	0.150822620214499	0.388358880694776	109468	5.03928718351869	intermediate non-HK fixed
ENSG00000006459	non-HK	36	3.14722222222222	2.6	0.0346550958666295	0.18615879207448	92310	4.96524875096712	broad non-HK fixed
ENSG00000006468	non-HK	34	8.58235294117647	3.8	0.134158148669446	0.366276055277227	100197	5.00085471850777	broad non-HK fixed
ENSG00000006530	non-HK	36	11.6555555555556	11	0.0104372513723208	0.102162866895564	103967	5.01689551245103	broad non-HK fixed
ENSG00000006534	non-HK	34	8.63235294117647	7.45	0.0794590126375063	0.28188475062959	20720	4.3163897510732	broad non-HK fixed
ENSG00000006555	non-HK	21	15.047619047619	6.2	0.209679633233276	0.457907887280046	21612	4.33469495886716	intermediate non-HK fixed
ENSG00000006576	non-HK	36	7	5.15	0.0393755543777025	0.198432745225435	158743	5.20069458354889	broad non-HK fixed
ENSG00000006606	non-HK	20	4.19	2.15	0.0799977335395439	0.282838705872347	20364	4.3088630883653	intermediate non-HK fixed
ENSG00000006607	non-HK	36	11.6472222222222	10.3	0.0148461483357202	0.121844771474693	138584	5.14171309237664	broad non-HK fixed
ENSG00000006611	non-HK	14	13.4857142857143	7.4	0.151254958547218	0.388915104550104	50522	4.70348053451535	intermediate non-HK fixed
ENSG00000006625	non-HK	36	22.3083333333333	18.3	0.0292867147341701	0.171133616610443	8231	3.91545260168848	broad non-HK fixed
ENSG00000006634	non-HK	1	7.8	7.8	0	0	33338	4.52293954225212	restricted non-HK fixed
ENSG00000006638	non-HK	24	4.70416666666667	3.05	0.0726476891730774	0.269532352739105	12390	4.09307130637606	intermediate non-HK fixed
ENSG00000006652	HK	36	11.4194444444444	9.8	0.0247768522167978	0.157406646037573	58131	4.76440779398247	HK
ENSG00000006695	non-HK	36	7.35277777777778	5.4	0.0464866334591782	0.215607591376506	162247	5.21017667529989	broad non-HK fixed
ENSG00000006704	non-HK	36	13.3888888888889	10.4	0.0719873968610629	0.268304671709352	150157	5.17654558289205	broad non-HK fixed
ENSG00000006712	HK	36	38.5888888888889	37.45	0.00533319841014628	0.0730287505722662	5526	3.74241088058049	HK
ENSG00000006715	non-HK	36	13.9138888888889	11.8	0.0209629817428284	0.144785986002888	209421	5.3210202290469	broad non-HK fixed
ENSG00000006740	non-HK	32	6.159375	3.3	0.0844647189599598	0.290628145505489	202146	5.30566515207526	broad non-HK fixed
ENSG00000006744	non-HK	36	21.1805555555556	19.65	0.016061392386775	0.126733548781587	26798	4.42810238278344	broad non-HK fixed
ENSG00000006747	non-HK	24	6.9125	3.2	0.11091063817574	0.333032488168556	89606	4.9523370909082	intermediate non-HK fixed
ENSG00000006756	non-HK	36	9.34444444444444	7.85	0.0876921580594558	0.296128617427387	25434	4.40541466695186	broad non-HK fixed
ENSG00000006757	non-HK	36	13.4027777777778	12.35	0.0290897470218014	0.170557166433432	29493	4.4697189508217	broad non-HK fixed
ENSG00000006788	non-HK	1	1.5	1.5	0	0	72266	4.85893401672155	restricted non-HK fixed
ENSG00000006831	HK	36	37.5305555555556	30.4	0.0410322791155339	0.202564259225397	100107	5.00046444666096	HK
ENSG00000006837	non-HK	12	3.28333333333333	2.65	0.0282356480652643	0.168034663284884	84698	4.92787315532222	intermediate non-HK fixed
ENSG00000007001	non-HK	6	3.63333333333333	1.9	0.0650754345446345	0.255098872095967	259598	5.41430134224116	intermediate non-HK fixed
ENSG00000007038	non-HK	10	11.68	1.8	0.282280216162185	0.531300495164634	9125	3.96023287312851	intermediate non-HK fixed
ENSG00000007047	non-HK	36	12.9611111111111	11.35	0.0196385850419121	0.140137735966841	225997	5.35410267413814	broad non-HK fixed
ENSG00000007062	non-HK	23	17.4652173913043	2.6	0.2625409891248	0.512387538026443	121303	5.08387154173495	intermediate non-HK fixed
ENSG00000007080	HK	36	83.275	75.7	0.0415201615435947	0.203764966428468	12327	4.09085739598153	HK
ENSG00000007129	non-HK	8	3.55	3.05	0.0603710458232029	0.24570520105037	37327	4.57202308674385	intermediate non-HK fixed
ENSG00000007168	HK	36	27.9166666666667	25	0.0201046035845678	0.14179070344902	92434	4.96583174715474	HK
ENSG00000007171	non-HK	7	3.1	1.8	0.053254327108971	0.230768990787261	43993	4.64338357868569	intermediate non-HK fixed
ENSG00000007174	non-HK	17	4.9	3.1	0.0693053065400694	0.263259010368248	371279	5.56970038568713	intermediate non-HK fixed
ENSG00000007202	HK	36	21.5055555555556	22	0.00672972545609165	0.0820349038890864	31015	4.49157178550099	HK
ENSG00000007216	non-HK	7	23.7	7.8	0.358049146533994	0.598372080342987	24508	4.38930787165992	intermediate non-HK fixed
ENSG00000007237	non-HK	36	27.2722222222222	14.55	0.214394455207275	0.463027488608695	288248	5.45976630263811	broad non-HK fixed
ENSG00000007255	non-HK	36	29.9444444444444	27.1	0.0363497653316603	0.190656144227403	15338	4.18576873343361	broad non-HK fixed
ENSG00000007264	non-HK	33	9.16666666666667	2.3	0.201210367391308	0.448564786169521	24161	4.38311490534207	broad non-HK fixed
ENSG00000007306	non-HK	7	55.0142857142857	18.2	0.594544875036349	0.771067360894202	33679	4.52735918790691	intermediate non-HK fixed
ENSG00000007312	non-HK	24	12.6791666666667	3.15	0.197978980270001	0.444948289433729	3892	3.59017283159631	intermediate non-HK fixed
ENSG00000007314	non-HK	9	15.2666666666667	1.7	0.338833800281893	0.582094322495841	34365	4.53611634824508	intermediate non-HK fixed
ENSG00000007341	non-HK	36	3.09722222222222	2.7	0.0227222770073835	0.150739102449841	97339	4.98828688026055	broad non-HK fixed
ENSG00000007350	non-HK	3	33	3.6	0.666653964222171	0.816488802263798	34556	4.53852346533271	restricted non-HK fixed
ENSG00000007372	non-HK	12	19.5583333333333	8.7	0.200253569468276	0.447497004982464	33183	4.52091564704544	intermediate non-HK fixed
ENSG00000007376	non-HK	36	12.9388888888889	12.2	0.0225352565873091	0.150117475955697	3433	3.53567380342575	broad non-HK fixed
ENSG00000007384	non-HK	36	30.6694444444444	29.4	0.101845020429809	0.319131666291217	20119	4.30360639063464	broad non-HK fixed
ENSG00000007392	non-HK	36	45.2555555555556	44.2	0.0201708110406461	0.14202398051261	40503	4.60748719198487	broad non-HK fixed
ENSG00000007402	non-HK	28	3.74642857142857	1.6	0.0839976725117444	0.289823519597262	141632	5.15116138791115	intermediate non-HK fixed
ENSG00000007516	non-HK	32	27.75	7.2	0.279177556150935	0.528372554312708	15802	4.1987120574604	broad non-HK fixed
ENSG00000007520	HK	36	47.1166666666667	46.1	0.0264892322273082	0.162755129649754	2642	3.42193281327851	HK
ENSG00000007541	non-HK	36	16.4833333333333	15.3	0.0349899719612864	0.187056066357888	17126	4.23365593968576	broad non-HK fixed
