Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_id	gene_length_bp
ENSG00000169789	22490397	22514637	Y	ENSG00000169789	24241
ENSG00000114374	12537650	12860839	Y	ENSG00000114374	323190
ENSG00000169807	22071756	22096007	Y	ENSG00000169807	24252
ENSG00000198692	20575776	20593154	Y	ENSG00000198692	17379
ENSG00000183753	22973819	23005465	Y	ENSG00000183753	31647
ENSG00000236424	9527880	9530682	Y	ENSG00000236424	2803
ENSG00000258992	9466955	9469749	Y	ENSG00000258992	2795
ENSG00000244395	21880076	21894526	Y	ENSG00000244395	14451
ENSG00000169953	18731440	18773735	Y	ENSG00000169953	42296
ENSG00000012817	19703865	19744939	Y	ENSG00000012817	41075
ENSG00000158270	316737	500722	18	ENSG00000158270	183986
ENSG00000172468	18546691	18588963	Y	ENSG00000172468	42273
ENSG00000141401	11981025	12030877	18	ENSG00000141401	49853
ENSG00000176679	3579067	3580041	Y	ENSG00000176679	975
ENSG00000169800	22168542	22182982	Y	ENSG00000169800	14441
ENSG00000198445	16590751	16592810	22	ENSG00000198445	2060
ENSG00000168461	9708275	9862551	18	ENSG00000168461	154277
ENSG00000182415	18025787	18027746	Y	ENSG00000182415	1960
ENSG00000099917	20495913	20587632	22	ENSG00000099917	91720
ENSG00000185894	25030901	25062548	Y	ENSG00000185894	31648
ENSG00000205916	24833843	24907040	Y	ENSG00000205916	73198
ENSG00000176105	721588	812546	18	ENSG00000176105	90959
ENSG00000166974	34976928	35143470	18	ENSG00000166974	166543
ENSG00000129873	17878260	17880220	Y	ENSG00000129873	1961
ENSG00000184895	2786855	2787682	Y	ENSG00000184895	828
ENSG00000129824	2841602	2932000	Y	ENSG00000129824	90399
ENSG00000197705	32672673	32773023	18	ENSG00000197705	100351
ENSG00000067646	2935281	2982506	Y	ENSG00000067646	47226
ENSG00000184792	30693782	30907824	22	ENSG00000184792	214043
ENSG00000067048	12904108	12920478	Y	ENSG00000067048	16371
ENSG00000178127	9102630	9134345	18	ENSG00000178127	31716
ENSG00000183878	13234577	13480673	Y	ENSG00000183878	246097
ENSG00000154889	11882622	11908366	18	ENSG00000154889	25745
ENSG00000185666	32507820	33058381	22	ENSG00000185666	550562
ENSG00000099985	30262829	30266851	22	ENSG00000099985	4023
ENSG00000260861	1540144	1620009	20	ENSG00000260861	79866
ENSG00000171873	4220630	4249287	20	ENSG00000171873	28658
ENSG00000101282	958452	1002311	20	ENSG00000101282	43860
ENSG00000185721	31399604	31530634	22	ENSG00000185721	131031
ENSG00000125903	227258	229886	20	ENSG00000125903	2629
ENSG00000101280	869900	916334	20	ENSG00000101280	46435
ENSG00000101489	37243040	37565827	18	ENSG00000101489	322788
ENSG00000154620	13703899	13706024	Y	ENSG00000154620	2126
ENSG00000129864	13985772	13986473	Y	ENSG00000129864	702
ENSG00000089012	1629152	1657779	20	ENSG00000089012	28628
ENSG00000187191	24763069	24813492	Y	ENSG00000187191	50424
ENSG00000176635	30080464	30177075	22	ENSG00000176635	96612
ENSG00000171984	5750393	5864395	20	ENSG00000171984	114003
ENSG00000188120	23129355	23199010	Y	ENSG00000188120	69656
ENSG00000125827	7977346	8019805	20	ENSG00000125827	42460
ENSG00000100225	32474676	32498829	22	ENSG00000100225	24154
ENSG00000149346	10435305	10636829	20	ENSG00000149346	201525
ENSG00000178591	87250	97094	20	ENSG00000178591	9845
ENSG00000125820	21511017	21514064	20	ENSG00000125820	3048
ENSG00000125845	6767686	6780246	20	ENSG00000125845	12561
ENSG00000101327	1978757	1994285	20	ENSG00000101327	15529
ENSG00000099721	6865918	6911752	Y	ENSG00000099721	45835
ENSG00000100365	36860988	36878017	22	ENSG00000100365	17030
ENSG00000092377	6910686	7101970	Y	ENSG00000092377	191285
ENSG00000125898	833715	857463	20	ENSG00000125898	23749
ENSG00000173404	20368104	20370949	20	ENSG00000173404	2846
ENSG00000185982	187853	189711	20	ENSG00000185982	1859
ENSG00000125788	142590	145751	20	ENSG00000125788	3162
ENSG00000132640	11890723	11926609	20	ENSG00000132640	35887
ENSG00000205944	23219447	23291356	Y	ENSG00000205944	71910
ENSG00000231824	5142911	5197503	18	ENSG00000231824	54593
ENSG00000132874	45212995	45683688	18	ENSG00000132874	470694
ENSG00000198089	31488688	31618588	22	ENSG00000198089	129901
ENSG00000017797	9475009	9538114	18	ENSG00000017797	63106
ENSG00000125816	21395365	21397526	20	ENSG00000125816	2162
ENSG00000089063	5068232	5113103	20	ENSG00000089063	44872
ENSG00000141380	26016253	26091217	18	ENSG00000141380	74965
ENSG00000168757	6246223	6249019	Y	ENSG00000168757	2797
ENSG00000125851	17226107	17484578	20	ENSG00000125851	258472
ENSG00000229549	9357797	9360599	Y	ENSG00000229549	2803
ENSG00000228927	9398421	9401223	Y	ENSG00000228927	2803
ENSG00000088876	2481817	2524702	20	ENSG00000088876	42886
ENSG00000242389	21903618	21918042	Y	ENSG00000242389	14425
ENSG00000125815	23491101	23496010	20	ENSG00000125815	4910
ENSG00000101230	13221274	13300651	20	ENSG00000101230	79378
ENSG00000165246	14522573	14845654	Y	ENSG00000165246	323082
ENSG00000170367	23875934	23879748	20	ENSG00000170367	3815
ENSG00000284776	18567453	18744216	20	ENSG00000284776	176764
ENSG00000101463	24469629	24666616	20	ENSG00000101463	196988
ENSG00000101323	7882985	7940458	20	ENSG00000101323	57474
ENSG00000088930	21303331	21389825	20	ENSG00000088930	86495
ENSG00000129862	14056227	14056958	Y	ENSG00000129862	732
ENSG00000139910	26443090	26598033	14	ENSG00000139910	154944
ENSG00000100346	39570753	39689735	22	ENSG00000100346	118983
ENSG00000280969	20756108	20781032	Y	ENSG00000280969	24925
ENSG00000286022	2207328	2341059	20	ENSG00000286022	133732
ENSG00000099715	5000226	5742224	Y	ENSG00000099715	741999
ENSG00000125870	16729961	16742564	20	ENSG00000125870	12604
ENSG00000101745	9136228	9285985	18	ENSG00000101745	149758
ENSG00000172352	24045229	24048019	Y	ENSG00000172352	2791
ENSG00000077984	24949269	24959928	20	ENSG00000077984	10660
ENSG00000183795	24607560	24639207	Y	ENSG00000183795	31648
ENSG00000151413	31489956	31861224	14	ENSG00000151413	371269
ENSG00000101474	24962925	24992751	20	ENSG00000101474	29827
ENSG00000172288	25622117	25624902	Y	ENSG00000172288	2786
ENSG00000152242	46173553	46266992	18	ENSG00000152242	93440
ENSG00000233803	9337464	9340284	Y	ENSG00000233803	2821
ENSG00000125864	17493905	17569220	20	ENSG00000125864	75316
ENSG00000129515	34561093	34630160	14	ENSG00000129515	69068
ENSG00000226941	22403410	22417881	Y	ENSG00000226941	14472
ENSG00000154839	50375040	50394168	18	ENSG00000154839	19129
ENSG00000149435	23985050	23988779	20	ENSG00000149435	3730
ENSG00000238074	9487267	9490081	Y	ENSG00000238074	2815
ENSG00000141425	35984387	36067576	18	ENSG00000141425	83190
ENSG00000242875	21511338	21525786	Y	ENSG00000242875	14449
ENSG00000170369	23823769	23826729	20	ENSG00000170369	2961
ENSG00000100354	40044817	40335808	22	ENSG00000100354	290992
ENSG00000125868	17570075	17609919	20	ENSG00000125868	39845
ENSG00000087301	52430596	52552522	14	ENSG00000087301	121927
ENSG00000234414	21534879	21549326	Y	ENSG00000234414	14448
ENSG00000125834	2101827	2177038	20	ENSG00000125834	75212
ENSG00000152214	42743227	43115691	18	ENSG00000152214	372465
ENSG00000215397	661596	675802	20	ENSG00000215397	14207
ENSG00000232948	12310962	12318316	8	ENSG00000232948	7355
ENSG00000198646	34689097	34825651	20	ENSG00000198646	136555
ENSG00000253958	8701937	8704096	8	ENSG00000253958	2160
ENSG00000164821	6935820	6938306	8	ENSG00000164821	2487
ENSG00000212710	22413599	22417915	18	ENSG00000212710	4317
ENSG00000173281	9136255	9151574	8	ENSG00000173281	15320
ENSG00000134489	24460637	24479961	18	ENSG00000134489	19325
ENSG00000175329	35066136	35087387	22	ENSG00000175329	21252
ENSG00000154646	18269116	18485879	21	ENSG00000154646	216764
ENSG00000173273	9555912	9782346	8	ENSG00000173273	226435
ENSG00000168229	52267698	52276724	14	ENSG00000168229	9027
ENSG00000101773	22798261	23026488	18	ENSG00000101773	228228
ENSG00000100294	43132209	43143398	22	ENSG00000100294	11190
ENSG00000189139	44504149	44507283	14	ENSG00000189139	3135
ENSG00000073712	52857268	52952435	14	ENSG00000073712	95168
ENSG00000100170	32043261	32113029	22	ENSG00000100170	69769
ENSG00000176177	39743044	39893864	22	ENSG00000176177	150821
ENSG00000088782	157454	159163	20	ENSG00000088782	1710
ENSG00000154639	17513043	17593579	21	ENSG00000154639	80537
ENSG00000128342	30240453	30246759	22	ENSG00000128342	6307
ENSG00000172296	13008972	13169103	20	ENSG00000172296	160132
ENSG00000285404	31754899	31956243	22	ENSG00000285404	201345
ENSG00000100307	39120167	39152680	22	ENSG00000100307	32514
ENSG00000131069	34872146	34927962	20	ENSG00000131069	55817
