Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000160216	43865223	43987592	21
ENSG00000159140	33543038	33577481	21
ENSG00000159140	33543038	33577481	21
ENSG00000159140	33543038	33577481	21
ENSG00000122042	29764371	29850617	13
ENSG00000243927	34073224	34362252	21
ENSG00000102805	76990660	77019143	13
ENSG00000141424	36108531	36129385	18
ENSG00000122034	27424619	27435823	13
ENSG00000241945	44107358	44131181	21
ENSG00000232838	18137863	18143169	20
ENSG00000198900	41028822	41124487	20
ENSG00000184787	44768580	44801826	21
ENSG00000241837	33901028	33915853	21
ENSG00000101444	34280268	34311802	20
ENSG00000232388	18567347	18569563	20
ENSG00000232388	18567347	18569563	20
ENSG00000160201	43092956	43107605	21
ENSG00000160201	43092956	43107605	21
ENSG00000205670	34375131	34416961	21
ENSG00000125817	3783851	3786740	20
ENSG00000100201	38483438	38507660	22
ENSG00000142168	31659633	31668931	21
ENSG00000184900	44805617	44818779	21
ENSG00000132952	30617693	30660770	13
ENSG00000102178	154483717	154486615	X
ENSG00000150459	21140119	21149097	13
ENSG00000150459	21140119	21149097	13
ENSG00000147224	107628428	107651993	X
ENSG00000173141	21176647	21179084	13
ENSG00000188342	45120443	45284907	13
ENSG00000136159	48037694	48054196	13
ENSG00000169018	68277745	68295862	15
ENSG00000104679	23270120	23296279	8
ENSG00000005812	76992598	77027195	13
ENSG00000125352	119870475	119871733	X
ENSG00000160221	44133610	44210114	21
ENSG00000255302	48878134	48880173	15
ENSG00000255302	48878134	48880173	15
ENSG00000165389	34432788	34462240	14
ENSG00000160194	42879644	42913304	21
ENSG00000160194	42879644	42913304	21
ENSG00000157538	37223417	37267919	21
ENSG00000196943	24299850	24309124	14
ENSG00000186184	27620742	27744237	13
ENSG00000186184	27620742	27744237	13
ENSG00000186184	27620742	27744237	13
ENSG00000134049	47152834	47176381	18
ENSG00000065150	97953658	98024296	13
ENSG00000135070	86264546	86283102	9
ENSG00000090470	65117379	65133808	15
ENSG00000171159	128160265	128163924	9
ENSG00000133112	45333471	45341284	13
ENSG00000133112	45333471	45341284	13
ENSG00000133112	45333471	45341284	13
