species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
saccharomyces_cerevisiae	YDL246C	SOR2	protein_coding	IV	8683	9756	1074	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDL243C	AAD4	protein_coding	IV	17577	18566	990	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR387C	CIN10	protein_coding	IV	1248154	1249821	1668	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDL094C		protein_coding	IV	289572	290081	510	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR438W	THI74	protein_coding	IV	1338274	1339386	1113	+	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR523C	SPS1	protein_coding	IV	1485566	1487038	1473	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR542W	PAU10	protein_coding	IV	1523249	1523611	363	+	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR492W	IZH1	protein_coding	IV	1434924	1435874	951	+	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR018C		protein_coding	IV	482670	483860	1191	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDL189W	RBS1	protein_coding	IV	122216	123589	1374	+	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR508C	GNP1	protein_coding	IV	1466453	1468444	1992	-	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
saccharomyces_cerevisiae	YDR462W	MRPL28	protein_coding	IV	1386073	1386516	444	+	data/raw/ensembl_genomes/fungi/saccharomyces_cerevisiae/release-62/Saccharomyces_cerevisiae.R64-1-1.62.gtf.gz
