gene_id	Gene name	gene_length_bp	n_tissues	expression_breadth_nTPM_ge_1	mean_nTPM	median_nTPM	min_nTPM	max_nTPM
ENSG00000228253	MT-ATP8	207	36	36	65827.4972222222	38137.6	15444.8	355486.2
ENSG00000212907	MT-ND4L	297	36	36	27800.3083333333	15561.25	6300.5	149995.1
ENSG00000198840	MT-ND3	346	36	36	35280.8833333333	23435.55	5844.7	186829.7
ENSG00000198695	MT-ND6	525	36	36	7763.18333333333	5086.35	872.6	30685.1
ENSG00000198899	MT-ATP6	681	36	36	46552.225	24775	10245.4	240225.6
ENSG00000198712	MT-CO2	684	36	36	50576.0305555556	24111.4	7430.4	214510.8
ENSG00000198938	MT-CO3	784	36	36	49242.7611111111	26373.75	8847.3	238539.3
ENSG00000198888	MT-ND1	956	36	36	27143.7222222222	15242.4	4311.3	129323.4
ENSG00000198763	MT-ND2	1042	36	36	31546.3916666667	18995.6	5035.9	130852.9
ENSG00000198727	MT-CYB	1141	36	36	25281.3916666667	14482.05	5614.4	131222.4
ENSG00000198886	MT-ND4	1378	36	36	38663.1	20495.95	8328.3	197808.9
ENSG00000198804	MT-CO1	1542	36	36	47912.4861111111	20363.4	6859.1	265338.6
ENSG00000198786	MT-ND5	1812	36	36	5880.14722222222	3721.95	1060.2	26164.9
