species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	source_file
drosophila_melanogaster	FBgn0038189	Art6	protein_coding	3R	13944654	13945812	1159	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0037583	Veneno	protein_coding	3R	8359958	8362554	2597	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0038606	CG15803	protein_coding	3R	18330932	18360728	29797	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0083949	side-III	protein_coding	3R	5862865	5959555	96691	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0038054	CG5509	protein_coding	3R	12452464	12453196	733	+	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0039612	Nepl19	protein_coding	3R	28878024	28880122	2099	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0037409	Osi24	protein_coding	3R	6198811	6207678	8868	+	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0038788	Sirt2	protein_coding	3R	20328465	20330915	2451	+	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0004782	Ccp84Ab	protein_coding	3R	6701968	6702877	910	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0038799	MFS9	protein_coding	3R	20507392	20512468	5077	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0029512	Aos1	protein_coding	3R	12432533	12433822	1290	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0085309	CG34280	protein_coding	3R	17403272	17403718	447	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0039859	Mnat9	protein_coding	3R	31615284	31616160	877	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0039754	CG9747	protein_coding	3R	30185423	30191252	5830	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
drosophila_melanogaster	FBgn0039120	Nup98-96	protein_coding	3R	23774225	23781621	7397	-	data/raw/ensembl_genomes/metazoa/drosophila_melanogaster/release-62/Drosophila_melanogaster.BDGP6.54.62.chr.gtf.gz
