gene_id	Gene name	gene_length_bp	Tissue	nTPM
ENSG00000198695	MT-ND6	525	adipose tissue	5987.4
ENSG00000198695	MT-ND6	525	adrenal gland	5818.9
ENSG00000198695	MT-ND6	525	amygdala	16787.8
ENSG00000198695	MT-ND6	525	basal ganglia	25106.7
ENSG00000198695	MT-ND6	525	blood vessel	4510.3
ENSG00000198695	MT-ND6	525	breast	2939.1
ENSG00000198695	MT-ND6	525	cerebellum	5113.5
ENSG00000198695	MT-ND6	525	cerebral cortex	14284.6
ENSG00000198695	MT-ND6	525	cervix	1885.5
ENSG00000198695	MT-ND6	525	colon	5866.9
ENSG00000198695	MT-ND6	525	endometrium	2890.3
ENSG00000198695	MT-ND6	525	esophagus	3367.8
ENSG00000198695	MT-ND6	525	fallopian tube	3257.6
ENSG00000198695	MT-ND6	525	heart muscle	30685.1
ENSG00000198695	MT-ND6	525	hippocampal formation	17730.7
ENSG00000198695	MT-ND6	525	hypothalamus	15163.3
ENSG00000198695	MT-ND6	525	kidney	8771
ENSG00000198695	MT-ND6	525	liver	10887.1
ENSG00000198695	MT-ND6	525	lung	4173.4
ENSG00000198695	MT-ND6	525	midbrain	12947.1
ENSG00000198695	MT-ND6	525	ovary	1957
ENSG00000198695	MT-ND6	525	pancreas	3371.8
ENSG00000198695	MT-ND6	525	pituitary gland	1366.4
ENSG00000198695	MT-ND6	525	prostate	2300.5
ENSG00000198695	MT-ND6	525	retina	3992.5
ENSG00000198695	MT-ND6	525	salivary gland	2468.5
ENSG00000198695	MT-ND6	525	skeletal muscle	17939.8
ENSG00000198695	MT-ND6	525	skin	7602.7
ENSG00000198695	MT-ND6	525	small intestine	7451.1
ENSG00000198695	MT-ND6	525	spinal cord	9693.8
ENSG00000198695	MT-ND6	525	spleen	4006.9
ENSG00000198695	MT-ND6	525	stomach	9230.5
ENSG00000198695	MT-ND6	525	testis	872.6
ENSG00000198695	MT-ND6	525	thyroid gland	2294
ENSG00000198695	MT-ND6	525	urinary bladder	5059.2
ENSG00000198695	MT-ND6	525	vagina	1693.2
ENSG00000198712	MT-CO2	684	adipose tissue	25835.1
ENSG00000198712	MT-CO2	684	adrenal gland	49151.5
