From	To
A0A024R1R8	ENSG00000225528.4
A0A024RBG1	ENSG00000177144.8
A0A024RBG1	ENSG00000173598.15
A0A024RCN7	ENSG00000206380.11
A0A024RCN7	ENSG00000226710.9
A0A024RCN7	ENSG00000229300.9
A0A024RCN7	ENSG00000234728.9
A0A075B6H5	ENSG00000205274.5
A0A075B6H7	ENSG00000243063.1
A0A075B6H7	ENSG00000282310.1
A0A075B6H8	ENSG00000211633.3
A0A075B6H9	ENSG00000211637.2
A0A075B6I0	ENSG00000211638.2
A0A075B6I1	ENSG00000211639.2
A0A075B6I3	ENSG00000211641.3
A0A075B6I4	ENSG00000211642.4
A0A075B6I6	ENSG00000211645.2
A0A075B6I7	ENSG00000211647.1
A0A075B6I9	ENSG00000211649.3
A0A075B6J1	ENSG00000211654.2
A0A075B6J1	ENSG00000281471.1
A0A075B6J2	ENSG00000211656.3
A0A075B6J2	ENSG00000281345.1
A0A075B6J6	ENSG00000211661.2
A0A075B6J9	ENSG00000211664.3
A0A075B6K0	ENSG00000211665.3
A0A075B6K2	ENSG00000211667.3
A0A075B6K4	ENSG00000211669.3
A0A075B6K5	ENSG00000211670.2
A0A075B6K6	ENSG00000211672.2
A0A075B6L2	ENSG00000211693.2
A0A075B6L6	ENSG00000211714.3
A0A075B6N1	ENSG00000211746.3
A0A075B6N2	ENSG00000211747.3
A0A075B6N3	ENSG00000211750.2
A0A075B6N4	ENSG00000282499.1
A0A075B6P5	ENSG00000242534.3
A0A075B6P5	ENSG00000244116.3
A0A075B6P5	ENSG00000282025.1
A0A075B6Q5	ENSG00000223648.4
A0A075B6Q5	ENSG00000274236.3
A0A075B6R0	ENSG00000233306.2
A0A075B6R2	ENSG00000276775.1
A0A075B6R2	ENSG00000282223.1
A0A075B6R9	ENSG00000241566.1
A0A075B6S0	ENSG00000211690.1
A0A075B6S2	ENSG00000243264.3
A0A075B6S4	ENSG00000242766.1
A0A075B6S5	ENSG00000244575.3
A0A075B6S5	ENSG00000282666.1
A0A075B6S6	ENSG00000239571.1
A0A075B6S9	ENSG00000239862.1
A0A075B6S9	ENSG00000250036.1
A0A075B6S9	ENSG00000282394.1
A0A075B6T6	ENSG00000211789.2
A0A075B6T7	ENSG00000211780.3
A0A075B6T8	ENSG00000211783.3
A0A075B6U4	ENSG00000211781.3
A0A075B6U6	ENSG00000211808.3
A0A075B6U7	ENSG00000211866.1
A0A075B6U8	ENSG00000211877.1
A0A075B6U9	ENSG00000211887.2
A0A075B6V0	ENSG00000211873.1
A0A075B6V1	ENSG00000211846.1
A0A075B6V2	ENSG00000211868.1
A0A075B6V3	ENSG00000211841.1
A0A075B6V5	ENSG00000211815.3
A0A075B6V6	ENSG00000211827.1
A0A075B6V7	ENSG00000211863.1
A0A075B6V8	ENSG00000211884.1
A0A075B6V9	ENSG00000211832.2
A0A075B6W1	ENSG00000211828.1
A0A075B6W2	ENSG00000211838.1
A0A075B6W3	ENSG00000211856.1
A0A075B6W4	ENSG00000211843.1
A0A075B6W5	ENSG00000211803.2
A0A075B6W6	ENSG00000211862.1
A0A075B6W7	ENSG00000211851.1
A0A075B6W8	ENSG00000211872.1
A0A075B6W9	ENSG00000211837.1
A0A075B6X0	ENSG00000211844.1
A0A075B6X3	ENSG00000211857.1
A0A075B6X4	ENSG00000211861.1
A0A075B6X5	ENSG00000211798.3
A0A075B6X7	ENSG00000211839.1
A0A075B6X8	ENSG00000211845.1
A0A075B6X9	ENSG00000211871.1
A0A075B6Y0	ENSG00000211840.1
A0A075B6Y1	ENSG00000211859.1
A0A075B6Y2	ENSG00000211854.1
A0A075B6Y3	ENSG00000211886.1
A0A075B6Y4	ENSG00000211870.1
A0A075B6Y5	ENSG00000211842.1
A0A075B6Y8	ENSG00000211878.1
A0A075B6Y9	ENSG00000211847.1
A0A075B6Z0	ENSG00000211867.1
A0A075B6Z1	ENSG00000211869.1
A0A075B6Z2	ENSG00000211835.1
A0A075B6Z3	ENSG00000211883.1
A0A075B6Z4	ENSG00000211826.1
A0A075B6Z5	ENSG00000211885.1
A0A075B6Z8	ENSG00000211864.2
A0A075B6Z9	ENSG00000211865.1
A0A075B700	ENSG00000211858.1
A0A075B702	ENSG00000211848.1
A0A075B704	ENSG00000211834.1
A0A075B706	ENSG00000211825.1
A0A075B708	ENSG00000211831.2
A0A075B709	ENSG00000211876.1
A0A075B710	ENSG00000211850.1
A0A075B711	ENSG00000211860.1
A0A075B712	ENSG00000211836.1
A0A075B713	ENSG00000211888.2
A0A075B714	ENSG00000211882.1
A0A075B734	ENSG00000259916.2
A0A075B759	ENSG00000279782.3
A0A075B759	ENSG00000271567.2
A0A075B767	ENSG00000270339.4
A0A075B7B6	ENSG00000259261.2
A0A075B7B8	ENSG00000270467.1
A0A075B7D0	ENSG00000270505.1
A0A075B7D0	ENSG00000281179.1
A0A075B7D0	ENSG00000288165.1
A0A075B7D4	ENSG00000231292.6
A0A075B7D8	ENSG00000259490.2
A0A075B7E8	ENSG00000271178.1
A0A075B7F0	ENSG00000233732.5
A0A075B7F1	ENSG00000271130.1
A0A087WSX0	ENSG00000211650.2
A0A087WSY4	ENSG00000231475.3
